i,region,cap_cost_mult_for_ratebase
battery_2,p128,1.123377629
battery_2,p132,1.072278674
battery_2,p133,1.041497878
battery_2,p131,1.056868039
battery_2,p129,1.017607852
battery_2,p130,1.019914894
battery_2,p134,1.020997585
battery_4,p2,1.019540506
battery_4,p1,1.02436708
battery_4,p3,1.005546475
battery_4,p4,1.011951552
battery_4,p5,1.017729275
battery_4,p6,1.032725048
battery_4,p7,1.015867452
battery_4,p9,1.056109144
battery_4,p8,1.039666411
battery_4,p10,1.046638129
battery_4,p11,1.056534125
battery_4,p12,1.028303217
battery_4,p13,1.023719489
battery_4,p14,1.002060616
battery_4,p15,1.000902035
battery_4,p16,0.998889445
battery_4,p25,1.002932839
battery_4,p26,0.993383912
battery_4,p27,1.01928754
battery_4,p28,0.998994678
battery_4,p29,0.995204249
battery_4,p30,0.995611017
battery_4,p17,1.00517411
battery_4,p18,1.006293228
battery_4,p20,1.000147188
battery_4,p19,0.998748796
battery_4,p21,0.992715072
battery_4,p22,0.98858061
battery_4,p23,0.983966527
battery_4,p24,0.986093457
battery_4,p33,0.983488928
battery_4,p34,0.984692031
battery_4,p31,0.988980295
battery_4,p59,0.99232753
battery_4,p32,0.980933981
battery_4,p35,0.991733568
battery_4,p36,0.990558798
battery_4,p37,0.995515902
battery_4,p38,0.992347767
battery_4,p39,0.985773709
battery_4,p40,0.992753523
battery_4,p41,0.995845769
battery_4,p42,1.008116601
battery_4,p43,1.02038035
battery_4,p44,1.012022382
battery_4,p46,1.02161482
battery_4,p45,1.000263552
battery_4,p69,0.99507979
battery_4,p52,0.98717716
battery_4,p53,0.991560539
battery_4,p54,1.00680017
battery_4,p55,1.000604549
battery_4,p47,0.986071196
battery_4,p48,0.984948031
battery_4,p57,0.978771635
battery_4,p49,0.985231352
battery_4,p50,0.985375036
battery_4,p51,0.988642334
battery_4,p56,0.98736739
battery_4,p58,0.969086106
battery_4,p61,0.98319043
battery_4,p62,0.982733069
battery_4,p60,0.983099362
battery_4,p63,0.977052484
battery_4,p64,0.97090442
battery_4,p65,0.971737181
battery_4,p67,0.962162957
battery_4,p68,1.013590766
battery_4,p70,1.000870668
battery_4,p71,1.008626578
battery_4,p72,1.012164043
battery_4,p73,1.009997649
battery_4,p84,1.001250115
battery_4,p74,1.009712305
battery_4,p75,1.007601564
battery_4,p76,1.008435337
battery_4,p77,1.010012827
battery_4,p78,1.016798364
battery_4,p79,1.021888022
battery_4,p80,1.031713187
battery_4,p81,1.011340388
battery_4,p82,1.014187764
battery_4,p83,1.011474966
battery_4,p103,1.009074833
battery_4,p104,1.016120417
battery_4,p105,1.013499699
battery_4,p106,1.003105868
battery_4,p107,0.992804116
battery_4,p111,1.013155666
battery_4,p112,1.00502132
battery_4,p113,0.991946058
battery_4,p114,0.983920993
battery_4,p108,0.989251474
battery_4,p109,0.983251141
battery_4,p110,0.989829246
battery_4,p118,0.985993283
battery_4,p117,1.008463669
battery_4,p116,1.013621122
battery_4,p115,1.021786836
battery_4,p121,1.034961259
battery_4,p120,1.038057552
battery_4,p119,1.036539762
battery_4,p66,0.96705429
battery_4,p85,0.984445137
battery_4,p86,0.979126798
battery_4,p87,0.977067662
battery_4,p88,0.977102065
battery_4,p89,0.971597544
battery_4,p90,0.971164468
battery_4,p91,0.973584838
battery_4,p94,0.970609968
battery_4,p92,0.975487136
battery_4,p93,0.985709962
battery_4,p97,0.96849518
battery_4,p98,0.997878596
battery_4,p95,0.959615092
battery_4,p96,0.969750899
battery_4,p99,1.01428895
battery_4,p100,1.030630497
battery_4,p101,0.979829029
battery_4,p102,0.979545708
battery_4,p124,1.04213535
battery_4,p123,1.037804587
battery_4,p125,1.048965409
battery_4,p122,1.033919043
battery_4,p126,1.085878079
battery_4,p127,1.034890429
battery_4,p128,1.123377629
battery_4,p132,1.072278674
battery_4,p133,1.041497878
battery_4,p131,1.056868039
battery_4,p129,1.017607852
battery_4,p130,1.019914894
battery_4,p134,1.020997585
battery_6,p2,1.019540506
battery_6,p1,1.02436708
battery_6,p3,1.005546475
battery_6,p4,1.011951552
battery_6,p5,1.017729275
battery_6,p6,1.032725048
battery_6,p7,1.015867452
battery_6,p9,1.056109144
battery_6,p8,1.039666411
battery_6,p10,1.046638129
battery_6,p11,1.056534125
battery_6,p12,1.028303217
battery_6,p13,1.023719489
battery_6,p14,1.002060616
battery_6,p15,1.000902035
battery_6,p16,0.998889445
battery_6,p25,1.002932839
battery_6,p26,0.993383912
battery_6,p27,1.01928754
battery_6,p28,0.998994678
battery_6,p29,0.995204249
battery_6,p30,0.995611017
battery_6,p17,1.00517411
battery_6,p18,1.006293228
battery_6,p20,1.000147188
battery_6,p19,0.998748796
battery_6,p21,0.992715072
battery_6,p22,0.98858061
battery_6,p23,0.983966527
battery_6,p24,0.986093457
battery_6,p33,0.983488928
battery_6,p34,0.984692031
battery_6,p31,0.988980295
battery_6,p59,0.99232753
battery_6,p32,0.980933981
battery_6,p35,0.991733568
battery_6,p36,0.990558798
battery_6,p37,0.995515902
battery_6,p38,0.992347767
battery_6,p39,0.985773709
battery_6,p40,0.992753523
battery_6,p41,0.995845769
battery_6,p42,1.008116601
battery_6,p43,1.02038035
battery_6,p44,1.012022382
battery_6,p46,1.02161482
battery_6,p45,1.000263552
battery_6,p69,0.99507979
battery_6,p52,0.98717716
battery_6,p53,0.991560539
battery_6,p54,1.00680017
battery_6,p55,1.000604549
battery_6,p47,0.986071196
battery_6,p48,0.984948031
battery_6,p57,0.978771635
battery_6,p49,0.985231352
battery_6,p50,0.985375036
battery_6,p51,0.988642334
battery_6,p56,0.98736739
battery_6,p58,0.969086106
battery_6,p61,0.98319043
battery_6,p62,0.982733069
battery_6,p60,0.983099362
battery_6,p63,0.977052484
battery_6,p64,0.97090442
battery_6,p65,0.971737181
battery_6,p67,0.962162957
battery_6,p68,1.013590766
battery_6,p70,1.000870668
battery_6,p71,1.008626578
battery_6,p72,1.012164043
battery_6,p73,1.009997649
battery_6,p84,1.001250115
battery_6,p74,1.009712305
battery_6,p75,1.007601564
battery_6,p76,1.008435337
battery_6,p77,1.010012827
battery_6,p78,1.016798364
battery_6,p79,1.021888022
battery_6,p80,1.031713187
battery_6,p81,1.011340388
battery_6,p82,1.014187764
battery_6,p83,1.011474966
battery_6,p103,1.009074833
battery_6,p104,1.016120417
battery_6,p105,1.013499699
battery_6,p106,1.003105868
battery_6,p107,0.992804116
battery_6,p111,1.013155666
battery_6,p112,1.00502132
battery_6,p113,0.991946058
battery_6,p114,0.983920993
battery_6,p108,0.989251474
battery_6,p109,0.983251141
battery_6,p110,0.989829246
battery_6,p118,0.985993283
battery_6,p117,1.008463669
battery_6,p116,1.013621122
battery_6,p115,1.021786836
battery_6,p121,1.034961259
battery_6,p120,1.038057552
battery_6,p119,1.036539762
battery_6,p66,0.96705429
battery_6,p85,0.984445137
battery_6,p86,0.979126798
battery_6,p87,0.977067662
battery_6,p88,0.977102065
battery_6,p89,0.971597544
battery_6,p90,0.971164468
battery_6,p91,0.973584838
battery_6,p94,0.970609968
battery_6,p92,0.975487136
battery_6,p93,0.985709962
battery_6,p97,0.96849518
battery_6,p98,0.997878596
battery_6,p95,0.959615092
battery_6,p96,0.969750899
battery_6,p99,1.01428895
battery_6,p100,1.030630497
battery_6,p101,0.979829029
battery_6,p102,0.979545708
battery_6,p124,1.04213535
battery_6,p123,1.037804587
battery_6,p125,1.048965409
battery_6,p122,1.033919043
battery_6,p126,1.085878079
battery_6,p127,1.034890429
battery_6,p128,1.123377629
battery_6,p132,1.072278674
battery_6,p133,1.041497878
battery_6,p131,1.056868039
battery_6,p129,1.017607852
battery_6,p130,1.019914894
battery_6,p134,1.020997585
battery_8,p2,1.019540506
battery_8,p1,1.02436708
battery_8,p3,1.005546475
battery_8,p4,1.011951552
battery_8,p5,1.017729275
battery_8,p6,1.032725048
battery_8,p7,1.015867452
battery_8,p9,1.056109144
battery_8,p8,1.039666411
battery_8,p10,1.046638129
battery_8,p11,1.056534125
battery_8,p12,1.028303217
battery_8,p13,1.023719489
battery_8,p14,1.002060616
battery_8,p15,1.000902035
battery_8,p16,0.998889445
battery_8,p25,1.002932839
battery_8,p26,0.993383912
battery_8,p27,1.01928754
battery_8,p28,0.998994678
battery_8,p29,0.995204249
battery_8,p30,0.995611017
battery_8,p17,1.00517411
battery_8,p18,1.006293228
battery_8,p20,1.000147188
battery_8,p19,0.998748796
battery_8,p21,0.992715072
battery_8,p22,0.98858061
battery_8,p23,0.983966527
battery_8,p24,0.986093457
battery_8,p33,0.983488928
battery_8,p34,0.984692031
battery_8,p31,0.988980295
battery_8,p59,0.99232753
battery_8,p32,0.980933981
battery_8,p35,0.991733568
battery_8,p36,0.990558798
battery_8,p37,0.995515902
battery_8,p38,0.992347767
battery_8,p39,0.985773709
battery_8,p40,0.992753523
battery_8,p41,0.995845769
battery_8,p42,1.008116601
battery_8,p43,1.02038035
battery_8,p44,1.012022382
battery_8,p46,1.02161482
battery_8,p45,1.000263552
battery_8,p69,0.99507979
battery_8,p52,0.98717716
battery_8,p53,0.991560539
battery_8,p54,1.00680017
battery_8,p55,1.000604549
battery_8,p47,0.986071196
battery_8,p48,0.984948031
battery_8,p57,0.978771635
battery_8,p49,0.985231352
battery_8,p50,0.985375036
battery_8,p51,0.988642334
battery_8,p56,0.98736739
battery_8,p58,0.969086106
battery_8,p61,0.98319043
battery_8,p62,0.982733069
battery_8,p60,0.983099362
battery_8,p63,0.977052484
battery_8,p64,0.97090442
battery_8,p65,0.971737181
battery_8,p67,0.962162957
battery_8,p68,1.013590766
battery_8,p70,1.000870668
battery_8,p71,1.008626578
battery_8,p72,1.012164043
battery_8,p73,1.009997649
battery_8,p84,1.001250115
battery_8,p74,1.009712305
battery_8,p75,1.007601564
battery_8,p76,1.008435337
battery_8,p77,1.010012827
battery_8,p78,1.016798364
battery_8,p79,1.021888022
battery_8,p80,1.031713187
battery_8,p81,1.011340388
battery_8,p82,1.014187764
battery_8,p83,1.011474966
battery_8,p103,1.009074833
battery_8,p104,1.016120417
battery_8,p105,1.013499699
battery_8,p106,1.003105868
battery_8,p107,0.992804116
battery_8,p111,1.013155666
battery_8,p112,1.00502132
battery_8,p113,0.991946058
battery_8,p114,0.983920993
battery_8,p108,0.989251474
battery_8,p109,0.983251141
battery_8,p110,0.989829246
battery_8,p118,0.985993283
battery_8,p117,1.008463669
battery_8,p116,1.013621122
battery_8,p115,1.021786836
battery_8,p121,1.034961259
battery_8,p120,1.038057552
battery_8,p119,1.036539762
battery_8,p66,0.96705429
battery_8,p85,0.984445137
battery_8,p86,0.979126798
battery_8,p87,0.977067662
battery_8,p88,0.977102065
battery_8,p89,0.971597544
battery_8,p90,0.971164468
battery_8,p91,0.973584838
battery_8,p94,0.970609968
battery_8,p92,0.975487136
battery_8,p93,0.985709962
battery_8,p97,0.96849518
battery_8,p98,0.997878596
battery_8,p95,0.959615092
battery_8,p96,0.969750899
battery_8,p99,1.01428895
battery_8,p100,1.030630497
battery_8,p101,0.979829029
battery_8,p102,0.979545708
battery_8,p124,1.04213535
battery_8,p123,1.037804587
battery_8,p125,1.048965409
battery_8,p122,1.033919043
battery_8,p126,1.085878079
battery_8,p127,1.034890429
battery_8,p128,1.123377629
battery_8,p132,1.072278674
battery_8,p133,1.041497878
battery_8,p131,1.056868039
battery_8,p129,1.017607852
battery_8,p130,1.019914894
battery_8,p134,1.020997585
battery_10,p2,1.019540506
battery_10,p1,1.02436708
battery_10,p3,1.005546475
battery_10,p4,1.011951552
battery_10,p5,1.017729275
battery_10,p6,1.032725048
battery_10,p7,1.015867452
battery_10,p9,1.056109144
battery_10,p8,1.039666411
battery_10,p10,1.046638129
battery_10,p11,1.056534125
battery_10,p12,1.028303217
battery_10,p13,1.023719489
battery_10,p14,1.002060616
battery_10,p15,1.000902035
battery_10,p16,0.998889445
battery_10,p25,1.002932839
battery_10,p26,0.993383912
battery_10,p27,1.01928754
battery_10,p28,0.998994678
battery_10,p29,0.995204249
battery_10,p30,0.995611017
battery_10,p17,1.00517411
battery_10,p18,1.006293228
battery_10,p20,1.000147188
battery_10,p19,0.998748796
battery_10,p21,0.992715072
battery_10,p22,0.98858061
battery_10,p23,0.983966527
battery_10,p24,0.986093457
battery_10,p33,0.983488928
battery_10,p34,0.984692031
battery_10,p31,0.988980295
battery_10,p59,0.99232753
battery_10,p32,0.980933981
battery_10,p35,0.991733568
battery_10,p36,0.990558798
battery_10,p37,0.995515902
battery_10,p38,0.992347767
battery_10,p39,0.985773709
battery_10,p40,0.992753523
battery_10,p41,0.995845769
battery_10,p42,1.008116601
battery_10,p43,1.02038035
battery_10,p44,1.012022382
battery_10,p46,1.02161482
battery_10,p45,1.000263552
battery_10,p69,0.99507979
battery_10,p52,0.98717716
battery_10,p53,0.991560539
battery_10,p54,1.00680017
battery_10,p55,1.000604549
battery_10,p47,0.986071196
battery_10,p48,0.984948031
battery_10,p57,0.978771635
battery_10,p49,0.985231352
battery_10,p50,0.985375036
battery_10,p51,0.988642334
battery_10,p56,0.98736739
battery_10,p58,0.969086106
battery_10,p61,0.98319043
battery_10,p62,0.982733069
battery_10,p60,0.983099362
battery_10,p63,0.977052484
battery_10,p64,0.97090442
battery_10,p65,0.971737181
battery_10,p67,0.962162957
battery_10,p68,1.013590766
battery_10,p70,1.000870668
battery_10,p71,1.008626578
battery_10,p72,1.012164043
battery_10,p73,1.009997649
battery_10,p84,1.001250115
battery_10,p74,1.009712305
battery_10,p75,1.007601564
battery_10,p76,1.008435337
battery_10,p77,1.010012827
battery_10,p78,1.016798364
battery_10,p79,1.021888022
battery_10,p80,1.031713187
battery_10,p81,1.011340388
battery_10,p82,1.014187764
battery_10,p83,1.011474966
battery_10,p103,1.009074833
battery_10,p104,1.016120417
battery_10,p105,1.013499699
battery_10,p106,1.003105868
battery_10,p107,0.992804116
battery_10,p111,1.013155666
battery_10,p112,1.00502132
battery_10,p113,0.991946058
battery_10,p114,0.983920993
battery_10,p108,0.989251474
battery_10,p109,0.983251141
battery_10,p110,0.989829246
battery_10,p118,0.985993283
battery_10,p117,1.008463669
battery_10,p116,1.013621122
battery_10,p115,1.021786836
battery_10,p121,1.034961259
battery_10,p120,1.038057552
battery_10,p119,1.036539762
battery_10,p66,0.96705429
battery_10,p85,0.984445137
battery_10,p86,0.979126798
battery_10,p87,0.977067662
battery_10,p88,0.977102065
battery_10,p89,0.971597544
battery_10,p90,0.971164468
battery_10,p91,0.973584838
battery_10,p94,0.970609968
battery_10,p92,0.975487136
battery_10,p93,0.985709962
battery_10,p97,0.96849518
battery_10,p98,0.997878596
battery_10,p95,0.959615092
battery_10,p96,0.969750899
battery_10,p99,1.01428895
battery_10,p100,1.030630497
battery_10,p101,0.979829029
battery_10,p102,0.979545708
battery_10,p124,1.04213535
battery_10,p123,1.037804587
battery_10,p125,1.048965409
battery_10,p122,1.033919043
battery_10,p126,1.085878079
battery_10,p127,1.034890429
battery_10,p128,1.123377629
battery_10,p132,1.072278674
battery_10,p133,1.041497878
battery_10,p131,1.056868039
battery_10,p129,1.017607852
battery_10,p130,1.019914894
battery_10,p134,1.020997585
biopower,p2,1.060822098
biopower,p1,1.078478103
biopower,p3,1.007907996
biopower,p4,1.031252697
biopower,p5,1.051937074
biopower,p6,1.098217993
biopower,p7,1.038936117
biopower,p9,1.161522492
biopower,p8,1.122084183
biopower,p10,1.100405554
biopower,p11,1.102727894
biopower,p12,1.071127482
biopower,p13,1.062501648
biopower,p14,0.993406849
biopower,p15,0.986827577
biopower,p16,0.974278647
biopower,p25,0.986731158
biopower,p26,0.954925468
biopower,p27,1.041973821
biopower,p28,0.977952921
biopower,p29,0.967945087
biopower,p30,0.967108422
biopower,p17,0.983188553
biopower,p18,0.970117097
biopower,p20,0.958528205
biopower,p19,0.960280328
biopower,p21,0.950779469
biopower,p22,0.936277285
biopower,p23,0.922754839
biopower,p24,0.930237128
biopower,p33,0.929148531
biopower,p34,0.936373704
biopower,p31,0.952463166
biopower,p59,0.959379385
biopower,p32,0.913196958
biopower,p35,0.94479737
biopower,p36,0.944205381
biopower,p37,0.96400955
biopower,p38,0.956060719
biopower,p39,0.93247238
biopower,p40,0.963241312
biopower,p41,0.978616446
biopower,p42,1.01229245
biopower,p43,1.054342355
biopower,p44,1.027400101
biopower,p46,1.06102945
biopower,p45,0.993171505
biopower,p69,0.980018144
biopower,p52,0.945415279
biopower,p53,0.96318118
biopower,p54,1.012745513
biopower,p55,0.990901003
biopower,p47,0.944235447
biopower,p48,0.940288506
biopower,p57,0.920741453
biopower,p49,0.94071254
biopower,p50,0.942613956
biopower,p51,0.953193044
biopower,p56,0.946016599
biopower,p58,0.890927377
biopower,p61,0.934617434
biopower,p62,0.934481619
biopower,p60,0.935111968
biopower,p63,0.916946915
biopower,p64,0.899276396
biopower,p65,0.901512685
biopower,p67,0.874089375
biopower,p68,1.034809817
biopower,p70,0.998034941
biopower,p71,1.019137132
biopower,p72,1.024568712
biopower,p73,1.017299995
biopower,p84,0.991409015
biopower,p74,1.028969754
biopower,p75,1.023433461
biopower,p76,1.026614238
biopower,p77,1.028827718
biopower,p78,1.052921995
biopower,p79,1.070785351
biopower,p80,1.10261385
biopower,p81,1.025658346
biopower,p82,1.040491256
biopower,p83,1.031809436
biopower,p103,1.026497084
biopower,p104,1.05092105
biopower,p105,1.042741023
biopower,p106,1.007568976
biopower,p107,0.974972239
biopower,p111,1.04189088
biopower,p112,1.015170493
biopower,p113,0.980854809
biopower,p114,0.962607852
biopower,p108,0.958196443
biopower,p109,0.94322357
biopower,p110,0.959069394
biopower,p118,0.956341681
biopower,p117,1.008334104
biopower,p116,1.04275139
biopower,p115,1.074082245
biopower,p121,1.118911701
biopower,p120,1.121368819
biopower,p119,1.098124684
biopower,p66,0.887527844
biopower,p85,0.935862582
biopower,p86,0.92115823
biopower,p87,0.914988478
biopower,p88,0.914948044
biopower,p89,0.89729204
biopower,p90,0.896523801
biopower,p91,0.905648317
biopower,p94,0.894786193
biopower,p92,0.911304873
biopower,p93,0.945758446
biopower,p97,0.889485245
biopower,p98,0.994393844
biopower,p95,0.855767771
biopower,p96,0.893836522
biopower,p99,1.062273561
biopower,p100,1.116869286
biopower,p101,0.927150697
biopower,p102,0.92636587
biopower,p124,1.141046504
biopower,p123,1.131933393
biopower,p125,1.175072932
biopower,p122,1.091282075
biopower,p126,1.211411332
biopower,p127,1.083889984
biopower,p128,1.273793116
biopower,p132,1.220213415
biopower,p133,1.125028578
biopower,p131,1.183740236
biopower,p129,1.043995501
biopower,p130,1.055047351
biopower,p134,1.053917284
caes,p2,1.034397813
caes,p1,1.039294723
caes,p3,1.020199854
caes,p4,1.026698269
caes,p5,1.032560188
caes,p6,1.047774487
caes,p7,1.030671234
caes,p9,1.071499349
caes,p8,1.054817004
caes,p10,1.061890318
caes,p11,1.071930524
caes,p12,1.04328822
caes,p13,1.038637695
caes,p14,1.016663196
caes,p15,1.015487733
caes,p16,1.013445814
caes,p25,1.017548131
caes,p26,1.007860051
caes,p27,1.034141161
caes,p28,1.013552581
caes,p29,1.009706915
caes,p30,1.010119611
caes,p17,1.019822063
caes,p18,1.020957489
caes,p20,1.014721885
caes,p19,1.013303115
caes,p21,1.007181465
caes,p22,1.002986753
caes,p23,0.99830543
caes,p24,1.000463356
caes,p33,0.997820872
caes,p34,0.999041507
caes,p31,1.003392262
caes,p59,1.006788275
caes,p32,0.995228692
caes,p35,1.006185657
caes,p36,1.004993768
caes,p37,1.01002311
caes,p38,1.006808807
caes,p39,1.000138948
caes,p40,1.007220476
caes,p41,1.010357783
caes,p42,1.022807433
caes,p43,1.035249896
caes,p44,1.026770131
caes,p46,1.036502355
caes,p45,1.014839944
caes,p69,1.009580643
caes,p52,1.001562851
caes,p53,1.006010107
caes,p54,1.021471818
caes,p55,1.015185911
caes,p47,1.00044077
caes,p48,0.999301238
caes,p57,0.993034836
caes,p49,0.999588688
caes,p50,0.999734466
caes,p51,1.003049376
caes,p56,1.001755853
caes,p58,0.983208164
caes,p61,0.997518024
caes,p62,0.997053998
caes,p60,0.997425629
caes,p63,0.991290632
caes,p64,0.985052975
caes,p65,0.985897872
caes,p67,0.976184127
caes,p68,1.02836137
caes,p70,1.015455908
caes,p71,1.023324842
caes,p72,1.026913856
caes,p73,1.024715893
caes,p84,1.015840885
caes,p74,1.02442639
caes,p75,1.02228489
caes,p76,1.023130813
caes,p77,1.024731292
caes,p78,1.031615711
caes,p79,1.036779539
caes,p80,1.046747882
caes,p81,1.026078199
caes,p82,1.028967068
caes,p83,1.026214738
caes,p103,1.023779628
caes,p104,1.030927885
caes,p105,1.028268976
caes,p106,1.01772368
caes,p107,1.007271806
caes,p111,1.02791993
caes,p112,1.019667045
caes,p113,1.006401244
caes,p114,0.998259233
caes,p108,1.003667393
caes,p109,0.99757962
caes,p110,1.004253585
caes,p118,1.000361722
caes,p117,1.023159558
caes,p116,1.028392169
caes,p115,1.036676878
caes,p121,1.050043286
caes,p120,1.0531847
caes,p119,1.051644792
caes,p66,0.98114674
caes,p85,0.998791015
caes,p86,0.993395174
caes,p87,0.991306031
caes,p88,0.991340936
caes,p89,0.9857562
caes,p90,0.985316813
caes,p91,0.987772454
caes,p94,0.984754233
caes,p92,0.989702473
caes,p93,1.000074272
caes,p97,0.982608626
caes,p98,1.012420234
caes,p95,0.973599133
caes,p96,0.983882644
caes,p99,1.029069728
caes,p100,1.045649413
caes,p101,0.994107639
caes,p102,0.993820189
caes,p124,1.057321922
caes,p123,1.052928049
caes,p125,1.064251512
caes,p122,1.048985882
caes,p126,1.101702094
caes,p127,1.049971424
caes,p128,1.139748108
caes,p132,1.087904511
caes,p133,1.05667516
caes,p131,1.072269304
caes,p129,1.032436996
caes,p130,1.034777657
caes,p134,1.035876125
coal-CCS_mod,p2,1.103841793
coal-CCS_mod,p1,1.117031692
coal-CCS_mod,p3,1.06129092
coal-CCS_mod,p4,1.079645966
coal-CCS_mod,p5,1.096461474
coal-CCS_mod,p6,1.130426002
coal-CCS_mod,p7,1.081754629
coal-CCS_mod,p9,1.183357735
coal-CCS_mod,p8,1.145982768
coal-CCS_mod,p10,1.145885941
coal-CCS_mod,p11,1.156461529
coal-CCS_mod,p12,1.112889676
coal-CCS_mod,p13,1.109877301
coal-CCS_mod,p14,1.049690048
coal-CCS_mod,p15,1.040368899
coal-CCS_mod,p16,1.036068734
coal-CCS_mod,p25,1.050282841
coal-CCS_mod,p26,1.025247852
coal-CCS_mod,p27,1.094654049
coal-CCS_mod,p28,1.043541576
coal-CCS_mod,p29,1.038513061
coal-CCS_mod,p30,1.034149421
coal-CCS_mod,p17,1.041992354
coal-CCS_mod,p18,1.033141351
coal-CCS_mod,p20,1.024875609
coal-CCS_mod,p19,1.025358665
coal-CCS_mod,p21,1.025796535
coal-CCS_mod,p22,1.014317235
coal-CCS_mod,p23,0.998522707
coal-CCS_mod,p24,1.033800846
coal-CCS_mod,p33,1.021860006
coal-CCS_mod,p34,1.018802446
coal-CCS_mod,p31,1.027791158
coal-CCS_mod,p59,1.033049904
coal-CCS_mod,p32,0.985294077
coal-CCS_mod,p35,1.01196543
coal-CCS_mod,p36,1.005727662
coal-CCS_mod,p37,1.020787386
coal-CCS_mod,p38,1.018825039
coal-CCS_mod,p39,1.026041828
coal-CCS_mod,p40,1.030488309
coal-CCS_mod,p41,1.037169327
coal-CCS_mod,p42,1.05924896
coal-CCS_mod,p43,1.089619079
coal-CCS_mod,p44,1.070548594
coal-CCS_mod,p46,1.095514727
coal-CCS_mod,p45,1.04628714
coal-CCS_mod,p69,1.035234952
coal-CCS_mod,p52,1.022195671
coal-CCS_mod,p53,1.026448499
coal-CCS_mod,p54,1.060820774
coal-CCS_mod,p55,1.044747602
coal-CCS_mod,p47,1.020633539
coal-CCS_mod,p48,1.016217183
coal-CCS_mod,p57,0.994109577
coal-CCS_mod,p49,1.017093999
coal-CCS_mod,p50,1.011660965
coal-CCS_mod,p51,1.017280121
coal-CCS_mod,p56,1.011367259
coal-CCS_mod,p58,0.973849204
coal-CCS_mod,p61,1.011673875
coal-CCS_mod,p62,1.011574897
coal-CCS_mod,p60,1.010687323
coal-CCS_mod,p63,0.994185963
