*i,r,sc_cat,value
deep-egs_pbinary_1,p89,Cap,1.1327
deep-egs_pbinary_1,p9,Cap,123.0512
deep-egs_pbinary_1,p90,Cap,76.6148
deep-egs_pbinary_1,p91,Cap,92.0727
deep-egs_pbinary_1,p92,Cap,74.3613
deep-egs_pbinary_1,p93,Cap,3.5732
deep-egs_pbinary_1,p94,Cap,307.6684
deep-egs_pbinary_1,p95,Cap,508.8474
deep-egs_pbinary_1,p96,Cap,8923.9242
deep-egs_pbinary_1,p98,Cap,3.2063
deep-egs_pbinary_1,p99,Cap,31.701661
deep-egs_pbinary_2,p1,Cap,2452.2526
deep-egs_pbinary_2,p10,Cap,3818.0115
deep-egs_pbinary_2,p11,Cap,349.462
deep-egs_pbinary_2,p110,Cap,3.124393
deep-egs_pbinary_2,p115,Cap,805.646
deep-egs_pbinary_2,p116,Cap,5264.4461
deep-egs_pbinary_2,p117,Cap,773.075804
deep-egs_pbinary_2,p118,Cap,100.737564
deep-egs_pbinary_2,p12,Cap,67006.1079
deep-egs_pbinary_2,p122,Cap,1856.0672
deep-egs_pbinary_2,p127,Cap,3.5006
deep-egs_pbinary_2,p13,Cap,1380.2
deep-egs_pbinary_2,p14,Cap,5259.596
deep-egs_pbinary_2,p15,Cap,4602.8814
deep-egs_pbinary_2,p16,Cap,8163.3252
deep-egs_pbinary_2,p17,Cap,4015.2286
deep-egs_pbinary_2,p18,Cap,2361.4765
deep-egs_pbinary_2,p19,Cap,5152.1759
deep-egs_pbinary_2,p2,Cap,5683.6289
deep-egs_pbinary_2,p20,Cap,15195.2876
deep-egs_pbinary_2,p21,Cap,1429.3843
deep-egs_pbinary_2,p22,Cap,1119.1791
deep-egs_pbinary_2,p23,Cap,4974.6621
deep-egs_pbinary_2,p24,Cap,5090.682
deep-egs_pbinary_2,p25,Cap,18290.1976
deep-egs_pbinary_2,p26,Cap,1785.3959
deep-egs_pbinary_2,p27,Cap,4487.7525
deep-egs_pbinary_2,p28,Cap,26032.0791
deep-egs_pbinary_2,p29,Cap,2074.2057
deep-egs_pbinary_2,p3,Cap,8761.7661
deep-egs_pbinary_2,p30,Cap,2201.0939
deep-egs_pbinary_2,p31,Cap,26477.4908
deep-egs_pbinary_2,p32,Cap,166.7273
deep-egs_pbinary_2,p33,Cap,25909.1003
deep-egs_pbinary_2,p34,Cap,9186.4964
deep-egs_pbinary_2,p35,Cap,13096.7546
deep-egs_pbinary_2,p36,Cap,17824.8366
deep-egs_pbinary_2,p37,Cap,6462.7949
deep-egs_pbinary_2,p38,Cap,13886.9604
deep-egs_pbinary_2,p39,Cap,12356.9085
deep-egs_pbinary_2,p4,Cap,2249.2989
deep-egs_pbinary_2,p40,Cap,3628.4292
deep-egs_pbinary_2,p41,Cap,308.4466
deep-egs_pbinary_2,p48,Cap,1072.1327
deep-egs_pbinary_2,p5,Cap,15673.9442
deep-egs_pbinary_2,p50,Cap,162.8913
deep-egs_pbinary_2,p56,Cap,0.1218
deep-egs_pbinary_2,p57,Cap,9882.5944
deep-egs_pbinary_2,p58,Cap,12746.8535
deep-egs_pbinary_2,p59,Cap,1268.5158
deep-egs_pbinary_2,p6,Cap,428.2399
deep-egs_pbinary_2,p60,Cap,6753.4441
deep-egs_pbinary_2,p61,Cap,8419.7789
deep-egs_pbinary_2,p63,Cap,22300.3372
deep-egs_pbinary_2,p64,Cap,11500.5651
deep-egs_pbinary_2,p65,Cap,22947.5601
deep-egs_pbinary_2,p66,Cap,5755.9335
deep-egs_pbinary_2,p67,Cap,4040.1819
deep-egs_pbinary_2,p7,Cap,19329.1205
deep-egs_pbinary_2,p8,Cap,1385.5644
deep-egs_pbinary_2,p85,Cap,29.7412
deep-egs_pbinary_2,p86,Cap,5318.226394
deep-egs_pbinary_2,p87,Cap,221.808
deep-egs_pbinary_2,p88,Cap,47.328
deep-egs_pbinary_2,p89,Cap,4.6816
deep-egs_pbinary_2,p9,Cap,1334.4172
deep-egs_pbinary_2,p91,Cap,1.7255
deep-egs_pbinary_2,p98,Cap,2.5454
deep-egs_pbinary_2,p99,Cap,115.6376
deep-egs_pbinary_3,p1,Cap,59.934
deep-egs_pbinary_3,p10,Cap,14281.0653
deep-egs_pbinary_3,p11,Cap,55.1808
deep-egs_pbinary_3,p110,Cap,18.8411
deep-egs_pbinary_3,p115,Cap,53.950834
deep-egs_pbinary_3,p116,Cap,2879.328
deep-egs_pbinary_3,p117,Cap,13.072291
deep-egs_pbinary_3,p118,Cap,2245.5419
deep-egs_pbinary_3,p12,Cap,1362.988
deep-egs_pbinary_3,p122,Cap,12642.7426
deep-egs_pbinary_3,p13,Cap,90.2937
deep-egs_pbinary_3,p14,Cap,495.517
deep-egs_pbinary_3,p15,Cap,7645.1819
deep-egs_pbinary_3,p16,Cap,5742.8293
deep-egs_pbinary_3,p17,Cap,7692.6191
deep-egs_pbinary_3,p18,Cap,19179.7192
deep-egs_pbinary_3,p19,Cap,5415.202
deep-egs_pbinary_3,p2,Cap,8034.6513
deep-egs_pbinary_3,p20,Cap,6525.0393
deep-egs_pbinary_3,p21,Cap,4.7484
deep-egs_pbinary_3,p24,Cap,2149.2657
deep-egs_pbinary_3,p25,Cap,482.8802
deep-egs_pbinary_3,p26,Cap,118.7792
deep-egs_pbinary_3,p27,Cap,1210.8553
deep-egs_pbinary_3,p28,Cap,8948.3063
deep-egs_pbinary_3,p29,Cap,1355.113
deep-egs_pbinary_3,p3,Cap,5543.6016
deep-egs_pbinary_3,p30,Cap,1685.443
deep-egs_pbinary_3,p31,Cap,34241.1877
deep-egs_pbinary_3,p32,Cap,13.3186
deep-egs_pbinary_3,p33,Cap,2439.4049
deep-egs_pbinary_3,p34,Cap,24034.8656
deep-egs_pbinary_3,p35,Cap,620.3138
deep-egs_pbinary_3,p36,Cap,22566.4517
deep-egs_pbinary_3,p37,Cap,474.0416
deep-egs_pbinary_3,p38,Cap,8870.676
deep-egs_pbinary_3,p39,Cap,5147.3395
deep-egs_pbinary_3,p4,Cap,865.3523
deep-egs_pbinary_3,p40,Cap,662.6721
deep-egs_pbinary_3,p41,Cap,1442.7118
deep-egs_pbinary_3,p48,Cap,2278.9841
deep-egs_pbinary_3,p5,Cap,2574.5865
deep-egs_pbinary_3,p50,Cap,19.2326
deep-egs_pbinary_3,p56,Cap,23.8484
deep-egs_pbinary_3,p57,Cap,512.215798
deep-egs_pbinary_3,p58,Cap,712.8984
deep-egs_pbinary_3,p59,Cap,22.5747
deep-egs_pbinary_3,p6,Cap,1103.9364
deep-egs_pbinary_3,p61,Cap,457.5417
deep-egs_pbinary_3,p63,Cap,16224.8763
deep-egs_pbinary_3,p64,Cap,184.5612
deep-egs_pbinary_3,p66,Cap,309.6538
deep-egs_pbinary_3,p67,Cap,1001.69
deep-egs_pbinary_3,p7,Cap,468.7093
deep-egs_pbinary_3,p8,Cap,187.0509
deep-egs_pbinary_3,p85,Cap,4.0422
deep-egs_pbinary_3,p86,Cap,8452.4854
deep-egs_pbinary_3,p87,Cap,75.401
deep-egs_pbinary_3,p88,Cap,8.169763
deep-egs_pbinary_3,p89,Cap,157.2576
deep-egs_pbinary_3,p9,Cap,16232.7596
deep-egs_pbinary_3,p91,Cap,144.3861
deep-egs_pbinary_3,p98,Cap,116.0229
deep-egs_pbinary_3,p99,Cap,27.897462
deep-egs_pbinary_4,p1,Cap,3670.8761
deep-egs_pbinary_4,p10,Cap,2008.6255
deep-egs_pbinary_4,p11,Cap,1183.686
deep-egs_pbinary_4,p115,Cap,2214.4
deep-egs_pbinary_4,p116,Cap,5045.8825
deep-egs_pbinary_4,p117,Cap,2763.5901
deep-egs_pbinary_4,p118,Cap,1583.92
deep-egs_pbinary_4,p12,Cap,1887.9953
deep-egs_pbinary_4,p13,Cap,1815.536
deep-egs_pbinary_4,p14,Cap,7504.056
deep-egs_pbinary_4,p15,Cap,2632.235
deep-egs_pbinary_4,p16,Cap,4411.8449
deep-egs_pbinary_4,p17,Cap,6514.2451
deep-egs_pbinary_4,p18,Cap,1773.6022
deep-egs_pbinary_4,p19,Cap,2249.8559
deep-egs_pbinary_4,p2,Cap,3072.1556
deep-egs_pbinary_4,p20,Cap,15931.0669
deep-egs_pbinary_4,p21,Cap,4516.5916
deep-egs_pbinary_4,p24,Cap,5537.0794
deep-egs_pbinary_4,p25,Cap,6123.3731
deep-egs_pbinary_4,p26,Cap,1821.1375
deep-egs_pbinary_4,p27,Cap,392.676226
deep-egs_pbinary_4,p28,Cap,8166.3905
deep-egs_pbinary_4,p29,Cap,1990.1772
deep-egs_pbinary_4,p3,Cap,14780.7999
deep-egs_pbinary_4,p30,Cap,3259.14
deep-egs_pbinary_4,p31,Cap,11308.9601
deep-egs_pbinary_4,p32,Cap,262.3048
deep-egs_pbinary_4,p33,Cap,16804.474
deep-egs_pbinary_4,p34,Cap,1762.4565
deep-egs_pbinary_4,p35,Cap,23198.0584
deep-egs_pbinary_4,p36,Cap,19118.7013
deep-egs_pbinary_4,p37,Cap,9397.0918
deep-egs_pbinary_4,p38,Cap,13604.731
deep-egs_pbinary_4,p39,Cap,13307.5323
deep-egs_pbinary_4,p4,Cap,4481.5199
deep-egs_pbinary_4,p40,Cap,4947.5089
deep-egs_pbinary_4,p47,Cap,400.6656
deep-egs_pbinary_4,p5,Cap,7087.817
deep-egs_pbinary_4,p50,Cap,265.9364
deep-egs_pbinary_4,p56,Cap,273.1176
deep-egs_pbinary_4,p57,Cap,8729.5389
deep-egs_pbinary_4,p58,Cap,9090.2311
deep-egs_pbinary_4,p59,Cap,1275.3158
deep-egs_pbinary_4,p6,Cap,343.0262
deep-egs_pbinary_4,p61,Cap,5311.9381
deep-egs_pbinary_4,p63,Cap,22002.3864
deep-egs_pbinary_4,p64,Cap,8567.1108
deep-egs_pbinary_4,p65,Cap,2428.9926
deep-egs_pbinary_4,p66,Cap,9877.0207
deep-egs_pbinary_4,p67,Cap,4976.1042
deep-egs_pbinary_4,p7,Cap,425.468259
deep-egs_pbinary_4,p8,Cap,222.9536
deep-egs_pbinary_4,p85,Cap,249.1245
deep-egs_pbinary_4,p86,Cap,2612.522608
deep-egs_pbinary_4,p87,Cap,289.4808
deep-egs_pbinary_4,p88,Cap,38.8764
deep-egs_pbinary_4,p9,Cap,455.313
deep-egs_pbinary_4,p91,Cap,134.5104
deep-egs_pbinary_4,p99,Cap,174.6972
deep-egs_pbinary_5,p1,Cap,1149.2637
deep-egs_pbinary_5,p10,Cap,8406.6347
deep-egs_pbinary_5,p11,Cap,324.7296
deep-egs_pbinary_5,p115,Cap,7625.1529
deep-egs_pbinary_5,p116,Cap,3539.0929
deep-egs_pbinary_5,p117,Cap,7285.7003
deep-egs_pbinary_5,p12,Cap,75008.719
deep-egs_pbinary_5,p15,Cap,3813.48
deep-egs_pbinary_5,p16,Cap,8026.4974
deep-egs_pbinary_5,p18,Cap,21707.1943
deep-egs_pbinary_5,p19,Cap,791.361
deep-egs_pbinary_5,p2,Cap,9225.633
deep-egs_pbinary_5,p20,Cap,12893.5399
deep-egs_pbinary_5,p21,Cap,1110.2187
deep-egs_pbinary_5,p24,Cap,10293.338
deep-egs_pbinary_5,p25,Cap,21867.2891
deep-egs_pbinary_5,p27,Cap,4524.7578
deep-egs_pbinary_5,p28,Cap,30290.5416
deep-egs_pbinary_5,p29,Cap,1438.278
deep-egs_pbinary_5,p31,Cap,20361.4318
deep-egs_pbinary_5,p32,Cap,1887.1828
deep-egs_pbinary_5,p33,Cap,24293.2371
deep-egs_pbinary_5,p34,Cap,15863.5826
deep-egs_pbinary_5,p35,Cap,15276.501
deep-egs_pbinary_5,p36,Cap,15064.1099
deep-egs_pbinary_5,p37,Cap,12904.1551
deep-egs_pbinary_5,p38,Cap,30983.5868
deep-egs_pbinary_5,p39,Cap,15249.563
deep-egs_pbinary_5,p40,Cap,26568.8788
deep-egs_pbinary_5,p47,Cap,414.5521
deep-egs_pbinary_5,p5,Cap,12027.8311
deep-egs_pbinary_5,p50,Cap,483.6936
deep-egs_pbinary_5,p57,Cap,177.259854
deep-egs_pbinary_5,p58,Cap,12050.7786
deep-egs_pbinary_5,p6,Cap,1564.29
deep-egs_pbinary_5,p61,Cap,7894.6163
deep-egs_pbinary_5,p63,Cap,12758.1601
deep-egs_pbinary_5,p64,Cap,12433.8902
deep-egs_pbinary_5,p65,Cap,22891.6515
deep-egs_pbinary_5,p66,Cap,7317.3628
deep-egs_pbinary_5,p67,Cap,2161.9575
deep-egs_pbinary_5,p7,Cap,18406.9986
deep-egs_pbinary_5,p8,Cap,3070.4081
deep-egs_pbinary_5,p85,Cap,55.843
deep-egs_pbinary_5,p87,Cap,94.7632
deep-egs_pbinary_5,p88,Cap,48.0694
deep-egs_pbinary_5,p9,Cap,8260.148
deep-egs_pbinary_5,p99,Cap,4627.0291
deep-egs_pbinary_6,p10,Cap,13776.9473
deep-egs_pbinary_6,p11,Cap,1124.811
deep-egs_pbinary_6,p12,Cap,2641.9326
deep-egs_pbinary_6,p15,Cap,6653.9921
deep-egs_pbinary_6,p18,Cap,14461.4633
deep-egs_pbinary_6,p2,Cap,396.8314
deep-egs_pbinary_6,p21,Cap,4118.1682
deep-egs_pbinary_6,p25,Cap,6509.2044
deep-egs_pbinary_6,p27,Cap,526.110262
deep-egs_pbinary_6,p28,Cap,7754.2506
deep-egs_pbinary_6,p29,Cap,3724.48
deep-egs_pbinary_6,p31,Cap,38644.0332
deep-egs_pbinary_6,p33,Cap,12099.0056
deep-egs_pbinary_6,p34,Cap,27245.4505
deep-egs_pbinary_6,p35,Cap,20083.5794
deep-egs_pbinary_6,p36,Cap,7273.0646
deep-egs_pbinary_6,p47,Cap,1072.0348
deep-egs_pbinary_6,p5,Cap,8089.8271
deep-egs_pbinary_6,p57,Cap,40.017794
deep-egs_pbinary_6,p58,Cap,9147.6124
deep-egs_pbinary_6,p6,Cap,394.6502
deep-egs_pbinary_6,p61,Cap,6200.3418
deep-egs_pbinary_6,p63,Cap,15793.7201
deep-egs_pbinary_6,p64,Cap,5614.3181
deep-egs_pbinary_6,p65,Cap,24250.4126
deep-egs_pbinary_6,p66,Cap,9316.6521
deep-egs_pbinary_6,p7,Cap,1251.625574
deep-egs_pbinary_6,p8,Cap,259.8112
deep-egs_pbinary_6,p85,Cap,190.5624
deep-egs_pbinary_6,p9,Cap,15502.0803
deep-egs_pbinary_7,p10,Cap,8639.9599
deep-egs_pbinary_7,p11,Cap,569.9126
deep-egs_pbinary_7,p15,Cap,4464.7022
deep-egs_pbinary_7,p21,Cap,19426.3682
deep-egs_pbinary_7,p25,Cap,5351.64
deep-egs_pbinary_7,p28,Cap,8863.232
deep-egs_pbinary_7,p31,Cap,20738.5468
deep-egs_pbinary_7,p33,Cap,9195.0922
deep-egs_pbinary_7,p34,Cap,16896.8446
deep-egs_pbinary_7,p35,Cap,5228.4981
deep-egs_pbinary_7,p5,Cap,604.7525
deep-egs_pbinary_7,p58,Cap,17410.9762
deep-egs_pbinary_7,p6,Cap,687.126
deep-egs_pbinary_7,p61,Cap,10319.2481
deep-egs_pbinary_7,p64,Cap,2058.8584
deep-egs_pbinary_7,p65,Cap,21097.4653
deep-egs_pbinary_7,p66,Cap,4193.8183
deep-egs_pbinary_7,p8,Cap,296.1351
deep-egs_pbinary_7,p85,Cap,181.9699
deep-egs_pbinary_7,p9,Cap,8924.8779
deep-egs_pbinary_8,p10,Cap,3777.7929
deep-egs_pbinary_8,p31,Cap,13331.6622
deep-egs_pbinary_8,p34,Cap,12110.7724
deep-egs_pbinary_8,p65,Cap,8471.8143
deep-egs_pbinary_8,p9,Cap,6313.9775
deep-egs_pflash_1,p1,Cap,4.571623
deep-egs_pflash_1,p10,Cap,967.3071
deep-egs_pflash_1,p11,Cap,58.4474
deep-egs_pflash_1,p115,Cap,22.039757
deep-egs_pflash_1,p116,Cap,21.63108
deep-egs_pflash_1,p12,Cap,567.7535
deep-egs_pflash_1,p13,Cap,10.6076
deep-egs_pflash_1,p14,Cap,17.1589
deep-egs_pflash_1,p15,Cap,27.76
deep-egs_pflash_1,p16,Cap,21.9464
deep-egs_pflash_1,p17,Cap,11.059985
deep-egs_pflash_1,p18,Cap,164.548
deep-egs_pflash_1,p19,Cap,2285.185
deep-egs_pflash_1,p2,Cap,487.4205
deep-egs_pflash_1,p20,Cap,3046.3303
deep-egs_pflash_1,p21,Cap,1.2083
deep-egs_pflash_1,p24,Cap,608.4331
deep-egs_pflash_1,p25,Cap,232.2305
deep-egs_pflash_1,p26,Cap,177.8558
deep-egs_pflash_1,p27,Cap,586.6938
deep-egs_pflash_1,p28,Cap,568.289
deep-egs_pflash_1,p29,Cap,706.4542
deep-egs_pflash_1,p3,Cap,97.4763
deep-egs_pflash_1,p30,Cap,320.397
deep-egs_pflash_1,p31,Cap,10.319097
deep-egs_pflash_1,p33,Cap,124.478
deep-egs_pflash_1,p34,Cap,37.7316
deep-egs_pflash_1,p35,Cap,518.4641
deep-egs_pflash_1,p36,Cap,77.8918
deep-egs_pflash_1,p37,Cap,73.101
deep-egs_pflash_1,p38,Cap,9314.0733
deep-egs_pflash_1,p39,Cap,534.0422
deep-egs_pflash_1,p4,Cap,6109.179
deep-egs_pflash_1,p40,Cap,952.9569
deep-egs_pflash_1,p5,Cap,262.233
deep-egs_pflash_1,p57,Cap,14.7913
deep-egs_pflash_1,p58,Cap,1300.011
deep-egs_pflash_1,p59,Cap,54.155672
deep-egs_pflash_1,p6,Cap,48.7305
deep-egs_pflash_1,p61,Cap,58.576793
deep-egs_pflash_1,p63,Cap,14.5842
deep-egs_pflash_1,p64,Cap,783.076107
deep-egs_pflash_1,p65,Cap,7648.8723
deep-egs_pflash_1,p66,Cap,539.5426
deep-egs_pflash_1,p67,Cap,503.935
deep-egs_pflash_1,p7,Cap,302.2651
deep-egs_pflash_1,p8,Cap,129.1878
deep-egs_pflash_1,p85,Cap,10.3525
deep-egs_pflash_1,p86,Cap,6.7976
deep-egs_pflash_1,p87,Cap,54.6636
deep-egs_pflash_1,p88,Cap,10.14505
deep-egs_pflash_1,p9,Cap,8.724124
deep-egs_pflash_1,p99,Cap,10.262853
deep-egs_pflash_2,p1,Cap,724.805
deep-egs_pflash_2,p10,Cap,3105.265
deep-egs_pflash_2,p11,Cap,87.1798
deep-egs_pflash_2,p116,Cap,3099.77504
deep-egs_pflash_2,p12,Cap,4767.1624
deep-egs_pflash_2,p13,Cap,83.2912
deep-egs_pflash_2,p14,Cap,0.342
deep-egs_pflash_2,p15,Cap,559.7482
deep-egs_pflash_2,p16,Cap,73.411
deep-egs_pflash_2,p17,Cap,575.559
deep-egs_pflash_2,p18,Cap,185.2758
deep-egs_pflash_2,p2,Cap,212.4749
deep-egs_pflash_2,p21,Cap,3.5485
deep-egs_pflash_2,p25,Cap,2964.2348
deep-egs_pflash_2,p27,Cap,1618.2158
deep-egs_pflash_2,p28,Cap,4348.6451
deep-egs_pflash_2,p29,Cap,512.7102
deep-egs_pflash_2,p3,Cap,21.8977
deep-egs_pflash_2,p30,Cap,1681.5413
deep-egs_pflash_2,p31,Cap,62.1999
deep-egs_pflash_2,p33,Cap,1045.6843
deep-egs_pflash_2,p34,Cap,154.1957
deep-egs_pflash_2,p35,Cap,809.7043
deep-egs_pflash_2,p36,Cap,182.206
deep-egs_pflash_2,p5,Cap,2724.2295
deep-egs_pflash_2,p57,Cap,10705.5996
deep-egs_pflash_2,p58,Cap,1624.6582
deep-egs_pflash_2,p59,Cap,724.4434
deep-egs_pflash_2,p6,Cap,684.4257
deep-egs_pflash_2,p61,Cap,565.325628
deep-egs_pflash_2,p63,Cap,93.1871
deep-egs_pflash_2,p64,Cap,730.87
deep-egs_pflash_2,p65,Cap,7267.1719
deep-egs_pflash_2,p66,Cap,606.4072
deep-egs_pflash_2,p7,Cap,900.8212
deep-egs_pflash_2,p8,Cap,989.406
deep-egs_pflash_2,p85,Cap,7.5444
deep-egs_pflash_2,p86,Cap,6562.3772
deep-egs_pflash_2,p9,Cap,37.167323
deep-egs_pflash_3,p10,Cap,4306.7851
deep-egs_pflash_3,p11,Cap,18.2027
deep-egs_pflash_3,p12,Cap,63435.3112
deep-egs_pflash_3,p13,Cap,3420.0876
deep-egs_pflash_3,p14,Cap,5040.8664
deep-egs_pflash_3,p15,Cap,3180.6075
deep-egs_pflash_3,p16,Cap,257.9395
deep-egs_pflash_3,p17,Cap,193.8464
deep-egs_pflash_3,p18,Cap,3416.0594
deep-egs_pflash_3,p2,Cap,8584.8479
deep-egs_pflash_3,p21,Cap,1.4003
deep-egs_pflash_3,p25,Cap,31974.1071
deep-egs_pflash_3,p27,Cap,18.3164
deep-egs_pflash_3,p28,Cap,10951.6786
deep-egs_pflash_3,p29,Cap,2153.5745
deep-egs_pflash_3,p3,Cap,18477.3488
deep-egs_pflash_3,p30,Cap,0.3295
deep-egs_pflash_3,p31,Cap,123.2487
deep-egs_pflash_3,p33,Cap,1858.599
deep-egs_pflash_3,p34,Cap,1563.2878
deep-egs_pflash_3,p35,Cap,10381.2556
deep-egs_pflash_3,p36,Cap,12101.9377
deep-egs_pflash_3,p5,Cap,4165.1723
deep-egs_pflash_3,p58,Cap,12318.5834
deep-egs_pflash_3,p59,Cap,529.1494
deep-egs_pflash_3,p6,Cap,1323.2468
deep-egs_pflash_3,p61,Cap,2628.2324
deep-egs_pflash_3,p63,Cap,19670.4854
deep-egs_pflash_3,p64,Cap,9481.2727
deep-egs_pflash_3,p65,Cap,21807.3652
deep-egs_pflash_3,p66,Cap,4789.6893
deep-egs_pflash_3,p7,Cap,14.3523
deep-egs_pflash_3,p8,Cap,6597.6039
deep-egs_pflash_3,p85,Cap,24.7754
deep-egs_pflash_3,p9,Cap,130.597493
deep-egs_pflash_4,p10,Cap,2307.1241
deep-egs_pflash_4,p11,Cap,232.6712
deep-egs_pflash_4,p12,Cap,42574.8503
deep-egs_pflash_4,p13,Cap,2467.6992
deep-egs_pflash_4,p15,Cap,5407.0436
deep-egs_pflash_4,p16,Cap,1188.7008
deep-egs_pflash_4,p17,Cap,18337.212
deep-egs_pflash_4,p21,Cap,81.4091
deep-egs_pflash_4,p25,Cap,28174.0801
