wst,r,t,Value
fsu,p80,2014,0.9869749015605664
fsu,p80,2016,0.9986260920112284
fsu,p80,2018,1.0200924824684554
fsu,p80,2020,1.0486617395590656
fsu,p80,2022,1.0666307358438103
fsu,p80,2024,1.0698714514480958
fsu,p80,2026,1.0179005457146122
fsu,p80,2028,1.0395980339843702
fsu,p80,2030,1.0741832136158749
fsu,p80,2032,1.1015974107760358
fsu,p80,2034,1.0868122338418864
fsu,p80,2036,1.0942863546538164
fsu,p80,2038,1.0711811462466874
fsu,p80,2040,1.0752897115825426
fsu,p80,2042,1.063206330358021
fsu,p80,2044,1.0890201715684975
fsu,p80,2046,1.139835465629491
fsu,p80,2048,1.051037047053163
fsu,p80,2050,1.042079826992787
fsu,p81,2010,1.0
fsu,p81,2012,0.9817987061665558
fsu,p81,2014,0.9666658782568164
fsu,p81,2016,0.9799778670457164
fsu,p81,2018,0.9862529880025352
fsu,p81,2020,0.9783782880595572
fsu,p81,2022,0.9894226904475087
fsu,p81,2024,0.9881032914573952
fsu,p81,2026,0.9542243092535904
fsu,p81,2028,0.984033135988388
fsu,p81,2030,1.0003123802972218
fsu,p81,2032,1.0269117361631834
fsu,p81,2034,1.0299211166567632
fsu,p81,2036,1.0271554289935607
fsu,p81,2038,1.0128008337646115
fsu,p81,2040,1.0342165283217322
fsu,p81,2042,1.043345913297781
fsu,p81,2044,1.0737058585244943
fsu,p81,2046,1.1129231299888087
fsu,p81,2048,1.0406815399701546
fsu,p81,2050,1.0559645048863198
fsu,p82,2010,1.0
fsu,p82,2012,1.0049351083729698
fsu,p82,2014,1.0093162940322515
fsu,p82,2016,1.0445870962230626
fsu,p82,2018,1.025345593604836
fsu,p82,2020,1.0446646688337209
fsu,p82,2022,1.0939621051743038
fsu,p82,2024,1.0857157171073175
fsu,p82,2026,1.0125980237351986
fsu,p82,2028,1.0356740263966049
fsu,p82,2030,1.0747637321042691
fsu,p82,2032,1.1089041520251253
fsu,p82,2034,1.1112340746795155
fsu,p82,2036,1.11308118947529
fsu,p82,2038,1.125468374162394
fsu,p82,2040,1.149459266130059
fsu,p82,2042,1.1201264624228713
fsu,p82,2044,1.1779787022765866
fsu,p82,2046,1.24077841593348
fsu,p82,2048,1.150805793168165
fsu,p82,2050,1.1568382687220051
fsu,p83,2010,1.0
fsu,p83,2012,1.0531831337704805
fsu,p83,2014,1.0503561744396157
fsu,p83,2016,1.0669383509152557
fsu,p83,2018,1.0711679889565586
fsu,p83,2020,1.101152821740307
fsu,p83,2022,1.1676293560030422
fsu,p83,2024,1.1594174559364596
fsu,p83,2026,1.0736916395027207
fsu,p83,2028,1.0718456569685686
fsu,p83,2030,1.1094826520005865
fsu,p83,2032,1.141714222045501
fsu,p83,2034,1.1425505489838168
fsu,p83,2036,1.1416646128455368
fsu,p83,2038,1.1326784674732628
fsu,p83,2040,1.141613082215324
fsu,p83,2042,1.0926687129734658
fsu,p83,2044,1.1291623902466712
fsu,p83,2046,1.1887335072381335
fsu,p83,2048,1.0909247456675164
fsu,p83,2050,1.098703895280435
fsu,p84,2010,1.0
fsu,p84,2012,0.9358589683948444
fsu,p84,2014,0.9274214001212202
fsu,p84,2016,0.9490681986764136
fsu,p84,2018,0.946197605562876
fsu,p84,2020,0.9218076442592876
fsu,p84,2022,0.9380205344900384
fsu,p84,2024,0.9363664205259924
fsu,p84,2026,0.9082393379250276
fsu,p84,2028,0.933486416169475
fsu,p84,2030,0.9481694889573512
fsu,p84,2032,0.9796343134787632
fsu,p84,2034,0.99297577316949
fsu,p84,2036,0.986326897684496
fsu,p84,2038,0.984622400031258
fsu,p84,2040,1.0150681373093515
fsu,p84,2042,1.0130379193502457
fsu,p84,2044,1.0374118469151214
fsu,p84,2046,1.0593333973082792
fsu,p84,2048,1.0007195769375243
