,2010,2012,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
p3,0.075701514,1.7785297,6.9279,17.2608,27.7605,37.7793,39.7371,45.533,58.2372,78.5773,118.1235,147.3841,170.9888,189.0824,202.2819,215.0823,228.1806,241.8607,248.1347,265.817,285.2244
p30,2.435539638,48.87996376,105.7247,197.0999,302.1283,318.587,329.4945,347.5405,399.7319,477.2694,571.365,600.0635,631.6275,661.1941,688.1834,713.201,737.0015,759.2649,781.5145,805.5846,830.1628
p31,0.65127812,21.37159267,44.8162,72.3666,113.1134,166.7731,223.673,302.9327,424.8162,594.8077,677.8551,749.3187,804.8308,848.6028,895.4688,936.9826,974.805,1014.2546,1050.7815,1090.3319,1128.2786
p32,0,0,3.8526,6.9905,10.3406,11.3278,12.1186,13.2255,15.0863,18.1406,23.3621,28.2759,32.9029,37.1845,41.4462,45.6364,49.7096,54.0059,59.2727,64.9514,69.9948
p33,2.526042441,132.7315941,199.6067,269.7168,385.2532,439.831,485.8689,551.9221,657.4856,824.5183,1081.8084,1350.2969,1619.4987,1880.8107,2122.8062,2202.2432,2280.3581,2366.2749,2462.9741,2586.0697,2735.7231
p34,0.857821277,34.1684059,92.7133,126.3423,183.6926,210.0536,232.0837,261.0522,307.454,379.9116,480.422,579.9343,674.4345,760.9423,837.8582,852.7417,866.7212,881.2775,897.9239,917.0892,938.0198
p35,0,0,0.0783,0.4583,0.9839,1.1807,1.4611,1.9286,2.7775,4.4803,7.7073,11.4405,15.6177,19.784,22.5542,25.5737,28.2177,30.5709,32.1549,34.7262,37.516
p36,0,0,11.0565,17.6254,24.0856,25.6318,27.054,29.1369,32.397,37.7794,47.4099,56.6991,65.8829,74.6245,82.7345,93.2096,104.2911,115.2928,125.5583,140.1389,156.4178
p37,0,0,14.1739,23.041,31.7,32.7385,33.5582,35.1061,38.5765,44.3534,55.023,65.5686,75.7594,85.0961,93.5861,105.5344,119.9949,134.7402,154.8474,180.4394,208.6728
p38,0,0,21.3778,33.676,45.445,47.412,48.9324,51.7684,57.255,67.6863,87.3825,108.1047,128.8404,149.1307,168.8869,188.0435,207.627,228.6812,252.7149,280.434,310.551
p39,0,0,2.546,3.9366,5.3074,5.6617,5.9518,6.439,7.4921,10.195,16.4725,22.4655,27.7621,32.7348,37.4419,41.1427,44.9414,48.0617,51.5806,55.3613,60.7013
p4,0.119576402,0.38937141,1.0854,1.7967,2.7364,2.9317,2.9822,3.155,3.6805,5.3096,10.4692,17.6465,25.4779,30.4437,33.4562,35.9884,38.4262,41.0497,42.9953,47.2811,51.7948
p40,0,0,11.3492,18.2708,25.306,26.6679,27.6469,29.6932,34.0408,43.8465,70.3982,98.4383,125.45,153.6982,182.3721,208.2953,236.1304,259.0075,292.1076,329.5589,370.2438
p41,0,0,11.3351,18.4591,25.1721,26.3317,27.0759,29.6133,37.3905,52.5827,82.3658,108.4849,132.9089,159.6564,187.6881,215.3988,245.1653,277.2439,316.3358,365.3459,417.481
p42,0,0,0.4932,2.4796,17.0299,19.1183,21.8082,26.2888,33.928,45.8961,65.6348,88.6316,94.3881,100.6549,107.4537,118.1701,129.4185,138.7213,149.4433,161.3305,173.2422
p43,0,0,15.2112,77.5352,562.7518,596.556,647.7743,731.8327,875.408,1106.3656,1489.0197,1952.2024,2051.3078,2142.7121,2232.9255,2352.9042,2469.044,2547.9352,2663.7852,2823.351,3009.8686
p44,0,0,0.8201,4.4233,33.4195,34.9626,37.0602,40.3273,45.3774,53.1365,65.7615,79.4726,81.9175,84.6498,87.7773,92.8306,98.3132,102.8305,108.1998,113.7121,121.0585
p45,0,0,5.5414,11.19,22.4377,25.2048,27.5435,31.2912,37.6983,48.1252,66.5202,88.2009,112.9948,140.8707,171.8336,204.1396,237.9006,271.6644,284.7112,301.3765,320.0799
p46,0.037516039,2.141675603,3.352,5.398,11.1512,15.7526,21.4206,31.4718,48.672,76.5017,122.1747,182.1203,253.4299,330.1659,407.4899,423.5838,440.292,454.4089,470.4331,489.0971,508.5933
p47,0.078073811,5.728407335,17.3832,24.885,34.5519,42.9664,49.4065,59.0924,74.7982,99.7679,114.0251,126.554,137.8278,148.7067,160.0222,171.1084,181.6763,191.4512,202.4814,215.8885,229.0793
p48,0.015890803,2.982025329,11.5934,24.7869,42.6101,45.235,48.8339,56.4198,74.2756,114.4099,191.3581,293.4261,407.1958,521.2464,626.6567,722.7119,807.1105,882.3468,971.1795,1085.974,1189.5367
p49,0,0,0.0096,0.0196,0.0622,0.2037,0.4749,1.0607,2.3651,4.7922,6.8934,9.0628,11.0607,13.0309,14.8744,17.8227,20.4374,22.2548,24.6174,27.3068,30.2281
