*r,cs
p111,Potsdam1
p111,Rome_Trough_Sst2
p111,Rose_Run4
p112,Conasuaga1
p112,Copper_Ridge1
p112,Copper_Ridge2
p112,Knox3
p112,Lockport01
p112,Lockport02
p112,Lockport05
p112,Medina03
p112,Mount_SImon07
p112,Mount_SImon08
p112,Mount_Simon05
p112,Mount_Simon06
p112,Mount_Simon10
p112,Niagaran01
p112,Oriskany1
p112,Oriskany2
p112,Oriskany3
p112,Oriskany4
p112,Oriskany5
p112,Oriskany6
p112,Oriskany7
p112,Potsdam1
p112,Rome_Trough_Sst1
p112,Rome_Trough_Sst2
p112,Rose_Run1
p112,Rose_Run4
p112,StPeter03
p113,Conasuaga1
p113,Copper_Ridge1
p113,Copper_Ridge2
p113,Knox1
p113,Knox2
p113,Knox3
p113,Knox4
p113,Knox5
p113,Lockport01
p113,Lockport02
p113,Mount_SImon07
p113,Mount_SImon08
p113,Mount_Simon02
p113,Mount_Simon03
p113,Mount_Simon04
p113,Mount_Simon05
p113,Mount_Simon06
p113,Mount_Simon10
p113,Niagaran01
p113,Oriskany2
p113,Oriskany3
p113,Oriskany4
p113,Oriskany5
p113,Oriskany6
p113,Oriskany7
p113,Rome_Trough_Sst1
p113,Rome_Trough_Sst2
p113,Rose_Run1
p113,Rose_Run4
p113,StPeter02
p113,StPeter03
p113,StPeter04
p113,StPeter05
p114,Basal_Sandstone_TN_Zone_2
p114,Conasuaga1
p114,Copper_Ridge1
p114,Knox1
p114,Knox2
p114,Knox3
p114,Knox4
p114,Knox5
p114,Knox6
p114,Lockport01
p114,Lockport02
p114,Mount_SImon07
p114,Mount_SImon08
p114,Mount_Simon02
p114,Mount_Simon03
p114,Mount_Simon04
p114,Mount_Simon05
p114,Mount_Simon06
p114,Mount_Simon10
p114,Oriskany2
p114,Oriskany3
p114,Oriskany6
p114,Oriskany7
p114,Rome_Trough_Sst1
p114,Rome_Trough_Sst2
p114,Rose_Run1
p114,StPeter02
p114,StPeter03
p114,StPeter04
p114,StPeter05
p114,StPeter06
p115,Conasuaga1
p115,Copper_Ridge1
p115,Copper_Ridge2
p115,Lockport01
p115,Lockport02
p115,Lockport05
p115,Lockport06
p115,Medina03
p115,Mount_SImon08
p115,Mount_Simon10
p115,Oriskany1
p115,Oriskany2
p115,Oriskany3
p115,Oriskany4
p115,Oriskany5
p115,Oriskany6
p115,Oriskany7
p115,Potsdam1
p115,Rome_Trough_Sst2
p115,Rose_Run1
p115,Rose_Run4
p116,Conasuaga1
p116,Copper_Ridge1
p116,Copper_Ridge2
p116,Lockport01
p116,Lockport02
p116,Lockport05
p116,Medina03
p116,Mount_Simon06
p116,Mount_Simon10
p116,Oriskany1
p116,Oriskany2
p116,Oriskany3
p116,Oriskany4
p116,Oriskany5
p116,Oriskany6
p116,Oriskany7
p116,Potsdam1
p116,Rome_Trough_Sst1
p116,Rome_Trough_Sst2
p116,Rose_Run1
p116,Rose_Run4
p117,Basal_Sandstone_TN_Zone_2
p117,Conasuaga1
p117,Copper_Ridge1
p117,Copper_Ridge2
p117,Lockport01
p117,Lockport02
p117,Lockport05
p117,Medina03
p117,Mount_Simon06
p117,Mount_Simon10
p117,Oriskany1
p117,Oriskany2
p117,Oriskany3
p117,Oriskany4
p117,Oriskany5
p117,Oriskany6
p117,Oriskany7
p117,Potsdam1
p117,Rome_Trough_Sst1
p117,Rome_Trough_Sst2
p117,Rose_Run1
p117,Rose_Run4
p118,Conasuaga1
p118,Copper_Ridge1
p118,Copper_Ridge2
p118,Lockport01
p118,Lockport02
p118,Lockport05
p118,Medina03
p118,Mount_Simon10
p118,Oriskany1
p118,Oriskany2
p118,Oriskany3
p118,Oriskany4
p118,Oriskany6
p118,Oriskany7
p118,Rome_Trough_Sst1
p118,Rome_Trough_Sst2
p118,Rose_Run1
p119,Conasuaga1
p119,Copper_Ridge1
p119,Copper_Ridge2
p119,Lockport02
p119,Lockport05
p119,Lockport06
p119,Medina03
p119,Oriskany1
p119,Oriskany2
p119,Oriskany3
p119,Oriskany4
p119,Oriskany5
p119,Oriskany6
p119,Oriskany7
p119,Potsdam1
p119,Rome_Trough_Sst2
p119,Rose_Run4
p12,Domengine1
p12,Domengine2
p12,Forbes
p12,Mokelumne_River1
p12,Mokelumne_River2
p12,Monterey1a
p12,Monterey1b
p12,Moreno1Starkey
p12,Moreno2
p12,Panoche1a
p12,Panoche1b
p12,Starkey1
p12,Temblor2a
p12,Temblor2b
p12,Temblor3a
p12,Temblor3b
p12,Temblor3c
p12,Winters1a
p12,Winters1b
p12,Winters1c
p12,Winters2
p120,Conasuaga1
p120,Copper_Ridge1
p120,Copper_Ridge2
p120,Lockport02
p120,Lockport05
p120,Lockport06
p120,Medina03
p120,Oriskany1
p120,Oriskany2
p120,Oriskany3
p120,Oriskany4
p120,Oriskany5
p120,Oriskany6
p120,Oriskany7
p120,Potsdam1
p120,Rome_Trough_Sst2
p120,Rose_Run4
p120,Waste_Gate1
p121,Conasuaga1
p121,Copper_Ridge1
p121,Copper_Ridge2
p121,Lockport02
p121,Lockport05
p121,Lockport06
p121,Medina03
p121,Oriskany1
p121,Oriskany2
p121,Oriskany3
p121,Oriskany4
p121,Oriskany5
p121,Oriskany6
p121,Oriskany7
p121,Potsdam1
p121,Rome_Trough_Sst2
p121,Rose_Run4
p121,Waste_Gate1
p122,Lockport05
p122,Lockport06
p122,Medina03
p122,Oriskany1
p122,Oriskany4
p122,Oriskany5
p122,Oriskany6
p122,Potsdam1
p122,Waste_Gate1
p123,Copper_Ridge2
p123,Lockport05
p123,Medina03
p123,Oriskany1
p123,Oriskany4
p123,Oriskany5
p123,Oriskany6
p123,Potsdam1
p123,Rose_Run4
p123,Waste_Gate1
p124,Lockport05
p124,Oriskany6
p124,Waste_Gate1
p125,Lockport05
p125,Medina03
p125,Oriskany1
p125,Oriskany4
p125,Oriskany5
p125,Oriskany6
p125,Waste_Gate1
p126,Lockport05
p126,Lockport06
p126,Oriskany4
p126,Oriskany5
p126,Potsdam1
p126,Waste_Gate1
p127,Lockport06
p127,Oriskany4
p127,Oriskany5
p127,Potsdam1
p128,Lockport06
p128,Oriskany4
p128,Oriskany5
p129,Lockport06
p13,Monterey1a
p13,Monterey1b
p13,Moreno2
p13,Panoche1a
p13,Panoche1b
p13,Temblor2a
p13,Temblor2b
p13,Temblor3a
p13,Temblor3b
p13,Temblor3c
p130,Oriskany4
p131,Oriskany4
p132,Lockport06
p132,Oriskany4
p132,Oriskany5
p133,Oriskany4
p16,Crow_Mountain_1
p16,Crow_Mountain_2
p16,Crow_Mountain_3
p16,Fort_Union2
p16,Frontier3
p16,Lance1
p16,Madison3
p16,Morrison6
p16,Muddy1
p16,Muddy2
p16,Muddy3
p16,Nugget2
p16,Nugget4
p16,Tensleep2
p16,Tensleep3
p16,Tensleep4
p16,Tensleep5
p17,Basal_Cambrian1
p17,DuperowLower_1
p18,Basal_Cambrian1
p18,Basal_Cambrian4
p18,Crow_Mountain_2
p18,Crow_Mountain_3
p18,DuperowLower_1
p18,Madison_GpMission_Canyon_Fm4
p18,Muddy3
p18,Tensleep3
p19,Basal_Cambrian1
p19,Basal_Cambrian2
p19,Basal_Cambrian4
p19,DuperowLower_1
p19,InyanKara1
p19,InyanKara3
p19,Madison_GpMission_Canyon_Fm2
p19,Madison_GpMission_Canyon_Fm4
p19,Madison_GpMission_Canyon__Fm1
p19,Minnelusa2
p19,Red_River1
p19,Red_River2
p20,Basal_Cambrian1
p20,Basal_Cambrian4
p20,Crow_Mountain_1
p20,Crow_Mountain_2
p20,Crow_Mountain_3
p20,DuperowLower_1
p20,Fort_Union2
p20,Frontier3
p20,InyanKara1
p20,Lance1
p20,Madison1
p20,Madison3
p20,Madison_GpMission_Canyon_Fm4
p20,Minnelusa1
p20,Minnelusa2
p20,Muddy1
p20,Muddy2
p20,Muddy3
p20,Nugget4
p20,Red_River2
p20,Tensleep2
p20,Tensleep3
p21,Crow_Mountain_1
p21,Crow_Mountain_2
p21,Crow_Mountain_3
p21,Dakota02
p21,Entrada1
p21,Entrada2
p21,Entrada6
p21,Fort_Union2
p21,Frontier3
p21,Lance1
p21,Madison1
p21,Madison3
p21,Minnelusa1
p21,Minnelusa2
p21,Morrison6
p21,Morrison7
p21,Morrison8
p21,Muddy1
p21,Muddy2
p21,Muddy3
p21,Nugget1
p21,Nugget2
p21,Nugget4
p21,Tensleep2
p21,Tensleep3
p21,Tensleep4
p21,Tensleep5
p21,Wasatch1
p21,Weber2
p22,Basal_Cambrian4
p22,Crow_Mountain_1
p22,Crow_Mountain_2
p22,Crow_Mountain_3
p22,Entrada6
p22,Fort_Union2
p22,Frontier3
p22,InyanKara1
p22,InyanKara2
p22,InyanKara3
p22,Lance1
p22,Madison1
p22,Madison3
p22,Madison_GpMission_Canyon_Fm4
p22,Madison_GpMission_Canyon__Fm1
p22,Minnelusa1
p22,Minnelusa2
p22,Morrison6
p22,Muddy1
p22,Muddy2
p22,Muddy3
p22,Nugget2
p22,Nugget4
p22,Red_River1
p22,Red_River2
p22,Tensleep2
p22,Tensleep3
p22,Tensleep4
p23,Basal_Cambrian4
p23,Basal_Cambrian7
p23,Crow_Mountain_1
p23,Crow_Mountain_2
p23,Crow_Mountain_3
p23,Entrada6
p23,Fort_Union2
p23,Frontier3
p23,InyanKara1
p23,InyanKara2
p23,InyanKara3
p23,Lance1
p23,Madison1
p23,Madison3
p23,Madison_GpMission_Canyon_Fm4
p23,Madison_GpMission_Canyon__Fm1
p23,Minnelusa1
p23,Minnelusa2
p23,Morrison6
p23,Muddy1
p23,Muddy2
p23,Muddy3
p23,Nugget2
p23,Nugget4
p23,Red_River1
p23,Red_River2
p23,Tensleep2
p23,Tensleep3
p24,Arbuckle2
p24,Arbuckle3
p24,Dakota02
p24,Entrada1
p24,Entrada6
p24,Fort_Union2
p24,Fountain1b
p24,Fountain2a
p24,Fountain2b
p24,Lance1
p24,Lyons3
p24,Madison1
p24,Madison3
p24,Maha01
p24,Minnelusa1
p24,Morrison3
p24,Morrison6
p24,Morrison8
p24,Nugget1
p24,Nugget2
p24,Nugget4
p24,Weber2
p25,Entrada1
p25,Entrada2
p25,Green_River1
p25,Mesaverde3
p25,Morrison6
p25,Morrison7
p25,Morrison8
p25,Navajo01
p25,Nugget1
p25,Nugget2
p25,Paradox1
p25,Tensleep4
p25,Tensleep5
p25,Wasatch1
p25,Weber2
p25,WhiteRim01
p26,Dakota02
p26,Entrada1
p26,Entrada2
p26,Fort_Union2
p26,Green_River1
p26,Lance1
p26,Madison3
p26,Mesaverde3
p26,Morrison6
p26,Morrison7
p26,Morrison8
p26,Navajo01
p26,Nugget1
p26,Nugget2
p26,Nugget4
p26,Paradox1
p26,Tensleep4
p26,Tensleep5
p26,Wasatch1
p26,Weber2
p26,WhiteRim01
p27,Repetto_Sst1
p27,Repetto_Sst2a
p27,Repetto_Sst2b
p27,Repetto_Sst2c
p27,Repetto_Sst3a
p27,Repetto_Sst3b
p27,Repetto_Sst3c
p27,Repetto_Sst3d
p29,Dakota03
p29,Entrada8
p29,Entrada9
p29,Glorieta1
p29,Hermosa1a
p29,Hermosa1b
p29,Leadville1
p29,Morrison1
p29,Morrison2
p29,Paradox1
p31,Atoka2
p31,Canyon1
p31,Canyon2
p31,Canyon4
p31,Cisco1
p31,Cisco2
p31,Cisco4
p31,Dakota03
p31,Dakota06
p31,Dakota07
p31,Entrada8
p31,Entrada9
p31,Glorieta1
p31,Hermosa1a
p31,Hermosa1b
p31,Leadville1
p31,Leonard2
p31,Morrison1
p31,Morrison2
p31,Paradox1
p31,Queen2
p31,Seven_Rivers2
p31,Wolfcamp1
p31,Wolfcamp2
p32,Basal_Cambrian4
p32,Basal_Cambrian7
p32,Basal_Cambrian8
p32,Entrada6
p32,Fort_Union2
p32,InyanKara1
p32,InyanKara2
p32,InyanKara3
p32,Lance1
p32,Madison1
p32,Madison3
p32,Madison_GpMission_Canyon_Fm2
p32,Madison_GpMission_Canyon_Fm4
p32,Madison_GpMission_Canyon__Fm1
p32,Maha01
p32,Minnelusa1
p32,Minnelusa2
p32,Muddy2
p32,Nugget4
p32,Red_River1
p32,Red_River2
p33,Arbuckle2
p33,Arbuckle3
p33,Arbuckle4
p33,Dakota02
p33,Dakota06
p33,Entrada1
p33,Entrada6
p33,Fountain1b
p33,Fountain2a
p33,Fountain2b
p33,Lyons3
p33,Maha01
p33,Morrison3
p33,Morrison6
p33,Morrison8
p33,Nugget1
p33,Nugget2
p33,Reagan01
p33,Viola01
p33,Weber2
p34,Arbuckle2
p34,Arbuckle3
p34,Arbuckle4
p34,Dakota02
p34,Dakota03
p34,Dakota06
p34,Dakota07
p34,Entrada1
p34,Entrada6
p34,Entrada8
p34,Entrada9
p34,Fountain1b
p34,Fountain2a
p34,Fountain2b
p34,Hermosa1a
p34,Hermosa1b
p34,Leadville1
p34,Lyons3
p34,Maha01
p34,Morrison1
p34,Morrison2
p34,Morrison3
p34,Morrison6
p34,Morrison8
p34,Nugget1
p34,Nugget2
p34,Reagan01
p34,Simpson04
p34,Viola01
p34,Weber2
p35,Basal_Cambrian2
p35,Basal_Cambrian4
p35,Basal_Cambrian7
p35,Crow_Mountain_1
p35,Crow_Mountain_2
p35,Crow_Mountain_3
p35,Frontier3
p35,InyanKara1
p35,InyanKara2
p35,InyanKara3
p35,Madison1
p35,Madison_GpMission_Canyon_Fm2
p35,Madison_GpMission_Canyon_Fm4
p35,Madison_GpMission_Canyon__Fm1
p35,Minnelusa1
p35,Minnelusa2
p35,Muddy1
p35,Muddy2
p35,Muddy3
p35,Red_River1
p35,Red_River2
p35,Tensleep2
p35,Tensleep3
p36,Basal_Cambrian2
p36,Basal_Cambrian4
p36,Basal_Cambrian7
p36,Basal_Cambrian8
p36,InyanKara1
p36,InyanKara2
p36,InyanKara3
p36,Madison_GpMission_Canyon_Fm2
p36,Madison_GpMission_Canyon_Fm4
p36,Madison_GpMission_Canyon__Fm1
p36,Red_River1
p36,Red_River2
p37,Basal_Cambrian7
p37,Basal_Cambrian8
p37,InyanKara3
p37,Madison_GpMission_Canyon__Fm1
p37,Red_River1
p39,Arbuckle2
p39,Arbuckle3
p39,Dakota02
p39,Entrada6
p39,Fort_Union2
p39,Fountain1b
p39,Fountain2a
p39,Fountain2b
p39,InyanKara2
p39,Lance1
p39,Madison1
p39,Madison3
p39,Maha01
p39,Minnelusa1
p39,Morrison3
p39,Morrison6
p39,Morrison8
p39,Nugget1
p39,Nugget2
p39,Nugget4
p40,Arbuckle2
p40,Arbuckle3
p40,Arbuckle4
p40,Maha01
p40,Morrison3
p42,Basal_Cambrian7
p42,Basal_Cambrian8
p42,InyanKara3
p42,Red_River1
p46,Mount_Simon03
p47,Atoka1
p47,Atoka2
p47,Canyon1
p47,Canyon2
p47,Canyon3
p47,Canyon4
p47,Cisco1
p47,Cisco2
p47,Cisco3
p47,Cisco4
p47,Glorieta1
p47,Leonard1
p47,Leonard2
p47,Queen1
p47,Queen2
p47,Seven_Rivers1
p47,Seven_Rivers2
p47,Wolfcamp1
p47,Wolfcamp2
p48,Atoka1
p48,Atoka2
p48,Canyon1
p48,Canyon2
p48,Canyon3
p48,Canyon4
p48,Cisco1
p48,Cisco2
p48,Cisco3
p48,Cisco4
p48,Leonard1
p48,Leonard2
p48,Queen1
p48,Queen2
p48,Seven_Rivers1
p48,Seven_Rivers2
p48,Wolfcamp1
p48,Wolfcamp2
p49,Arbuckle1
p49,Arbuckle2
p49,Arbuckle3
p49,Arbuckle4
p49,Atoka1
p49,Canyon1
p49,Canyon2
p49,Canyon3
p49,Cisco1
p49,Cisco2
p49,Cisco3
p49,Dakota06
p49,Dakota07
p49,Leonard1
p49,Morrison3
p49,Morrow1
p49,Queen1
p49,Reagan01
p49,Seven_Rivers1
p49,Simpson04
p49,Viola01
p49,Wolfcamp1
p49,Wolfcamp2
p50,Arbuckle1
p50,Arbuckle4
p50,Atoka1
p50,Canyon1
p50,Cisco1
p50,Leonard1
p50,Morrow1
p50,Paluxy2
p50,Paluxy3
p50,Queen1
p50,Seven_Rivers1
p50,Wolfcamp1
p50,Woodbine1
p51,Arbuckle1
p51,Arbuckle4
p51,Morrow1
p52,Arbuckle1
p52,Arbuckle2
p52,Arbuckle3
p52,Arbuckle4
p52,Canyon1
p52,Cisco1
p52,Dakota06
p52,Fountain2a
p52,Fountain2b
p52,Lyons3
p52,Maha01
p52,Morrison3
p52,Morrow1
p52,Reagan01
p52,Simpson04
p52,Viola01
p52,Wolfcamp1
p53,Arbuckle1
p53,Arbuckle4
p53,Morrow1
p54,Arbuckle4
p55,Arbuckle4
p55,Knox1
p55,Mount_Simon02
p55,Mount_Simon03
p56,Arbuckle1
p56,Arbuckle4
p56,Paluxy3
p57,Frio01
p57,Frio03a
p57,Frio03b
p57,Frio04
p57,Frio05
p57,Frio06
p57,Frio07a
p57,Frio07b
p57,Frio08
p57,Lower_Tuscaloosa06
p57,Lower_Tuscaloosa08
p57,Lower_Tuscaloosa09
p57,Paluxy1
p57,Paluxy2
p57,Paluxy3
p57,WashitaFredericksburg3
p57,Woodbine1
p58,Lower_Tuscaloosa01
p58,Lower_Tuscaloosa03
p58,Lower_Tuscaloosa06
p58,Lower_Tuscaloosa07
p58,Lower_Tuscaloosa08
p58,Lower_Tuscaloosa09
p58,Lower_Tuscaloosa10
p58,Paluxy6
p58,WashitaFredericksburg3
p59,Atoka1
p59,Atoka2
p59,Canyon3
p59,Canyon4
p59,Cisco3
p59,Cisco4
p59,Leonard1
p59,Leonard2
p59,Queen1
p59,Queen2
p59,Seven_Rivers1
p59,Seven_Rivers2
p6,Domengine2
p6,Forbes
p6,Mokelumne_River2
p6,Moreno1Starkey
p6,Winters2
p60,Atoka1
p60,Atoka2
p60,Canyon1
p60,Canyon2
p60,Canyon3
p60,Canyon4
p60,Cisco1
p60,Cisco2
p60,Cisco3
p60,Cisco4
p60,Leonard1
p60,Leonard2
p60,Queen1
p60,Queen2
p60,Seven_Rivers1
p60,Seven_Rivers2
p60,Wolfcamp1
p60,Wolfcamp2
p61,Atoka1
p61,Atoka2
p61,Canyon3
p61,Canyon4
p61,Cisco3
p61,Cisco4
p61,Leonard1
p61,Leonard2
p61,Queen1
p61,Queen2
p61,Seven_Rivers1
p61,Seven_Rivers2
p62,Atoka1
p62,Atoka2
p62,Canyon1
p62,Canyon2
p62,Canyon3
p62,Canyon4
p62,Cisco1
p62,Cisco2
p62,Cisco3
p62,Cisco4
p62,Leonard1
p62,Leonard2
p62,Queen1
p62,Queen2
p62,Seven_Rivers1
p62,Seven_Rivers2
p62,Wolfcamp1
p62,Wolfcamp2
p63,Paluxy1
p63,Paluxy2
p63,Paluxy3
p63,Woodbine1
p64,Atoka1
p64,Canyon3
p64,Cisco3
p64,Frio01
p64,Frio02
p64,Frio03a
p64,Frio03b
p64,Frio04
p64,Frio06
p64,Frio07a
p64,Frio07b
p64,Frio08
p64,Frio09a
p64,Frio09b
p64,Frio10
p64,Frio11
p64,Frio12a
p64,Frio12b
p64,Frio13a
p64,Frio13b
p64,Frio13c
p64,Leonard1
p64,Paluxy1
p64,Paluxy2
p64,Paluxy3
p64,Queen1
p64,Seven_Rivers1
p64,Woodbine1
p65,Atoka1
p65,Canyon3
p65,Cisco3
p65,Frio01
p65,Frio02
p65,Frio06
p65,Frio07a
p65,Frio07b
p65,Frio08
p65,Frio09a
p65,Frio09b
p65,Frio10
p65,Frio11
p65,Frio12a
p65,Frio12b
p65,Frio13a
p65,Frio13b
p65,Frio13c
p65,Leonard1
p65,Paluxy3
p65,Queen1
p65,Seven_Rivers1
p65,Woodbine1
p66,Frio01
p66,Frio02
p66,Frio03a
p66,Frio03b
p66,Frio04
p66,Frio05
p66,Frio06
p66,Frio07a
p66,Frio07b
p66,Frio08
p66,Frio09a
p66,Frio09b
p66,Frio10
p66,Frio11
p66,Lower_Tuscaloosa06
p66,Lower_Tuscaloosa07
p66,Lower_Tuscaloosa08
p66,Lower_Tuscaloosa09
p66,Paluxy1
p66,Paluxy2
p66,Paluxy3
p66,Paluxy6
p66,WashitaFredericksburg3
p66,Woodbine1
p67,Frio01
p67,Frio02
p67,Frio03a
p67,Frio03b
p67,Frio04
p67,Frio05
p67,Frio06
p67,Frio07a
p67,Frio07b
p67,Frio08
p67,Frio09a
p67,Frio09b
p67,Frio10
p67,Frio11
p67,Lower_Tuscaloosa06
p67,Paluxy1
p67,Paluxy2
p67,Paluxy3
p67,Woodbine1
p69,Mount_Simon03
p70,Mount_Simon03
p71,Knox1
p71,Mount_Simon02
p71,Mount_Simon03
p72,Knox1
p72,Knox2
p72,Knox3
p72,Knox4
p72,Knox5
p72,Knox6
p72,Mount_Simon02
p72,Mount_Simon03
p72,Mount_Simon04
p72,Mount_Simon05
p72,Mount_Simon06
p72,StPeter02
p72,StPeter03
p72,StPeter04
p72,StPeter05
p72,StPeter06
p73,Knox1
p73,Knox2
p73,Knox4
p73,Knox5
p73,Knox6
p73,Mount_Simon02
p73,Mount_Simon03
p73,Mount_Simon04
p73,StPeter02
p73,StPeter04
p73,StPeter05
p73,StPeter06
p78,Mount_Simon03
p78,Mount_Simon06
p79,Mount_Simon03
p8,Domengine2
p8,Forbes
p8,Mokelumne_River2
p8,Moreno1Starkey
p8,Winters2
p80,Conasuaga1
p80,Knox1
p80,Knox3
p80,Mount_SImon07
p80,Mount_SImon08
p80,Mount_Simon02
p80,Mount_Simon03
p80,Mount_Simon05
p80,Mount_Simon06
p80,Mount_Simon10
p80,StPeter03
p81,Knox1
p81,Knox3
p81,Mount_SImon07
p81,Mount_Simon02
p81,Mount_Simon03
p81,Mount_Simon06
p81,StPeter03
p82,Knox1
p82,Knox2
p82,Knox3
p82,Knox4
p82,Mount_SImon07
p82,Mount_Simon02
p82,Mount_Simon03
p82,Mount_Simon04
p82,Mount_Simon05
p82,Mount_Simon06
p82,StPeter02
p82,StPeter03
p82,StPeter04
p83,Knox1
p83,Knox2
p83,Knox3
p83,Knox4
p83,Knox5
p83,Knox6
p83,Mount_SImon07
p83,Mount_Simon02
p83,Mount_Simon03
p83,Mount_Simon04
p83,Mount_Simon05
p83,Mount_Simon06
p83,Mount_Simon10
p83,StPeter02
p83,StPeter03
p83,StPeter04
p83,StPeter05
p83,StPeter06
p84,Knox1
p84,Knox2
p84,Knox3
p84,Knox4
p84,Knox5
p84,Knox6
p84,Mount_Simon02
p84,Mount_Simon03
p84,Mount_Simon04
p84,Mount_Simon05
p84,StPeter02
p84,StPeter03
p84,StPeter04
p84,StPeter05
p84,StPeter06
p85,Lower_Tuscaloosa06
p85,Lower_Tuscaloosa08
p85,Paluxy2
p85,Paluxy3
p85,Paluxy6
p85,WashitaFredericksburg3
p85,Woodbine1
p86,Frio01
p86,Frio03a
p86,Frio03b
p86,Frio04
p86,Lower_Tuscaloosa06
p86,Lower_Tuscaloosa07
p86,Lower_Tuscaloosa08
p86,Lower_Tuscaloosa09
p86,Lower_Tuscaloosa10
p86,Paluxy1
p86,Paluxy2
p86,Paluxy3
p86,Paluxy6
p86,WashitaFredericksburg3
p86,Woodbine1
p87,Lower_Tuscaloosa01
p87,Lower_Tuscaloosa02
p87,Lower_Tuscaloosa03
