,max_inj_rate,max_stor_cap,bec_10,bec_20,bec_30,bec_40,bec_50,bec_60,bec_70,bec_80,bec_90
Domengine2,46199.3,11007.4,26.4,15.2,11.5,9.5,8.4,7.6,7,6.6,6.2
DuperowLower_1,1155,279.6,49.8,30.2,24.8,21.7,20,18.9,18.1,17.3,16.9
Entrada1,20789.7,5024.3,31.8,21,18.7,17.1,16.3,15.9,15.3,15,14.8
Entrada2,35804.5,8601.3,33.4,19,14.1,11.6,10.1,9.1,8.3,7.8,7.3
Entrada6,2887.5,758.2,38.7,22.6,17.1,14.4,13,12,11.3,10.8,10.6
Entrada8,4619.9,1192.4,26.8,17.6,14.9,13.7,12.9,12.5,12.3,12,11.7
Entrada9,10394.8,2492,29,20.5,18.5,17.3,16.6,16.2,16,15.6,15.4
Forbes,39269.4,9394,26.4,14.8,10.9,8.9,7.7,6.9,6.3,5.9,5.6
Fort_Union2,3464.9,864.8,41,23.4,17.4,14.4,12.5,11.6,10.9,10.3,9.9
Fountain1b,2310,667.6,119.3,63.2,44.3,34.7,28.9,25.4,22.8,20.9,19.4
Fountain2b,1155,369.8,119.3,63.2,44.3,34.7,28.9,25.4,22.8,20.9,19.4
Frio01,12704.8,3052.3,20.9,12.7,9.9,8.5,7.6,7.1,6.6,6.4,6.3
Frio02,25987.1,6239.9,19.8,11.4,8.6,7.2,6.3,5.7,5.3,5,4.7
Frio03a,28297.1,6794.5,23.6,13.3,9.8,8,6.9,6.2,5.7,5.3,5
Frio03b,13282.3,3144.9,26.6,15.4,11.6,9.6,8.4,7.7,7.1,6.6,6.3
Frio04,10972.3,2702.8,28.9,16.2,12,9.8,8.4,7.6,6.9,6.4,6
Frio05,2310,579.5,39.9,22.7,16.9,13.9,12.1,10.9,10,9.5,9.2
Frio06,42156.9,10082.7,23.3,13.2,9.8,8,6.9,6.2,5.7,5.3,5
Frio07a,38114.4,9051.1,28.6,15.8,11.5,9.4,8,7.1,6.5,6,5.6
Frio07b,6929.9,1678.4,35.3,21.3,16.6,14.1,13.2,12.3,11.9,11.4,11.2
Frio08,15014.8,3590.9,38.6,21.5,15.7,12.7,10.9,9.7,8.9,8.2,7.7
Frio09a,54861.7,13109,23.7,13.3,9.9,8.1,7,6.3,5.7,5.3,5
Frio09b,25409.6,6025.3,26.7,15.5,11.7,9.7,8.5,7.7,7.1,6.7,6.3
Frio10,46199.3,10992.1,29,16.1,11.8,9.6,8.3,7.4,6.7,6.2,5.9
Frio11,3464.9,882,38,21,15.3,12.4,10.6,9.4,8.5,7.9,7.4
Frio12a,46776.8,11078.9,23.8,13.4,10,8.2,7.1,6.4,5.8,5.4,5.1
Frio12b,42734.4,10113.9,26.3,14.8,10.9,8.9,7.7,6.9,6.3,5.9,5.5
Frio13a,32339.5,7696.4,29.2,16.3,12,9.8,8.4,7.5,6.9,6.4,6
Frio13b,29452.1,6975,32.3,18,13.2,10.7,9.2,8.2,7.5,6.9,6.5
Frio13c,25987.1,6248.3,35.7,19.9,14.5,11.8,10.1,9,8.2,7.5,7.1
Frontier3,12127.3,2991.8,21.5,12.5,9.5,7.9,7,6.4,5.9,5.6,5.3
Hermosa1a,577.5,142.4,43.5,25.5,19.3,16.2,15,13.9,13.3,12.6,12.3
Hermosa1b,577.5,157.3,47.4,27.3,20.4,16.9,15.2,14,13.4,12.7,12.1
InyanKara1,33494.5,8000,31.1,19.4,15.5,14.1,12.9,12.5,12.1,11.7,11.5
InyanKara2,12704.8,3132.9,28.1,17.9,14.5,13.3,12.3,11.8,11.5,11.2,11
InyanKara3,39269.4,9302.7,29.5,18.6,15,13.6,12.6,12.1,11.8,11.4,11.2
Knox1,9817.4,2444.1,29,18.7,15.6,14.3,13.4,12.9,12.5,12.2,11.9
Knox2,2310,599.6,40.7,27.3,23.7,21.8,20.6,19.8,19.2,18.7,18.3
Knox3,6929.9,1658.2,25.9,16.7,13.6,12.5,11.6,11.2,10.9,10.6,10.3
Knox4,577.5,137.3,35.6,24.6,21.7,20.1,19,18.4,17.9,17.5,17.1
Knox5,2310,608.6,27,17.7,14.9,13.7,12.9,12.5,12.1,11.8,11.5
Knox6,577.5,182.8,35.8,24.7,21.7,20.1,19.1,18.4,17.9,17.5,17.2
Lance1,4042.4,1041.1,37.2,20.7,15.2,12.4,10.6,9.5,8.7,8,7.5
Leonard1,39269.4,9317.3,34,19.5,14.5,12,10.4,9.5,8.7,8.3,8
Leonard2,6929.9,1698.4,32.7,18.8,14.1,11.7,10.2,9.3,8.5,8.2,7.9
Lower_Tuscaloosa01,75651.4,17951.3,23.1,13.9,10.8,9.1,8.1,7.5,7,6.8,6.6
Lower_Tuscaloosa02,21367.2,5145.4,27.2,15.8,11.9,9.9,8.7,7.9,7.3,6.8,6.4
Lower_Tuscaloosa03,55439.2,13171.7,30.3,17.8,13.5,11.3,10,9.1,8.6,8.1,7.8
Lower_Tuscaloosa04,6929.9,1774.5,24.4,15.5,12.5,10.8,10.3,9.8,9.6,9.2,9.1
Lower_Tuscaloosa05,9239.9,2289.9,24.1,15.6,12.8,11.5,10.9,10.6,10.3,10,9.8
Lower_Tuscaloosa06,43311.8,10334.8,33.7,20.6,16.3,14.7,13.7,12.9,12.5,12.1,11.9
Lower_Tuscaloosa07,4619.9,1193.1,58.9,33,24.3,19.8,17.6,16.2,15.1,14.7,14
Lower_Tuscaloosa08,86046.2,20357.5,24.7,15.1,11.8,10.1,9.1,8.6,8.2,8,7.7
Lower_Tuscaloosa09,37536.9,8942.8,39.3,22.7,17,14.1,12.3,11.1,10.5,10,9.7
Lower_Tuscaloosa10,46199.3,10984.5,31.5,18,13.5,11.1,9.6,8.7,8,7.5,7
Madison_GpMission_Canyon__Fm1,16169.8,3850.1,34.2,20.7,16.1,14.2,12.9,12.2,11.6,11.3,10.9
Madison_GpMission_Canyon_Fm2,1155,278.7,63.9,36.5,27.2,23.3,20.9,19,17.9,17,16.6
Madison_GpMission_Canyon_Fm4,21944.7,5251.8,54,30.2,22.1,18,15.5,14.1,13,12.4,11.8
Madison1,8084.9,1928.6,76.6,41.4,29.5,23.4,19.7,17.3,16,14.9,13.8
Maha01,9239.9,2202.2,25.3,15.9,12.8,11.1,10.5,9.9,9.7,9.4,9.2
Minnelusa1,7507.4,1898.7,54.3,31.4,23.6,20.2,18.1,17.1,16.4,15.6,15.1
Minnelusa2,11549.8,2844.3,37.6,22.3,17.1,14.4,13.1,12.6,11.8,11.3,11.1
Mokelumne_River1,4619.9,1170.3,28.2,15.6,11.4,9.3,7.9,7.1,6.5,6,5.6
Mokelumne_River2,83158.7,19758.4,29.1,16.3,12,9.8,8.4,7.6,6.9,6.4,6
Monterey1a,124160.6,29418.4,40.2,21.9,15.7,12.6,10.7,9.4,8.5,7.8,7.2
Monterey1b,124738.1,29517,43.6,23.6,16.9,13.5,11.4,10,9,8.2,7.6
Moreno1Starkey,56594.1,13458.4,31.7,17.4,12.5,10.1,8.6,7.6,6.9,6.3,5.9
Moreno2,72186.4,17202.6,41.6,22.5,16,12.8,10.8,9.5,8.5,7.8,7.2
Morrison1,1155,390.1,33.3,19,14.1,11.7,10.2,9.2,8.5,8.1,7.6
Morrison2,6929.9,1766.6,29.2,16.9,12.7,10.6,9.3,8.4,7.8,7.3,7.1
Morrison3,6352.4,1513.8,51.9,32.8,27.2,24.4,22.6,21.3,20.5,20,19.4
Morrison6,5774.9,1493.5,47.3,28.3,22.3,19.5,17.8,16.8,16,15.3,14.7
Morrison7,6352.4,1596.6,34.7,19.8,14.9,12.3,10.7,9.6,8.9,8.5,8.2
Morrison8,9239.9,2315.1,35.6,21.2,16.3,13.8,12.6,12,11.3,10.8,10.7
Mount_Simon02,6352.4,1608.3,32.6,19.1,14.6,12.2,10.7,9.8,9.3,8.9,8.6
Mount_Simon03,90088.6,21331.7,24,14.1,10.8,9,8,7.3,6.8,6.4,6.1
Mount_Simon05,5774.9,1384.8,27.4,16.5,12.8,10.8,9.6,8.8,8.4,8.1,7.9
Mount_Simon06,88356.2,20937.7,23.2,13.8,10.7,9,8,7.4,6.9,6.5,6.3
Mount_Simon07,18479.7,4391.3,27.5,16.1,12.3,10.3,9.1,8.3,7.7,7.4,7.2
Mount_Simon08,4619.9,1128.1,32.6,21.6,19.2,17.9,17,16.5,16.1,15.8,15.5
Mount_Simon10,15592.3,3754.7,30.5,22.6,20.6,19.6,18.7,18.3,17.9,17.7,17.4
Navajo01,1155,354.1,43.2,24.1,17.6,14.3,12.3,10.9,10.1,9.5,8.9
Niagaran01,6929.9,1709.1,83.1,46.3,34.4,28.7,25.3,23,21.3,20.1,19.1
Nugget1,10394.8,2470.8,44.1,25.6,19.3,16,14.4,13.4,12.6,12.3,11.8
Nugget2,35804.5,8541,48.6,28.1,21.2,17.6,16.2,15,14.1,13.7,13.1
Nugget4,3464.9,928.2,33.5,21.4,17.8,16.5,15.4,14.7,14.5,14,13.7
Paluxy1,1732.5,477.1,38.1,22.2,16.8,14,12.3,11.5,10.8,10.3,9.9
Paluxy2,46776.8,11096.4,30.6,18.5,14.4,12.2,11.2,10.5,10,9.6,9.4
Paluxy3,36959.4,8856.8,25.4,16.1,13,11.6,10.7,10.4,10,9.8,9.6
Paluxy4,15014.8,3572.7,32.4,18.8,14.2,11.8,10.3,9.3,8.6,8.3,8
Paluxy5,8662.4,2154.1,31.5,18.2,13.6,11.4,10,9,8.3,7.9,7.6
Paluxy6,20789.7,4965,37.6,21.6,16.2,13.4,11.7,10.5,10,9.3,8.9
Panoche1a,56594.1,13425,42.1,22.9,16.5,13.2,11.2,9.8,8.9,8.1,7.6
Panoche1b,56594.1,13463.1,45.6,24.7,17.7,14.1,11.9,10.5,9.4,8.6,8
Queen1,32917,7858.7,35.8,20.7,15.5,12.9,11.3,10.4,9.8,9.3,8.9
Queen2,5774.9,1432.5,37.5,21.6,16.1,13.3,11.7,10.7,10,9.5,9.1
Red_River1,57749.1,13737.6,38.2,21.9,16.4,13.5,11.7,10.6,10,9.3,9
Red_River2,13859.8,3344.3,43.4,25.2,19.1,15.9,14.3,13.2,12.5,12.2,11.6
Repetto_Sst1,9239.9,2288.2,26.3,14.7,10.8,8.8,7.6,6.8,6.2,5.8,5.4
Repetto_Sst2a,4042.4,1085.4,39,21.6,15.7,12.7,10.8,9.6,8.8,8.1,7.5
Repetto_Sst2b,5197.4,1252.9,41.7,22.8,16.5,13.2,11.2,9.9,9,8.2,7.7
Repetto_Sst2c,4042.4,1045,45.4,24.8,17.9,14.3,12.1,10.7,9.7,8.9,8.2
Repetto_Sst3a,1155,381.7,54.1,29.8,21.6,17.4,14.8,13.1,11.9,10.9,10.5
Repetto_Sst3b,1732.5,460,56.4,30.6,21.9,17.5,14.8,13,11.7,10.7,9.9
Repetto_Sst3c,1155,311.8,60.7,33,23.6,18.8,15.9,14,12.6,11.5,10.6
Repetto_Sst3d,577.5,198.6,65.1,35.4,25.4,20.3,17.1,15.1,13.5,12.4,11.8
Seven_Rivers1,50819.2,12155.1,30.7,17.5,13,10.7,9.3,8.4,7.7,7.2,6.9
Seven_Rivers2,9239.9,2215.7,32.4,18.3,13.6,11.1,9.6,8.7,7.9,7.4,7.1
Starkey1,2887.5,814.5,36.5,20,14.4,11.6,9.9,8.7,7.9,7.3,6.8
Stevens1,577.5,231.9,49.2,30.1,24.7,22.4,21.1,19.8,19.2,18.6,18
StPeter07,1732.5,469.4,36.1,22.8,19.3,17.4,16.3,15.8,15.2,14.9,14.5
Sunniland1,577.5,224.8,61,35.9,28.1,25,22.7,21.3,20.2,19.6,18.9
Temblor1a,32339.5,7706.6,35.3,19.3,13.9,11.2,9.5,8.4,7.6,7,6.5
Temblor1b,32339.5,7737.8,38.5,21,15.1,12.1,10.2,9,8.1,7.5,7
Temblor2a,128780.6,30526.2,35.3,19.3,13.9,11.2,9.5,8.4,7.6,7,6.5
Temblor2b,129358,30649.9,38.5,21,15.1,12.1,10.2,9,8.1,7.5,7
Temblor3a,8084.9,1912.8,68.6,37.3,26.8,21.3,18,15.9,14.2,13,12.5
Temblor3b,8084.9,1914.5,72.7,39.4,28.2,22.4,18.9,16.6,14.9,13.6,13
Temblor3c,8084.9,1916.2,76.8,41.6,29.7,23.6,19.9,17.4,15.6,14.2,13.6
Tensleep4,31184.5,7503.3,30.7,17.7,13.4,11.1,9.7,8.8,8.1,7.8,7.4
Tensleep5,18479.7,4421.6,31.6,18.3,13.8,11.4,10,9.1,8.4,8.1,7.8
WashitaFredericksburg1,19634.7,4753.6,29.3,16.5,12.1,9.9,8.6,7.6,7,6.5,6.1
WashitaFredericksburg2,12704.8,3040.1,31.6,17.7,13,10.6,9.2,8.3,7.6,7,6.6
WashitaFredericksburg3,15592.3,3730.2,40.9,23.4,17.5,14.4,12.5,11.4,10.7,10.1,9.7
Waste_Gate1,1155,336.6,25.5,15.6,12.2,10.4,9.4,8.9,8.5,8.2,7.9
Weber2,1155,353,83.7,47.1,35.1,29.3,26.1,23.7,21.9,20.6,19.5
Winters1a,2310,655.4,58.5,31.3,22.1,17.4,14.6,12.7,11.4,10.4,9.6
Winters1b,2310,584.6,62.1,33.2,23.5,18.5,15.5,13.5,12.2,11.1,10.2
Winters1c,1732.5,512.8,65.5,35.1,24.8,19.6,16.5,14.4,12.9,11.8,10.9
Winters2,80271.3,19090,35.5,19.5,14.2,11.4,9.7,8.6,7.8,7.2,6.7
Wolfcamp1,37536.9,8956.6,23.4,14.1,11,9.4,8.4,7.7,7.4,7.1,6.9
Wolfcamp2,21367.2,5063.7,23.6,14.2,11,9.4,8.4,7.7,7.4,7.2,7
Woodbine1,150147.7,35539.4,25.9,15,11.4,9.5,8.3,7.6,7,6.6,6.2
