r,2010,2012,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
p53049,0.03925,0.0785,0.17,0.385,0.583,0.884,1.503,1.489162791,1.548635611,1.601661079,1.645156681,1.680875796,1.459,1.459,1.459,1.459,1.459,1.459,1.459,1.459,1.459
p53059,0.0145,0.029,0.063,0.144,0.224,0.34,0.576,0.554986545,0.577151089,0.598700472,0.617215847,0.63479271,0.551,0.551,0.551,0.551,0.551,0.551,0.551,0.551,0.552
p53069,0.00525,0.0105,0.023,0.052,0.081,0.122,0.208,0.196238336,0.204075523,0.210918331,0.216646147,0.221198186,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.193
p53071,0.07,0.14,0.303,0.849,2.127,3.629,6.326,3.286992132,3.681862565,4.116203061,4.568751304,4.987327841,4.385,4.385,4.385,4.385,4.385,4.395,4.482,4.647,4.864
p53077,0.265,0.53,1.146,2.773,5.354,8.422,14.633,11.31947695,12.3242484,13.48559081,14.6348986,15.7085274,13.737,13.737,13.737,13.737,13.737,13.783,14.041,14.39,14.875
p53001,0.02,0.04,0.086,0.214,0.34,0.538,0.918,0.909646454,0.969358735,1.0260298,1.100156217,1.192396469,1.041,1.041,1.041,1.041,1.041,1.045,1.078,1.136,1.197
p53019,0.01275,0.0255,0.055,0.132,0.212,0.325,0.544,0.497750363,0.526132208,0.551463554,0.577723059,0.601382567,0.522,0.522,0.522,0.522,0.522,0.524,0.528,0.534,0.545
p53021,0.084,0.168,0.363,0.96,1.462,2.208,3.609,3.445413705,3.58513927,3.706450261,3.809361423,3.890553504,3.378,3.378,3.378,3.378,3.378,3.378,3.392,3.413,3.452
p53043,0.0155,0.031,0.067,0.156,0.243,0.373,0.635,0.597913681,0.62179261,0.643740324,0.663478826,0.680875665,0.591,0.591,0.591,0.591,0.591,0.592,0.595,0.601,0.608
p53047,0.05675,0.1135,0.245,0.565,0.869,1.318,2.243,2.124893235,2.209755275,2.283850057,2.345871564,2.395161604,2.079,2.079,2.079,2.079,2.079,2.079,2.081,2.084,2.087
p53051,0.0205,0.041,0.089,0.199,0.301,0.456,0.772,0.765533926,0.796107119,0.822801199,0.845145648,0.862903339,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749,0.749
p53063,0.6755,1.351,2.921,6.66,10.864,16.977,28.541,27.55002267,28.9946677,30.30413068,31.5457101,33.12673244,28.774,28.774,28.774,28.774,28.774,28.821,29.106,29.787,30.891
p53065,0.0625,0.125,0.27,0.669,1.077,1.691,2.905,2.857720771,3.030308942,3.190139762,3.333191245,3.472350684,3.017,3.017,3.017,3.017,3.017,3.024,3.078,3.187,3.345
p53075,0.056,0.112,0.242,0.587,0.96,1.487,2.522,2.464222024,2.596648455,2.718869116,2.841223953,2.951613289,2.565,2.565,2.565,2.565,2.565,2.569,2.584,2.632,2.726
p53017,0.04175,0.0835,0.181,0.416,0.643,0.975,1.659,1.595458557,1.65917652,1.714809976,1.761378312,1.798387332,1.561,1.561,1.561,1.561,1.561,1.561,1.561,1.563,1.568
p53025,0.09225,0.1845,0.399,0.895,1.353,2.05,3.48,3.44643578,3.584076377,3.704253195,3.804847962,3.884793135,3.372,3.372,3.372,3.372,3.372,3.372,3.372,3.372,3.372
p41003,0.253,0.506,1.355,2.451,2.973,3.768,5.938,6.987924504,7.364788024,7.719391223,8.170493503,8.998849103,7.846,7.846,7.846,7.846,7.846,7.898,8.251,8.6,9.707
p41005,1.048,2.096,5.614,9.7,10.868,13.346,21.573,26.89385074,28.23257317,29.47034415,30.60126831,34.34332246,29.847,29.847,29.847,29.847,29.847,29.91,32.64,39.007,47.228
p41007,0.14575,0.2915,0.781,1.387,1.57,1.937,3.112,3.820515109,4.008170824,4.189804771,4.360003714,4.506913032,3.917,3.917,3.917,3.917,3.917,3.927,3.954,4.087,4.407
p41009,0.1245,0.249,0.667,1.15,1.282,1.569,2.552,3.238954622,3.395944254,3.537276183,3.661545562,3.887097282,3.375,3.375,3.375,3.375,3.375,3.393,3.49,4.369,5.785
p41013,0.08225,0.1645,0.441,1.201,2.577,3.088,5.334,3.992223653,4.195240053,4.410609899,4.708668608,5.006913097,4.346,4.346,4.346,4.346,4.346,4.356,4.459,4.606,4.745
p41017,0.71675,1.4335,3.84,9.194,12.632,16.837,26.893,27.08702285,28.75764248,30.57327126,32.81624949,35.14170966,30.708,30.708,30.708,30.708,30.708,30.764,31.153,32.006,34.27
p41021,0.00625,0.0125,0.033,0.058,0.065,0.078,0.129,0.158421574,0.165811363,0.171371144,0.17715336,0.182027674,0.158,0.158,0.158,0.158,0.158,0.159,0.16,0.162,0.164
p41023,0.025,0.05,0.134,0.232,0.26,0.313,0.506,0.616311025,0.64092469,0.663513918,0.681532672,0.698156773,0.606,0.606,0.606,0.606,0.606,0.606,0.609,0.614,0.619
p41027,0.05275,0.1055,0.283,0.498,0.548,0.659,1.054,1.301101052,1.353063235,1.398432479,1.437537457,1.470046275,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.277,1.279
p41031,0.0755,0.151,0.404,1.008,1.644,2.208,3.717,2.669659032,2.983541634,3.279120933,3.666059024,4.067972882,3.553,3.553,3.553,3.553,3.553,3.574,3.704,3.943,4.422
p41039,1.22775,2.4555,6.577,11.814,13.565,16.694,25.329,29.57577466,31.22780663,32.8966685,34.48623021,38.19009716,33.303,33.303,33.303,33.303,33.303,33.516,34.73,37.858,42.824
p41041,0.17675,0.3535,0.947,1.701,2.086,2.541,4.219,4.563563392,4.942454079,5.392698379,5.821236843,6.423963974,5.654,5.654,5.654,5.654,5.654,5.664,5.802,6.277,6.867
p41043,0.3815,0.763,2.044,3.546,4.322,5.376,8.632,9.790453244,10.31963154,10.79857915,11.69776359,12.59216755,10.994,10.994,10.994,10.994,10.994,11.049,11.274,11.783,13.214
p41047,0.9605,1.921,5.145,8.808,10.396,12.793,20.051,22.97010609,24.12661616,25.18057288,26.94536457,30.437792,26.651,26.651,26.651,26.651,26.651,26.924,29.272,34.557,41.618
p41049,0.025,0.05,0.134,0.241,0.273,0.332,0.545,0.667414758,0.694069358,0.718440566,0.741336035,0.763824985,0.663,0.663,0.663,0.663,0.663,0.664,0.67,0.678,0.687
p41051,2.68325,5.3665,14.374,24.459,27.097,33.362,51.249,62.20959673,65.12560136,67.81353914,70.21140557,75.64632326,65.707,65.707,65.707,65.707,65.707,66.11,68.9,77.427,92.908
p41053,0.179,0.358,0.959,1.73,2.198,2.711,4.486,5.015320395,5.284705737,5.672824288,6.186827217,7.315669159,6.396,6.396,6.396,6.396,6.396,6.403,7.258,8.626,10.927
p41055,0.0055,0.011,0.029,0.055,0.083,0.103,0.175,0.161487798,0.175377403,0.198834469,0.232443262,0.269585289,0.238,0.238,0.238,0.238,0.238,0.238,0.255,0.282,0.337
p41057,0.168,0.336,0.9,2.825,3.887,5.142,6.832,7.580727812,8.15345489,8.7113665,9.195049241,9.576038118,8.389,8.391,8.393,8.395,8.399,8.404,8.415,8.45,8.5
p41059,0.1915,0.383,1.026,2.755,4.646,6.475,11.323,7.919034527,9.133442559,10.39322049,11.66955445,12.86866528,11.32,11.32,11.32,11.32,11.32,11.325,11.372,12.212,13.554
p41061,0.06825,0.1365,0.366,0.632,0.705,0.852,1.372,1.678246605,1.745270881,1.803791147,1.852775906,1.896313612,1.646,1.646,1.646,1.646,1.646,1.647,1.654,1.668,1.687
p41063,0.03175,0.0635,0.17,0.413,0.768,1.132,2.053,1.695621874,1.864314936,2.064143462,2.323304257,2.577189277,2.251,2.251,2.251,2.251,2.251,2.262,2.33,2.483,2.74
p41065,0.06575,0.1315,0.352,0.594,0.652,0.782,1.246,1.565818391,1.628352613,1.682952519,1.729784082,1.768433411,1.535,1.535,1.535,1.535,1.535,1.535,1.535,1.535,1.536
p41067,1.46275,2.9255,7.836,13.545,15.413,18.97,30.833,37.97416221,39.91695977,41.67174991,43.5819833,47.74655002,41.621,41.621,41.621,41.621,41.621,41.815,43.819,50.058,61.816
p41069,0.00475,0.0095,0.025,0.046,0.052,0.063,0.109,0.139002155,0.145616389,0.151597551,0.157971149,0.163594491,0.142,0.142,0.142,0.142,0.142,0.143,0.144,0.146,0.147
p41071,0.261,0.522,1.398,2.433,3.387,4.196,6.865,6.827458781,7.187284834,7.51176849,8.875721847,10.65092305,9.558,9.558,9.558,9.558,9.558,9.717,10.635,12.907,16.116
p41011,0.177,0.354,0.948,1.631,1.817,2.203,3.559,4.384700325,4.576818766,4.748958055,4.900490717,5.027650427,4.365,4.365,4.365,4.365,4.365,4.369,4.391,4.618,4.939
p41015,0.0795,0.159,0.426,0.746,0.835,1.014,1.612,1.967493736,2.046069699,2.115774512,2.178873492,2.230415038,1.936,1.936,1.936,1.936,1.936,1.938,1.946,1.961,1.982
p41019,0.392,0.784,2.1,3.668,4.452,5.511,8.781,9.988735729,10.54602782,11.53459625,12.97845826,14.96083145,13.284,13.284,13.284,13.284,13.284,13.394,13.944,15.277,18.069
p41029,0.7115,1.423,3.812,9.917,21.908,27.898,48.349,28.45353668,30.85154238,33.53052203,36.02419218,38.42512023,33.586,33.586,33.586,33.586,33.586,33.634,33.957,34.969,37.91
p41033,0.257,0.514,1.377,3.586,6.869,9.052,15.612,13.58950478,14.60840621,15.78152473,16.91193987,17.94239866,15.661,15.661,15.661,15.661,15.661,15.711,15.867,16.206,17.067
p41035,0.2755,0.551,1.476,4.068,7.62,10.579,18.436,14.49915124,16.00717385,17.51500977,18.87868068,20.11866623,17.599,17.599,17.599,17.599,17.599,17.6,17.906,18.748,19.866
p41001,0.05525,0.1105,0.296,0.518,0.587,0.722,1.165,1.427838311,1.490176477,1.547832963,1.601150432,1.649769801,1.432,1.432,1.432,1.432,1.432,1.435,1.443,1.585,1.749
p41025,0.023,0.046,0.123,0.245,0.278,0.345,0.557,0.689900401,0.727019052,0.761283352,0.790984111,0.836405639,0.727,0.727,0.727,0.727,0.727,0.73,0.765,0.824,0.906
p41037,0.0285,0.057,0.153,0.317,0.506,0.674,1.233,1.110995164,1.2308305,1.353392626,1.458976398,1.596774402,1.403,1.403,1.403,1.403,1.403,1.403,1.449,1.579,1.739
p41045,0.1235,0.247,0.662,1.119,1.239,1.539,2.276,2.701343347,2.843239712,2.973728766,3.086079234,3.226958947,2.803,2.803,2.803,2.803,2.803,2.812,2.881,3.299,3.98
p06035,0.61625,1.2325,3.054,6.576,9.662,11.661,15.241,13.82764818,14.41602251,14.92027488,15.36495098,15.73387303,13.657,13.657,13.657,13.657,13.657,13.68,13.687,13.74,13.845
p06049,0.104,0.208,0.515,0.598,0.644,0.704,0.94,0.821748033,0.905585134,0.989778211,1.066305256,1.137096923,0.991,0.991,0.991,0.991,0.991,0.997,1.018,1.051,1.078
p06093,0.68825,1.3765,3.411,4.922,7.192,8.634,11.717,8.653906213,9.470379751,10.2537068,10.9778665,11.55530105,10.115,10.115,10.115,10.115,10.115,10.119,10.257,10.401,10.603
p06001,25.37075,50.7415,125.752,217.229,321.715,422.641,561.817,546.7670202,579.1567689,608.2522162,633.1765746,655.2892562,569.536,569.731,569.915,570.028,570.073,570.222,571.108,574.378,579.248
p06003,0.053,0.106,0.263,0.435,0.606,0.853,1.222,1.219335079,1.329679581,1.439078199,1.521036492,1.588709885,1.399,1.399,1.399,1.399,1.399,1.4,1.406,1.418,1.435
p06005,0.798,1.596,3.955,8.588,13.57,17.662,23.67,21.17738712,22.40366604,23.54156168,24.53179109,25.24193878,21.986,21.986,21.986,21.986,21.986,22.007,22.046,22.057,22.1
p06007,4.915,9.83,24.362,56.495,86.654,106.26,142.513,130.0998845,137.0473428,143.2574883,148.5143191,153.0414947,132.991,133.005,133.037,133.078,133.122,133.192,133.604,134.295,134.653
p06009,1.2125,2.425,6.01,12.892,20.742,30.749,42.922,40.52934888,42.30740691,44.06874887,45.94365198,47.10484487,41.1,41.1,41.1,41.1,41.1,41.1,41.204,41.537,42.09
p06011,0.38225,0.7645,1.895,4.049,6.597,9.493,12.911,12.2413883,12.79936172,13.27796808,13.75138853,14.20391891,12.329,12.329,12.329,12.329,12.329,12.329,12.372,12.454,12.673
p06013,16.67625,33.3525,82.657,160.326,238.563,311.146,424.585,406.1254576,428.7371649,449.3329432,467.8845911,484.4804781,421.109,421.202,421.256,421.271,421.321,421.386,422.329,424.775,429.275
p06015,0.26975,0.5395,1.337,1.426,1.535,1.673,2.196,2.104451741,2.250145222,2.383816558,2.530923481,2.716590217,2.368,2.368,2.368,2.368,2.368,2.375,2.433,2.501,2.603
p06017,4.05175,8.1035,20.083,41.781,67.045,95.85,129.042,121.2936891,127.1518057,132.2589762,136.975655,141.1636129,122.551,122.551,122.552,122.574,122.574,122.574,122.808,123.085,123.636
p06019,15.08775,30.1755,74.784,145.493,223.68,302.377,406.365,380.9568689,401.5600448,420.3053078,437.6951762,455.4159582,395.661,395.686,395.721,395.839,396.044,396.187,397.032,398.602,402.103
p06021,0.68,1.36,3.37,9.283,15.135,18.354,24.192,21.57906246,22.54609375,23.30647562,23.98340553,24.56221519,21.32,21.32,21.32,21.32,21.32,21.32,21.32,21.338,21.44
p06023,2.14675,4.2935,10.641,17.292,23.736,32.51,44.216,43.35640741,45.93931349,48.12233555,50.03510474,51.67973026,44.937,44.973,45.001,45.028,45.056,45.077,45.206,45.392,45.6
p06031,2.0535,4.107,10.178,21.57,35.221,49.339,66.111,61.32039177,64.30079612,66.96876729,69.3019431,71.18549318,61.925,61.925,61.925,61.925,61.925,61.925,61.997,62.124,62.508
p06033,1.664,3.328,8.248,19.151,30.408,39.052,52.905,49.89564114,52.62384977,55.34189427,57.41348576,59.19586027,51.382,51.382,51.382,51.394,51.459,51.459,51.652,51.924,52.089
p06039,2.48325,4.9665,12.308,25.584,42.181,59.172,82.354,76.93258233,81.09982552,85.08357606,88.85312953,91.92167101,79.874,79.874,79.874,79.874,79.907,79.926,80.113,80.679,81.149
p06041,4.6835,9.367,23.214,36.999,49.988,66.84,89.686,87.98223156,93.64302994,98.52192996,102.4239796,105.9101521,92.045,92.053,92.058,92.058,92.058,92.085,92.352,92.805,93.627
p06043,0.40125,0.8025,1.989,4.109,6.469,9.628,13.948,13.55168802,14.45747535,15.30915555,15.96298461,16.73156901,14.523,14.523,14.523,14.523,14.523,14.534,14.645,14.785,15.019
p06045,1.789,3.578,8.867,17.082,26.132,37.243,51.015,49.26604314,52.03288107,54.66739502,56.80755357,58.76268049,51.006,51.006,51.006,51.006,51.043,51.043,51.079,51.344,51.843
p06047,5.581,11.162,27.663,68.362,104.099,126.925,167.692,150.3747797,157.1912976,163.4144699,168.6150194,173.0034788,150.218,150.218,150.218,150.218,150.218,150.225,150.273,150.537,151.475
p06053,5.9955,11.991,29.717,56.399,82.509,108.434,145.691,137.7163849,145.067936,152.3335678,158.2002072,163.6048601,142.26,142.276,142.276,142.276,142.341,142.364,142.807,143.645,144.921
p06055,3.27575,6.5515,16.237,38.864,46.345,58.439,79.3,76.96426664,81.12002049,84.76939563,88.18175214,91.18203957,79.201,79.201,79.201,79.201,79.202,79.205,79.386,79.864,80.329
p06057,2.32375,4.6475,11.518,23.485,37.998,56.764,77.723,73.40642472,77.02362952,79.89081068,82.91567105,85.15208487,73.922,73.922,73.922,73.925,73.925,73.925,73.973,74.275,74.862
p06061,8.095,16.19,40.124,87.201,142.944,183.639,240.967,222.0283463,232.7343166,242.1968608,250.5219319,257.8076374,223.95,223.95,223.95,223.95,223.95,223.957,224.09,224.372,225.118
p06063,0.61975,1.2395,3.072,5.793,8.39,11.36,15.825,15.41595222,16.46953246,17.49303911,18.18699272,18.90898865,16.476,16.476,16.476,16.476,16.476,16.476,16.597,16.662,17.023
p06067,17.4435,34.887,86.46,125.664,172.242,211.169,274.814,200.9899614,217.4456587,234.7301322,251.5352039,267.0127077,232.892,232.892,232.892,232.9,232.947,233.437,235.046,237.939,241.708
p06069,0.7885,1.577,3.908,6.379,9.242,13.274,18.577,18.49648526,19.89311194,21.17861725,22.3495325,23.18203068,20.186,20.186,20.186,20.186,20.186,20.186,20.218,20.221,20.387
p06075,13.88775,27.7755,68.836,96.087,119.619,151.911,200.635,199.5130635,212.8667141,224.9411048,235.256277,243.9746863,212.312,212.455,212.56,212.604,212.668,212.762,213.212,214.088,215.586
p06077,11.86025,23.7205,58.786,124.131,190.656,246.641,326.598,305.4592794,320.5165527,333.8243978,345.0191449,354.1843781,307.727,307.747,307.772,307.804,307.824,307.865,308.345,309.747,312.065
p06079,4.87025,9.7405,24.14,40.617,59.969,88.078,121.856,119.3313058,126.5640257,132.9334754,138.6817434,144.5034751,125.522,125.571,125.687,125.717,125.743,125.756,126.241,127.559,128.908
p06081,11.25325,22.5065,55.778,95.328,126.016,168.665,227.949,223.7556525,237.7724311,250.3249063,261.8191257,271.7696208,236.652,236.695,236.71,236.727,236.743,236.853,237.342,238.996,241.341
p06083,7.0005,14.001,34.699,58.585,89.97,127.993,178.35,173.6402653,184.7871976,195.2719262,205.1368207,214.3882769,186.346,186.346,186.346,186.346,186.347,186.572,187.249,189.627,192.813
p06085,33.872,67.744,167.889,271.479,383.603,509.762,666.98,643.7751931,680.6450147,712.7117169,739.8759305,764.2650769,664.017,664.218,664.353,664.471,664.61,664.726,666.255,670.047,676.245
p06087,4.7205,9.441,23.398,44.165,67.512,89.624,120.953,115.3319276,121.4525716,127.0717035,131.5583729,135.7776675,117.92,117.983,117.983,117.983,117.983,117.999,118.14,118.663,119.445
p06089,3.31475,6.6295,16.43,30.277,46.845,63.762,83.879,78.99001863,82.88123477,86.65118262,89.9352319,92.37443604,80.355,80.355,80.355,80.355,80.355,80.383,80.559,81.158,81.729
p06091,0.09775,0.1955,0.485,0.955,1.548,2.388,3.428,3.326853044,3.533057496,3.708647327,3.869164787,4.004608819,3.477,3.477,3.477,3.477,3.477,3.483,3.498,3.538,3.582
p06095,8.182,16.364,40.555,89.06,130.418,166.934,217.541,204.2636665,213.9062238,222.4419423,230.7608695,238.3237639,206.987,207.013,207.033,207.038,207.044,207.077,207.314,207.88,208.854
p06097,14.7885,29.577,73.3,106.426,152.115,201.258,263.391,252.9553037,266.3185578,277.5817065,286.9828014,295.5461216,256.699,256.722,256.746,256.8,256.808,256.854,257.476,258.58,259.639
p06099,9.616,19.232,47.662,91.897,131.157,163.607,212.137,195.0087804,204.4581649,212.7737536,219.8495765,226.1359743,196.355,196.369,196.396,196.396,196.431,196.437,196.652,197.418,198.742
p06101,1.99,3.98,9.864,22.618,36.867,47.928,63.565,58.78360245,61.59998411,64.0444725,66.12559464,67.84678306,58.891,58.891,58.891,58.891,58.891,58.891,58.935,58.935,59.017
p06103,0.9605,1.921,4.761,8.752,13.086,18.953,26.293,25.68984678,27.21113266,28.53768965,29.58122603,30.47581044,26.552,26.552,26.552,26.552,26.552,26.552,26.642,26.91,27.097
p06105,0.16425,0.3285,0.814,0.873,0.809,0.825,1.07,1.088509521,1.131981418,1.169937619,1.201709098,1.22811076,1.066,1.066,1.066,1.066,1.066,1.066,1.068,1.072,1.079
p06109,1.40575,2.8115,6.968,15.834,25.757,32.661,43.619,40.2339693,42.46258934,44.40709702,46.33519475,47.93779429,41.667,41.667,41.667,41.667,41.667,41.667,41.667,41.734,41.891
p06113,3.20775,6.4155,15.899,28.636,40.826,51.941,69.731,67.17176925,70.8407789,74.05650205,76.77510681,79.0541578,68.697,68.697,68.697,68.697,68.728,68.744,68.782,69.246,70.001
p06115,1.2145,2.429,6.02,12.061,18.94,27.815,37.877,36.12318499,38.00587752,39.8591705,41.27221943,42.59908391,36.976,36.976,36.976,36.976,37.027,37.027,37.065,37.268,37.591
p06025,2.978,5.956,14.761,25.602,33.404,39.746,51.422,46.00971325,48.14800587,50.09969491,51.8923941,53.46544478,46.418,46.418,46.418,46.418,46.418,46.423,46.542,46.84,47.347
p06027,0.39575,0.7915,1.962,3.826,6.054,9.209,13.892,13.58235026,14.67430559,15.52007389,16.3770947,17.10714509,14.884,14.884,14.884,14.884,14.884,14.885,14.965,15.118,15.347
p06029,13.64,27.28,67.608,142.371,221.058,298.866,399.726,372.6545564,392.9654892,411.0095218,426.4984068,439.4194123,381.841,381.841,381.841,381.841,381.841,381.883,382.707,384.497,386.966
p06037,165.8855,331.771,822.225,1529.514,2261.734,2980.272,3961.965,3813.745908,4058.911227,4275.789144,4461.195519,4614.751755,4013.173,4013.779,4014.197,4014.461,4014.624,4015.453,4022.415,4044.605,4077.182
p06051,0.39975,0.7995,1.981,3.323,4.744,6.994,10.489,10.55394302,11.66950609,12.58039964,13.30455585,13.63940271,11.933,11.933,11.933,11.933,11.933,11.933,11.933,11.937,12.09
p06059,45.3415,90.683,224.739,385.356,582.087,816.114,1130.118,1100.730468,1175.446316,1244.74442,1306.721548,1360.1511,1182.701,1182.85,1183.029,1183.16,1183.242,1183.304,1185.942,1193.674,1206.925
p06065,33.90325,67.8065,168.044,321.802,484.347,669.583,938.708,909.325523,975.7031458,1034.233644,1086.261526,1135.376877,987.077,987.372,987.654,987.943,988.075,988.234,990.024,995.11,1006.372
p06071,33.0125,66.025,163.629,317.006,519.662,739.306,1029.504,995.7971282,1062.848709,1123.541079,1176.558963,1219.679883,1060.278,1060.288,1060.372,1060.51,1060.643,1060.651,1062.096,1068.516,1078.6
p06107,7.0185,14.037,34.788,68.005,107.822,153.853,211.41,200.9153499,213.4172929,223.73162,233.0277555,240.2235337,209.021,209.021,209.021,209.021,209.021,209.033,209.349,210.418,212.133
p06111,11.15025,22.3005,55.267,96.544,145.778,213.883,310.483,306.0459502,329.9635488,351.3339149,368.9359768,383.7638751,333.699,333.699,333.699,333.699,333.737,333.737,334.199,336.976,341.546
p06073,54.45875,108.9175,269.929,528.48,822.556,1110.596,1471.826,1417.818913,1499.049511,1573.947289,1638.391002,1696.421881,1474.075,1474.075,1474.086,1474.089,1474.1,1474.279,1475.831,1482.836,1495.025
p32001,0.082,0.164,0.415,0.857,1.002,1.362,1.836,1.567862541,1.739956414,1.936713637,2.158562916,2.391705382,2.098,2.098,2.098,2.098,2.1,2.111,2.192,2.278,2.37
p32005,0.1935,0.387,0.979,2.806,3.384,4.842,6.976,5.221779478,5.790642972,6.386870723,7.06469546,7.740784422,6.791,6.791,6.791,6.791,6.791,6.864,6.962,7.129,7.384
p32007,0.15025,0.3005,0.76,1.385,1.581,2.045,2.661,2.757557454,2.920830926,3.130818982,3.422332108,3.699309239,3.246,3.246,3.246,3.246,3.246,3.274,3.329,3.449,3.548
p32009,0.0025,0.005,0.013,0.064,0.078,0.127,0.196,0.210547382,0.22852207,0.244972854,0.259524031,0.270737363,0.235,0.235,0.235,0.235,0.236,0.237,0.24,0.243,0.246
p32011,0.008,0.016,0.04,0.074,0.081,0.103,0.133,0.141046304,0.146679282,0.152696084,0.157971149,0.168202787,0.146,0.146,0.146,0.146,0.146,0.146,0.147,0.148,0.15
p32013,0.04275,0.0855,0.216,0.416,0.483,0.643,0.867,0.902491932,0.965107162,1.020537135,1.165601407,1.331797409,1.176,1.176,1.178,1.182,1.187,1.2,1.253,1.323,1.411
