reeds_ba,state_abbr,model,cr,pollutant,damage
p106,IN,AP2,ACS,VOC,6505.577112
p106,IN,AP2,H6C,NH3,62749.286505
p106,IN,AP2,H6C,NOX,20356.433405
p106,IN,AP2,H6C,PM25,156597.633300
p106,IN,AP2,H6C,SO2,90631.989150
p106,IN,AP2,H6C,VOC,16713.382625
p106,IN,EASIUR,ACS,NH3,75715.486525
p106,IN,EASIUR,ACS,NOX,10315.708705
p106,IN,EASIUR,ACS,PM25,103898.503000
p106,IN,EASIUR,ACS,SO2,25238.572440
p106,IN,EASIUR,H6C,NH3,194536.216050
p106,IN,EASIUR,H6C,NOX,26502.853535
p106,IN,EASIUR,H6C,PM25,266947.578600
p106,IN,EASIUR,H6C,SO2,64844.558280
p106,IN,InMAP,ACS,NH3,45212.298525
p106,IN,InMAP,ACS,NOX,13214.473095
p106,IN,InMAP,ACS,PM25,57379.990705
p106,IN,InMAP,ACS,SO2,32980.425110
p106,IN,InMAP,ACS,VOC,5061.750426
p106,IN,InMAP,H6C,NH3,116163.576000
p106,IN,InMAP,H6C,NOX,33950.724840
p106,IN,InMAP,H6C,PM25,147426.346250
p106,IN,InMAP,H6C,SO2,84735.903180
p106,IN,InMAP,H6C,VOC,13003.720895
p107,IN,AP2,ACS,NH3,30544.466960
p107,IN,AP2,ACS,NOX,5775.039271
p107,IN,AP2,ACS,PM25,39483.001210
p107,IN,AP2,ACS,SO2,28572.545159
p107,IN,AP2,ACS,VOC,4273.210642
p107,IN,AP2,H6C,NH3,78477.132077
p107,IN,AP2,H6C,NOX,14836.392610
p107,IN,AP2,H6C,PM25,101443.142301
p107,IN,AP2,H6C,SO2,73410.621734
p107,IN,AP2,H6C,VOC,10977.704970
p107,IN,EASIUR,ACS,NH3,66495.967624
p107,IN,EASIUR,ACS,NOX,8368.699122
p107,IN,EASIUR,ACS,PM25,82625.322301
p107,IN,EASIUR,ACS,SO2,24802.952898
p107,IN,EASIUR,H6C,NH3,170848.264593
p107,IN,EASIUR,H6C,NOX,21500.350813
p107,IN,EASIUR,H6C,PM25,212289.838119
p107,IN,EASIUR,H6C,SO2,63725.309584
p107,IN,InMAP,ACS,NH3,37948.362913
p107,IN,InMAP,ACS,NOX,10741.936193
p107,IN,InMAP,ACS,PM25,47001.914657
p107,IN,InMAP,ACS,SO2,28561.003008
p107,IN,InMAP,ACS,VOC,4437.361637
p107,IN,InMAP,H6C,NH3,97500.155917
p107,IN,InMAP,H6C,NOX,27597.970993
p107,IN,InMAP,H6C,PM25,120761.683601
p107,IN,InMAP,H6C,SO2,73380.966186
p107,IN,InMAP,H6C,VOC,11399.462420
p108,KY,AP2,ACS,NH3,20382.739707
p108,KY,AP2,ACS,NOX,4506.571836
p108,KY,AP2,ACS,PM25,26343.841642
p108,KY,AP2,ACS,SO2,22539.028692
p108,KY,AP2,ACS,VOC,2919.332732
p108,KY,AP2,H6C,NH3,52368.340030
p108,KY,AP2,H6C,NOX,11577.285998
p108,KY,AP2,H6C,PM25,67684.355404
p108,KY,AP2,H6C,SO2,57908.549809
p108,KY,AP2,H6C,VOC,7499.150985
p108,KY,EASIUR,ACS,NH3,54241.920262
p108,KY,EASIUR,ACS,NOX,6261.587255
p108,KY,EASIUR,ACS,PM25,66996.194870
p108,KY,EASIUR,ACS,SO2,23321.166804
p108,KY,EASIUR,H6C,NH3,139363.619685
p108,KY,EASIUR,H6C,NOX,16086.493092
p108,KY,EASIUR,H6C,PM25,172133.511554
p108,KY,EASIUR,H6C,SO2,59918.117753
p108,KY,InMAP,ACS,NH3,30132.384293
p108,KY,InMAP,ACS,NOX,9513.562119
p108,KY,InMAP,ACS,PM25,36176.966610
p108,KY,InMAP,ACS,SO2,23980.548618
p108,KY,InMAP,ACS,VOC,3986.004298
p108,KY,InMAP,H6C,NH3,77418.357287
p108,KY,InMAP,H6C,NOX,24441.877307
p108,KY,InMAP,H6C,PM25,92948.860989
p108,KY,InMAP,H6C,SO2,61612.284722
p108,KY,InMAP,H6C,VOC,10239.778183
p109,KY,AP2,ACS,NH3,46615.969189
p109,KY,AP2,ACS,NOX,3415.797373
p109,KY,AP2,ACS,PM25,36306.012141
p109,KY,AP2,ACS,SO2,26451.976468
p109,KY,AP2,ACS,VOC,3927.329223
p109,KY,AP2,H6C,NH3,119770.063798
p109,KY,AP2,H6C,NOX,8774.730594
p109,KY,AP2,H6C,PM25,93280.421055
p109,KY,AP2,H6C,SO2,67962.189043
p109,KY,AP2,H6C,VOC,10089.022776
p109,KY,EASIUR,ACS,NH3,62244.234079
p109,KY,EASIUR,ACS,NOX,6261.990510
p109,KY,EASIUR,ACS,PM25,73577.250119
p109,KY,EASIUR,ACS,SO2,22927.152046
p109,KY,EASIUR,H6C,NH3,159924.174211
p109,KY,EASIUR,H6C,NOX,16087.529186
p109,KY,EASIUR,H6C,PM25,189042.389219
p109,KY,EASIUR,H6C,SO2,58905.765311
p109,KY,InMAP,ACS,NH3,29222.151658
p109,KY,InMAP,ACS,NOX,7725.346752
p109,KY,InMAP,ACS,PM25,36865.571343
p109,KY,InMAP,ACS,SO2,24216.418222
p109,KY,InMAP,ACS,VOC,3840.402460
p109,KY,InMAP,H6C,NH3,75079.672733
p109,KY,InMAP,H6C,NOX,19847.368714
p109,KY,InMAP,H6C,PM25,94718.111168
p109,KY,InMAP,H6C,SO2,62218.310673
p109,KY,InMAP,H6C,VOC,9865.679568
p11,CA,AP2,ACS,NH3,88601.820600
p11,CA,AP2,ACS,NOX,1350.749598
p11,CA,AP2,ACS,PM25,71805.841210
p11,CA,AP2,ACS,SO2,53825.512650
p11,CA,AP2,ACS,VOC,7512.166808
p11,CA,AP2,H6C,NH3,227645.411800
p11,CA,AP2,H6C,NOX,3468.949245
p11,CA,AP2,H6C,PM25,184491.061900
p11,CA,AP2,H6C,SO2,138293.732700
p11,CA,AP2,H6C,VOC,19299.639900
p11,CA,EASIUR,ACS,NH3,15105.423610
p11,CA,EASIUR,ACS,NOX,5747.070903
p11,CA,EASIUR,ACS,PM25,66131.047820
p11,CA,EASIUR,ACS,SO2,15622.526290
p11,CA,EASIUR,H6C,NH3,38809.193530
p11,CA,EASIUR,H6C,NOX,14764.532750
p11,CA,EASIUR,H6C,PM25,169910.666600
p11,CA,EASIUR,H6C,SO2,40137.798980
p11,CA,InMAP,ACS,NH3,16944.852740
p11,CA,InMAP,ACS,NOX,3871.567655
p11,CA,InMAP,ACS,PM25,29189.521010
p11,CA,InMAP,ACS,SO2,13537.500730
p11,CA,InMAP,ACS,VOC,1825.862756
p11,CA,InMAP,H6C,NH3,43535.286970
p11,CA,InMAP,H6C,NOX,9945.753120
p11,CA,InMAP,H6C,PM25,74995.833940
p11,CA,InMAP,H6C,SO2,34780.688210
p11,CA,InMAP,H6C,VOC,4689.669929
p110,KY,AP2,ACS,NH3,33675.951419
p110,KY,AP2,ACS,NOX,2056.805859
p110,KY,AP2,ACS,PM25,30016.979233
p110,KY,AP2,ACS,SO2,24519.706293
p110,KY,AP2,ACS,VOC,3275.172094
p110,KY,AP2,H6C,NH3,86522.937147
p110,KY,AP2,H6C,NOX,5283.038094
p110,KY,AP2,H6C,PM25,77121.844043
p110,KY,AP2,H6C,SO2,62997.556662
p110,KY,AP2,H6C,VOC,8413.418380
p110,KY,EASIUR,ACS,NH3,59318.381183
p110,KY,EASIUR,ACS,NOX,4980.187526
p110,KY,EASIUR,ACS,PM25,63537.872188
p110,KY,EASIUR,ACS,SO2,21447.515870
p110,KY,EASIUR,H6C,NH3,152406.703700
p110,KY,EASIUR,H6C,NOX,12794.159197
p110,KY,EASIUR,H6C,PM25,163247.952509
p110,KY,EASIUR,H6C,SO2,55104.097322
p110,KY,InMAP,ACS,NH3,29905.680523
p110,KY,InMAP,ACS,NOX,6946.035448
p110,KY,InMAP,ACS,PM25,40774.619400
p110,KY,InMAP,ACS,SO2,26815.415908
p110,KY,InMAP,ACS,VOC,3912.066578
p110,KY,InMAP,H6C,NH3,76835.881353
p110,KY,InMAP,H6C,NOX,17845.063765
p110,KY,InMAP,H6C,PM25,104761.730747
p110,KY,InMAP,H6C,SO2,68895.983519
p110,KY,InMAP,H6C,VOC,10049.808062
p111,OH,AP2,ACS,NH3,52839.246560
p111,OH,AP2,ACS,NOX,4890.146133
p111,OH,AP2,ACS,PM25,60335.251004
p111,OH,AP2,ACS,SO2,33042.521043
p111,OH,AP2,ACS,VOC,6386.677221
p111,OH,AP2,H6C,NH3,135759.693394
p111,OH,AP2,H6C,NOX,12562.813489
p111,OH,AP2,H6C,PM25,155019.373967
p111,OH,AP2,H6C,SO2,84895.447879
p111,OH,AP2,H6C,VOC,16407.890019
p111,OH,EASIUR,ACS,NH3,78702.599732
p111,OH,EASIUR,ACS,NOX,13307.740658
p111,OH,EASIUR,ACS,PM25,112206.005825
p111,OH,EASIUR,ACS,SO2,28651.077033
p111,OH,EASIUR,H6C,NH3,202211.084256
p111,OH,EASIUR,H6C,NOX,34190.359624
p111,OH,EASIUR,H6C,PM25,288292.263256
p111,OH,EASIUR,H6C,SO2,73612.395739
p111,OH,InMAP,ACS,NH3,39592.093241
p111,OH,InMAP,ACS,NOX,9808.359079
p111,OH,InMAP,ACS,PM25,46758.988381
p111,OH,InMAP,ACS,SO2,28549.523229
p111,OH,InMAP,ACS,VOC,4236.941828
p111,OH,InMAP,H6C,NH3,101723.435313
p111,OH,InMAP,H6C,NOX,25199.306857
p111,OH,InMAP,H6C,PM25,120137.526770
p111,OH,InMAP,H6C,SO2,73351.470893
p111,OH,InMAP,H6C,VOC,10884.518552
p112,OH,AP2,ACS,NH3,41848.397212
p112,OH,AP2,ACS,NOX,4234.300081
p112,OH,AP2,ACS,PM25,43215.134670
p112,OH,AP2,ACS,SO2,29530.763834
p112,OH,AP2,ACS,VOC,4649.584634
p112,OH,AP2,H6C,NH3,107520.616218
p112,OH,AP2,H6C,NOX,10877.731046
p112,OH,AP2,H6C,PM25,111032.210576
p112,OH,AP2,H6C,SO2,75872.598081
p112,OH,AP2,H6C,VOC,11944.732525
p112,OH,EASIUR,ACS,NH3,72096.186046
p112,OH,EASIUR,ACS,NOX,10387.084626
p112,OH,EASIUR,ACS,PM25,89952.660606
p112,OH,EASIUR,ACS,SO2,26607.724312
p112,OH,EASIUR,H6C,NH3,185237.052500
p112,OH,EASIUR,H6C,NOX,26686.241565
p112,OH,EASIUR,H6C,PM25,231116.160384
p112,OH,EASIUR,H6C,SO2,68362.356059
p112,OH,InMAP,ACS,NH3,40751.353361
p112,OH,InMAP,ACS,NOX,10189.882517
p112,OH,InMAP,ACS,PM25,48243.619984
p112,OH,InMAP,ACS,SO2,30044.200385
p112,OH,InMAP,ACS,VOC,4510.871989
p112,OH,InMAP,H6C,NH3,104701.952708
p112,OH,InMAP,H6C,NOX,26179.565021
p112,OH,InMAP,H6C,PM25,123952.029630
p112,OH,InMAP,H6C,SO2,77191.784063
p112,OH,InMAP,H6C,VOC,11588.334495
p113,OH,AP2,ACS,NH3,36069.562481
p113,OH,AP2,ACS,NOX,6503.488106
p113,OH,AP2,ACS,PM25,57049.503793
p113,OH,AP2,ACS,SO2,33930.715928
p113,OH,AP2,ACS,VOC,6083.733890
p113,OH,AP2,H6C,NH3,92672.904745
p113,OH,AP2,H6C,NOX,16708.015285
p113,OH,AP2,H6C,PM25,146577.217587
p113,OH,AP2,H6C,SO2,87177.510261
p113,OH,AP2,H6C,VOC,15629.529783
p113,OH,EASIUR,ACS,NH3,74404.946799
p113,OH,EASIUR,ACS,NOX,10945.891749
p113,OH,EASIUR,ACS,PM25,99786.973106
p113,OH,EASIUR,ACS,SO2,26210.830910
p113,OH,EASIUR,H6C,NH3,191169.011987
p113,OH,EASIUR,H6C,NOX,28121.999346
p113,OH,EASIUR,H6C,PM25,256383.717138
p113,OH,EASIUR,H6C,SO2,67342.607444
p113,OH,InMAP,ACS,NH3,39927.295610
p113,OH,InMAP,ACS,NOX,10585.210182
p113,OH,InMAP,ACS,PM25,48602.838114
p113,OH,InMAP,ACS,SO2,29136.623138
p113,OH,InMAP,ACS,VOC,4603.148890
p113,OH,InMAP,H6C,NH3,102584.679561
p113,OH,InMAP,H6C,NOX,27195.290746
p113,OH,InMAP,H6C,PM25,124874.978175
p113,OH,InMAP,H6C,SO2,74859.922064
p113,OH,InMAP,H6C,VOC,11825.423954
p114,OH,AP2,ACS,NH3,58894.529164
p114,OH,AP2,ACS,NOX,6965.282745
p114,OH,AP2,ACS,PM25,69339.886434
p114,OH,AP2,ACS,SO2,36928.812312
p114,OH,AP2,ACS,VOC,7304.670235
p114,OH,AP2,H6C,NH3,151317.689626
p114,OH,AP2,H6C,NOX,17894.516352
p114,OH,AP2,H6C,PM25,178155.219680
p114,OH,AP2,H6C,SO2,94880.597858
p114,OH,AP2,H6C,VOC,18766.513516
p114,OH,EASIUR,ACS,NH3,81979.549026
p114,OH,EASIUR,ACS,NOX,9622.471079
p114,OH,EASIUR,ACS,PM25,105901.543234
p114,OH,EASIUR,ACS,SO2,25646.985162
p114,OH,EASIUR,H6C,NH3,210630.635920
p114,OH,EASIUR,H6C,NOX,24721.699950
p114,OH,EASIUR,H6C,PM25,272094.042380
p114,OH,EASIUR,H6C,SO2,65893.903792
p114,OH,InMAP,ACS,NH3,36601.423442
p114,OH,InMAP,ACS,NOX,9801.205465
p114,OH,InMAP,ACS,PM25,44418.069766
p114,OH,InMAP,ACS,SO2,26943.177320
p114,OH,InMAP,ACS,VOC,4332.239745
p114,OH,InMAP,H6C,NH3,94039.429046
p114,OH,InMAP,H6C,NOX,25180.926888
p114,OH,InMAP,H6C,PM25,114122.943236
p114,OH,InMAP,H6C,SO2,69224.244260
p114,OH,InMAP,H6C,VOC,11129.369987
p115,PA,AP2,ACS,NH3,110016.031849
p115,PA,AP2,ACS,NOX,2289.811605
p115,PA,AP2,ACS,PM25,71276.779571
p115,PA,AP2,ACS,SO2,35091.592251
p115,PA,AP2,ACS,VOC,7459.046008
p115,PA,AP2,H6C,NH3,282665.505737
p115,PA,AP2,H6C,NOX,5881.705861
p115,PA,AP2,H6C,PM25,183131.729962
p115,PA,AP2,H6C,SO2,90160.180210
p115,PA,AP2,H6C,VOC,19163.155236
p115,PA,EASIUR,ACS,NH3,88502.815256
p115,PA,EASIUR,ACS,NOX,9323.568722
p115,PA,EASIUR,ACS,PM25,106024.656121
p115,PA,EASIUR,ACS,SO2,25658.464885
p115,PA,EASIUR,H6C,NH3,227391.034750
p115,PA,EASIUR,H6C,NOX,23953.722293
p115,PA,EASIUR,H6C,PM25,272410.359550
p115,PA,EASIUR,H6C,SO2,65923.398944
p115,PA,InMAP,ACS,NH3,44624.033900
p115,PA,InMAP,ACS,NOX,9474.453559
p115,PA,InMAP,ACS,PM25,52544.240446
p115,PA,InMAP,ACS,SO2,34763.798290
p115,PA,InMAP,ACS,VOC,4571.741061
p115,PA,InMAP,H6C,NH3,114652.132263
p115,PA,InMAP,H6C,NOX,24341.394656
p115,PA,InMAP,H6C,PM25,135001.726450
p115,PA,InMAP,H6C,SO2,89317.970601
p115,PA,InMAP,H6C,VOC,11744.726996
p116,WV,AP2,ACS,NH3,38916.416422
p116,WV,AP2,ACS,NOX,2031.945867
p116,WV,AP2,ACS,PM25,37608.595030
p116,WV,AP2,ACS,SO2,26520.948343
p116,WV,AP2,ACS,VOC,4047.348276
p116,WV,AP2,H6C,NH3,99987.401166
p116,WV,AP2,H6C,NOX,5219.164666
p116,WV,AP2,H6C,PM25,96627.181402
p116,WV,AP2,H6C,SO2,68139.400290
p116,WV,AP2,H6C,VOC,10397.390875
p116,WV,EASIUR,ACS,NH3,68173.619799
p116,WV,EASIUR,ACS,NOX,6816.794176
p116,WV,EASIUR,ACS,PM25,74809.516043
p116,WV,EASIUR,ACS,SO2,22967.969372
p116,WV,EASIUR,H6C,NH3,175158.700276
p116,WV,EASIUR,H6C,NOX,17513.000780
p116,WV,EASIUR,H6C,PM25,192208.482341
p116,WV,EASIUR,H6C,SO2,59010.638339
p116,WV,InMAP,ACS,NH3,32342.631247
p116,WV,InMAP,ACS,NOX,6235.368316
p116,WV,InMAP,ACS,PM25,42563.786584
p116,WV,InMAP,ACS,SO2,26659.744469
p116,WV,InMAP,ACS,VOC,3566.067013
p116,WV,InMAP,H6C,NH3,83097.202692
p116,WV,InMAP,H6C,NOX,16019.128086
p116,WV,InMAP,H6C,PM25,109358.684875
p116,WV,InMAP,H6C,SO2,68496.012812
