s,p,rto,census_region,state,interconnect,country,custreg,cc_reg
103,Tamil_Nadu,NA,NA,Tamil_Nadu,NA,India,SR,SR
104,Telangana,NA,NA,Telangana,NA,India,SR,SR
105,Telangana,NA,NA,Telangana,NA,India,SR,SR
106,Telangana,NA,NA,Telangana,NA,India,SR,SR
107,Telangana,NA,NA,Telangana,NA,India,SR,SR
108,Telangana,NA,NA,Telangana,NA,India,SR,SR
109,Telangana,NA,NA,Telangana,NA,India,SR,SR
110,Telangana,NA,NA,Telangana,NA,India,SR,SR
111,Telangana,NA,NA,Telangana,NA,India,SR,SR
145,Tripura,NA,NA,Tripura,NA,India,NER,NER
119,Uttar_Pradesh,NA,NA,Uttar_Pradesh,NA,India,NR,NR
120,Uttar_Pradesh,NA,NA,Uttar_Pradesh,NA,India,NR,NR
121,Uttar_Pradesh,NA,NA,Uttar_Pradesh,NA,India,NR,NR
116,Uttarakhand,NA,NA,Uttarakhand,NA,India,NR,NR
112,West_Bengal,NA,NA,West_Bengal,NA,India,ER,ER
