Figure Output Name,Plot Graph,Plot Property,Y-Axis Max,Day Before,Day After,Timezone,Start date,End date,Timeseries Plot Resolution,Group by Scenario or Year-Scenario,Custom Data File,Marmot Module,Method
Total_System_Cost_Diff_by_year,FALSE,,,,,,,,,Year-Scenario,,production_cost,sys_cost_diff
Total_System_Cost_Type,FALSE,,,,,,,,,Scenario,,production_cost,sys_cost_type
Total_System_Cost_Type_by_year,FALSE,,,,,,,,,Year-Scenario,,production_cost,sys_cost_type
Total_System_Cost_Type_Diff,FALSE,,,,,,,,,Scenario,,production_cost,sys_cost_type_diff
Total_System_Cost_Type_Diff_by_year,FALSE,,,,,,,,,Year-Scenario,,production_cost,sys_cost_type_diff
Capacity_Started,FALSE,,,,,EST,,,,Scenario,,ramping,capacity_started
Capacity_Started_by_year,FALSE,,,,,EST,2010,2025,,Year-Scenario,,ramping,capacity_started
Count_Ramps,FALSE,,,,,EST,,,,,,ramping,count_ramps
Reserve_Provision_Region,FALSE,,,,,,,,,Scenario,,reserves,reg_reserve_provision
Reserve_Shortage_Region,FALSE,,,,,,,,,Scenario,,reserves,reg_reserve_shortage
Reserve_Shortage_Hours,FALSE,,,,,,,,,Scenario,,reserves,reg_reserve_shortage_hrs
Reserve_Provision_Region_by_year,FALSE,,,,,,,,,Year-Scenario,,reserves,reg_reserve_provision
Reserve_Shortage_Region_by_year,FALSE,,,,,,,,,Year-Scenario,,reserves,reg_reserve_shortage
Reserve_Shortage_Hours_by_year,FALSE,,,,,,,,,Year-Scenario,,reserves,reg_reserve_shortage_hrs
Reserve_Shortage_Timeseries_annual,FALSE,,,,,EST,,,Annual,,,reserves,reg_reserve_shortage_timeseries
Reserve_Shortage_Timeseries_Date_Range,FALSE,,,,,EST,1/10/2024,1/20/2024,Interval,,,reserves,reg_reserve_shortage_timeseries
Reserve_Shortage_Timeseries_Facet_Grid_Date_Range,FALSE,,,,,EST,1/10/2024,1/20/2024,Interval,,,reserves,reg_reserve_shortage_timeseries
Reserve_Gen_Timeseries,FALSE,,,,,EST,,,Interval,,,reserves,reserve_gen_timeseries
Reserve_Gen_Timeseries_annual,FALSE,Peak Reserve Provision,,,,EST,,,Annual,,,reserves,reserve_gen_timeseries
Reserve_Gen_Timeseries_Peak_Reserve,FALSE,Peak Reserve Provision,,3,3,EST,1/2/2040,2040,Interval,,,reserves,reserve_gen_timeseries
Reserve_Gen_Timeseries_Facet_Grid_Peak_Demand,FALSE,Peak Reserve Provision,,3,3,EST,1/2/2040,2040,Interval,,,reserves,reserve_gen_timeseries
Reserve_Gen_Timeseries_Facet_Grid_Date_Range,FALSE,,,,,EST,1/10/2024,1/20/2024,Interval,,,reserves,reserve_gen_timeseries
Total_Reserve_Provision_by_Generator,FALSE,,,,,,,,,Scenario,,reserves,total_reserves_by_gen
Total_Reserve_Provision_by_Generator_by_year,FALSE,,,,,,,,,Year-Scenario,,reserves,total_reserves_by_gen
Sensitivities_Difference_Hydro,FALSE,Hydro,,,,EST,,,,,,sensitivities,sensitivities_gas
Sensitivities_Difference_Wind,FALSE,Wind,,,,EST,,,,,,sensitivities,sensitivities_gas
Thermal_Capacity_Reserves,FALSE,,,,,EST,,,Interval,,,thermal_cap_reserve,thermal_cap_reserves
Thermal_Capacity_Reserves_by_year,FALSE,,,,,EST,,,Annual,,,thermal_cap_reserve,thermal_cap_reserves
Total_Generation,FALSE,,,,,,2040,2040,,Scenario,,total_generation,total_gen
Total_Generation_by_year,FALSE,,,,,,,,,Year-Scenario,,total_generation,total_gen
Total_Generation_Monthly,FALSE,,,,,EST,1/2/2040,2040,,,,total_generation,total_gen_monthly
Monthly_Wind_Solar,FALSE,,,,,EST,2048,2050,,,,total_generation,monthly_vre_generation
Monthly_Wind_Solar_Percentage,FALSE,,,,,EST,2048,2050,,,,total_generation,monthly_vre_generation_percentage
Total_Generation_Pie,FALSE,,,,,EST,2020,2030,,,,total_generation,total_gen_pie
Total_Generation_Diff,FALSE,,,,,,,,,Scenario,,total_generation,total_gen_diff
Total_Generation_Diff_by_year,FALSE,,,,,,,,,Year-Scenario,,total_generation,total_gen_diff
Total_Installed_Capacity,FALSE,,,,,,,,,Scenario,,total_installed_capacity,total_cap
Total_Installed_Capacity_by_year,TRUE,,,,,,2020,2050,,Year-Scenario,,total_installed_capacity,total_cap
Total_Installed_Capacity_Diff,FALSE,,,,,,,,,Scenario,,total_installed_capacity,total_cap_diff
Total_Installed_Capacity_and_Generation_Facet,FALSE,,,,,,2040,2040,,Scenario,,total_installed_capacity,total_cap_and_gen_facet
Total_Installed_Capacity_and_Generation_Facet_by_year,FALSE,,,,,,2020,2040,,Year-Scenario,,total_installed_capacity,total_cap_and_gen_facet
Individual_Interface_Flow,FALSE,"Interface-1-2,Interface-3-2",,,,EST,,,,,,transmission,interface_flow_ind
Individual_Line_Flow,FALSE,113_316_1,,,,EST,,,,,,transmission,line_flow_ind
Individual_Line_flow_duration_curve_seasonal,FALSE,113_316_1,,,,EST,1/10/2024,1/20/2024,,,,transmission,line_flow_ind_seasonal
Individual_flow_diff_duration_curve,FALSE,113_316_1,,,,EST,1/10/2024,1/20/2024,,,,transmission,line_flow_ind_diff
Line_Utilization_Histogram,FALSE,,,,,,,,,,,transmission,line_hist
Line_Utilization_Histogram_Category,FALSE,ReEDS_Expansion,,,,,,,,,,transmission,line_hist
Line_Utilization_Duration,FALSE,,,,,,,,,,,transmission,line_util
Line_Utilization_Duration_Category,FALSE,ReEDS_Expansion,,,,,,,,,,transmission,line_util
Line_Violations_Time_Series,FALSE,,,,,EST,,,,,,transmission,line_violations_timeseries
Line_Violations_Totals,FALSE,,,,,,,,,,,transmission,line_violations_totals
Net_Export_Date_Range,FALSE,Date Range,,,,EST,1/10/2024,1/20/2024,,,,transmission,net_export
Net_Export,FALSE,,,,,EST,,,,,,transmission,net_export
Region-Region_Net_Interchange_Checkerboard,FALSE,,,,,,,,,,,transmission,region_region_checkerboard
All_Region-Region_Net_Interchange,FALSE,,,,,EST,,,,,,transmission,region_region_interchange_all_regions
Region-Region_Net_Interchange,FALSE,,,,,EST,,,,,,transmission,region_region_interchange_all_scenarios
total_interface_flow_individual,FALSE,"Interface-1-2,Interface-3-2",,,,,,,,,,transmission,total_int_flow_ind
Zonal_Interchange,FALSE,,,,,,,,,,,transmission,zonal_interchange
Zonal_Interchange_Total,FALSE,,,,,,,,,,,transmission,zonal_interchange_total
Total_Unserved_Energy,FALSE,,,,,,,,,Scenario,,unserved_energy,tot_unserved_energy
Total_Unserved_Energy_by_year,FALSE,,,,,,,,,Year-Scenario,,unserved_energy,tot_unserved_energy
Unserved_Energy_Timeseries,FALSE,,,,,EST,,,Interval,,,unserved_energy,unserved_energy_timeseries
Unserved_Energy_Timeseries_annual,FALSE,,,,,EST,,,Annual,,,unserved_energy,unserved_energy_timeseries
Average_Diurnal_Unserved_Energy,FALSE,,,,,EST,,,,Scenario,,unserved_energy,average_diurnal_ue
Average_Diurnal_Unserved_Energy_by_year,FALSE,,,,,EST,,,,Year-Scenario,,unserved_energy,average_diurnal_ue
Utilization_GW_Fleet,FALSE,,,,,,,,,,,utilization_factor,GW_fleet
Utilization_Factor_Fleet,FALSE,,,,,EST,,,,,,utilization_factor,uf_fleet
Utilization_Factor_Fleet_Type,FALSE,,,,,,,,,,,utilization_factor,uf_fleet_by_type
Utilization_Factor_Generators,FALSE,,,,,EST,,,,,,utilization_factor,uf_gen
