"","H1","H2","H3","H4","H5","H6","H7","H8","H9","H10","H11","H12","H13","H14","H15","H16","H17"
"p124",0.002,0.371,0.408,0.032,0,0.324,0.316,0.004,0,0.237,0.252,0.001,0.001,0.357,0.388,0.021,0.404
"p125",0.003,0.352,0.368,0.031,0,0.324,0.299,0.006,0,0.253,0.261,0.001,0.001,0.35,0.375,0.021,0.401
"p126",0.003,0.363,0.35,0.03,0,0.308,0.265,0.004,0,0.226,0.207,0.001,0.002,0.349,0.34,0.019,0.357
"p127",0.003,0.357,0.37,0.033,0,0.297,0.271,0.005,0,0.21,0.209,0.001,0.002,0.337,0.348,0.021,0.352
"p128",0.004,0.411,0.302,0.023,0,0.36,0.225,0.003,0,0.265,0.177,0,0.003,0.401,0.289,0.014,0.285
"p129",0.006,0.362,0.324,0.03,0,0.283,0.234,0.004,0,0.194,0.162,0,0.003,0.351,0.314,0.018,0.353
"p13",0.004,0.513,0.434,0.017,0,0.466,0.334,0.001,0,0.348,0.251,0,0.003,0.521,0.427,0.009,0.415
"p130",0.007,0.357,0.328,0.031,0,0.3,0.242,0.003,0,0.215,0.178,0,0.004,0.35,0.315,0.018,0.342
"p131",0.006,0.356,0.341,0.031,0,0.3,0.25,0.003,0,0.217,0.185,0,0.004,0.346,0.323,0.018,0.342
"p132",0.006,0.369,0.293,0.031,0.001,0.291,0.204,0.004,0,0.21,0.154,0,0.003,0.348,0.27,0.018,0.294
"p133",0.005,0.394,0.333,0.022,0,0.342,0.226,0.002,0,0.241,0.179,0,0.002,0.377,0.309,0.011,0.369
"p134",0.007,0.348,0.348,0.033,0.001,0.277,0.241,0.003,0,0.191,0.17,0,0.004,0.332,0.332,0.018,0.407
"p14",0.006,0.459,0.41,0.027,0,0.372,0.274,0.002,0,0.18,0.141,0,0.003,0.378,0.322,0.013,0.387
"p15",0.001,0.415,0.531,0.074,0,0.324,0.409,0.019,0,0.157,0.222,0.004,0,0.353,0.444,0.05,0.478
"p16",0.003,0.435,0.5,0.055,0,0.363,0.407,0.012,0,0.176,0.214,0.003,0.001,0.379,0.444,0.038,0.464
"p17",0.002,0.404,0.467,0.062,0,0.304,0.337,0.012,0,0.167,0.21,0.002,0.001,0.337,0.392,0.04,0.415
"p18",0.002,0.421,0.457,0.054,0,0.304,0.325,0.008,0,0.17,0.195,0.001,0.001,0.352,0.391,0.034,0.461
"p19",0.012,0.475,0.312,0.046,0,0.384,0.2,0.006,0,0.206,0.108,0.001,0.006,0.419,0.26,0.029,0.322
"p2",0.005,0.44,0.437,0.039,0,0.34,0.286,0.004,0,0.16,0.148,0,0.002,0.372,0.349,0.02,0.406
"p20",0.003,0.431,0.423,0.042,0,0.322,0.289,0.005,0,0.201,0.183,0.001,0.001,0.362,0.35,0.025,0.423
"p21",0.002,0.448,0.468,0.051,0,0.354,0.371,0.009,0,0.19,0.222,0.002,0.001,0.387,0.431,0.033,0.427
"p22",0.011,0.453,0.346,0.038,0,0.365,0.255,0.007,0,0.231,0.199,0.001,0.005,0.399,0.309,0.026,0.323
"p23",0.004,0.461,0.44,0.031,0,0.356,0.301,0.003,0,0.205,0.202,0,0.002,0.414,0.392,0.016,0.377
"p24",0.009,0.502,0.319,0.033,0,0.431,0.245,0.006,0,0.269,0.186,0.001,0.004,0.453,0.306,0.022,0.253
"p25",0.002,0.417,0.486,0.055,0,0.351,0.395,0.013,0,0.203,0.26,0.003,0.001,0.369,0.447,0.039,0.446
"p26",0.004,0.469,0.46,0.052,0,0.368,0.349,0.013,0,0.19,0.209,0.002,0.001,0.391,0.386,0.037,0.385
"p27",0.004,0.419,0.505,0.032,0,0.399,0.409,0.005,0,0.297,0.311,0.001,0.002,0.44,0.501,0.02,0.406
"p28",0,0.407,0.492,0.045,0,0.389,0.413,0.012,0,0.304,0.356,0.005,0,0.437,0.519,0.035,0.393
"p29",0.003,0.431,0.45,0.031,0,0.465,0.473,0.009,0,0.385,0.439,0.004,0.001,0.463,0.524,0.026,0.34
"p3",0.007,0.446,0.413,0.029,0,0.357,0.277,0.002,0,0.177,0.15,0,0.003,0.376,0.327,0.015,0.374
"p30",0,0.412,0.477,0.036,0,0.398,0.415,0.009,0,0.33,0.383,0.004,0,0.452,0.523,0.03,0.33
"p31",0.004,0.445,0.445,0.038,0,0.412,0.398,0.009,0,0.332,0.354,0.003,0.002,0.453,0.485,0.03,0.37
"p32",0.005,0.453,0.392,0.026,0,0.364,0.285,0.003,0,0.253,0.239,0,0.003,0.417,0.37,0.015,0.385
"p33",0.004,0.445,0.356,0.025,0,0.413,0.324,0.004,0,0.319,0.293,0.001,0.002,0.43,0.371,0.017,0.298
"p34",0.005,0.491,0.36,0.025,0,0.433,0.305,0.005,0,0.327,0.259,0.001,0.002,0.477,0.376,0.019,0.317
"p35",0.004,0.434,0.431,0.035,0,0.328,0.281,0.003,0,0.174,0.172,0,0.002,0.386,0.377,0.018,0.439
"p36",0.003,0.375,0.452,0.058,0,0.291,0.327,0.013,0,0.142,0.223,0.003,0.001,0.341,0.41,0.037,0.412
"p37",0.002,0.367,0.435,0.056,0,0.278,0.309,0.011,0,0.13,0.202,0.003,0.001,0.329,0.407,0.036,0.42
"p38",0.002,0.365,0.45,0.055,0,0.294,0.333,0.012,0,0.179,0.258,0.003,0.001,0.332,0.414,0.035,0.414
"p39",0.006,0.429,0.443,0.033,0,0.362,0.342,0.005,0,0.24,0.272,0.001,0.003,0.391,0.405,0.019,0.428
"p4",0.006,0.469,0.452,0.033,0,0.375,0.308,0.002,0,0.191,0.176,0,0.002,0.41,0.378,0.016,0.415
"p40",0.001,0.34,0.471,0.071,0,0.284,0.375,0.02,0,0.186,0.297,0.007,0.001,0.318,0.435,0.048,0.437
"p41",0.002,0.409,0.317,0.043,0,0.355,0.257,0.011,0,0.249,0.213,0.003,0.001,0.391,0.295,0.031,0.263
"p42",0.003,0.362,0.398,0.051,0,0.255,0.272,0.009,0,0.133,0.185,0.002,0.002,0.33,0.383,0.034,0.432
"p43",0.003,0.372,0.403,0.041,0,0.273,0.286,0.007,0,0.172,0.215,0.001,0.001,0.338,0.37,0.026,0.372
"p44",0.002,0.368,0.431,0.048,0,0.287,0.315,0.009,0,0.161,0.226,0.002,0.001,0.34,0.395,0.03,0.433
"p45",0.002,0.356,0.431,0.049,0,0.293,0.334,0.011,0,0.184,0.256,0.003,0.001,0.33,0.396,0.032,0.409
"p46",0.005,0.38,0.366,0.037,0,0.293,0.261,0.006,0,0.191,0.199,0.001,0.002,0.354,0.343,0.023,0.339
"p47",0.002,0.439,0.421,0.023,0,0.432,0.387,0.005,0,0.372,0.365,0.002,0.001,0.465,0.457,0.016,0.416
"p48",0,0.374,0.537,0.066,0,0.333,0.464,0.027,0,0.27,0.43,0.016,0,0.373,0.54,0.054,0.473
"p49",0,0.382,0.526,0.063,0,0.336,0.44,0.022,0,0.257,0.389,0.011,0,0.372,0.505,0.048,0.492
"p5",0.004,0.379,0.461,0.055,0,0.284,0.297,0.008,0,0.134,0.153,0.001,0.001,0.297,0.337,0.028,0.431
"p50",0,0.361,0.473,0.049,0,0.32,0.386,0.014,0,0.255,0.346,0.007,0,0.335,0.439,0.036,0.404
"p51",0.001,0.363,0.436,0.036,0,0.321,0.35,0.009,0,0.257,0.312,0.003,0,0.339,0.397,0.024,0.391
"p52",0.001,0.376,0.518,0.063,0,0.331,0.43,0.022,0,0.251,0.391,0.011,0,0.357,0.484,0.045,0.497
"p53",0.001,0.36,0.447,0.053,0,0.305,0.347,0.014,0,0.223,0.293,0.005,0,0.333,0.399,0.036,0.403
"p54",0.002,0.349,0.381,0.037,0,0.325,0.307,0.009,0,0.233,0.258,0.003,0.001,0.341,0.345,0.024,0.359
"p55",0.002,0.363,0.4,0.042,0,0.309,0.319,0.01,0,0.209,0.249,0.003,0.001,0.325,0.365,0.028,0.358
"p56",0.001,0.359,0.431,0.04,0,0.305,0.34,0.01,0,0.22,0.264,0.003,0,0.32,0.382,0.027,0.355
"p57",0,0.377,0.428,0.033,0,0.317,0.346,0.008,0,0.236,0.283,0.003,0,0.326,0.39,0.024,0.372
"p58",0.001,0.375,0.335,0.02,0,0.339,0.292,0.004,0,0.266,0.26,0.002,0,0.373,0.367,0.015,0.302
"p59",0.002,0.403,0.41,0.021,0,0.431,0.408,0.005,0,0.419,0.419,0.002,0.001,0.458,0.475,0.018,0.363
"p6",0.004,0.459,0.47,0.055,0,0.362,0.324,0.009,0,0.174,0.184,0.001,0.002,0.369,0.37,0.03,0.458
"p60",0,0.348,0.511,0.068,0,0.319,0.441,0.028,0,0.251,0.409,0.016,0,0.346,0.515,0.054,0.418
"p61",0,0.354,0.491,0.055,0,0.326,0.427,0.022,0,0.266,0.404,0.014,0,0.35,0.498,0.046,0.402
"p62",0,0.342,0.534,0.081,0,0.299,0.462,0.035,0,0.224,0.402,0.018,0,0.336,0.54,0.064,0.486
"p63",0,0.372,0.436,0.042,0,0.316,0.352,0.013,0,0.245,0.303,0.006,0,0.323,0.405,0.031,0.385
"p64",0,0.355,0.431,0.041,0,0.313,0.374,0.015,0,0.244,0.335,0.008,0,0.308,0.418,0.032,0.384
"p65",0,0.31,0.483,0.059,0,0.272,0.396,0.022,0,0.202,0.348,0.014,0,0.278,0.462,0.044,0.43
"p66",0,0.334,0.403,0.036,0,0.303,0.348,0.009,0,0.217,0.28,0.004,0,0.311,0.408,0.028,0.363
"p67",0,0.361,0.386,0.032,0,0.331,0.343,0.008,0,0.239,0.285,0.004,0,0.331,0.397,0.025,0.322
"p68",0.003,0.362,0.425,0.047,0,0.278,0.307,0.008,0,0.16,0.215,0.002,0.001,0.331,0.378,0.029,0.405
"p69",0.003,0.374,0.399,0.035,0,0.298,0.298,0.005,0,0.179,0.218,0.001,0.001,0.342,0.371,0.021,0.409
"p7",0.007,0.414,0.502,0.073,0,0.34,0.387,0.016,0,0.16,0.213,0.004,0.003,0.353,0.432,0.046,0.451
"p70",0.003,0.34,0.422,0.048,0,0.287,0.337,0.01,0,0.178,0.251,0.002,0.001,0.314,0.389,0.031,0.402
"p71",0.003,0.337,0.423,0.045,0,0.284,0.322,0.009,0,0.183,0.237,0.002,0.001,0.316,0.374,0.027,0.365
"p72",0.003,0.362,0.406,0.036,0,0.321,0.327,0.007,0,0.211,0.244,0.001,0.001,0.337,0.369,0.022,0.428
"p73",0.002,0.377,0.375,0.03,0,0.345,0.316,0.005,0,0.231,0.236,0.001,0.001,0.354,0.349,0.019,0.342
"p74",0.002,0.347,0.435,0.06,0,0.237,0.28,0.013,0,0.137,0.195,0.003,0.001,0.319,0.397,0.04,0.409
"p75",0.006,0.371,0.364,0.032,0,0.289,0.246,0.004,0,0.18,0.196,0,0.004,0.349,0.342,0.02,0.389
"p76",0.005,0.391,0.351,0.028,0,0.308,0.234,0.003,0,0.178,0.172,0,0.003,0.364,0.33,0.016,0.336
"p77",0.004,0.373,0.365,0.026,0,0.329,0.29,0.004,0,0.212,0.232,0,0.002,0.356,0.359,0.016,0.348
"p78",0.004,0.387,0.373,0.026,0,0.331,0.286,0.003,0,0.19,0.188,0,0.002,0.354,0.357,0.015,0.357
"p79",0.005,0.409,0.333,0.025,0,0.34,0.229,0.003,0,0.212,0.172,0,0.003,0.384,0.312,0.015,0.372
"p8",0.005,0.518,0.444,0.038,0,0.425,0.312,0.006,0,0.222,0.194,0.001,0.002,0.44,0.371,0.023,0.389
"p80",0.007,0.406,0.312,0.025,0,0.32,0.217,0.003,0,0.188,0.155,0,0.004,0.367,0.282,0.015,0.316
"p81",0.003,0.377,0.396,0.031,0,0.325,0.297,0.004,0,0.21,0.215,0,0.001,0.344,0.349,0.017,0.421
"p82",0.003,0.381,0.392,0.028,0,0.328,0.287,0.003,0,0.213,0.212,0,0.001,0.354,0.348,0.015,0.413
"p83",0.003,0.387,0.386,0.028,0,0.336,0.283,0.004,0,0.213,0.202,0,0.002,0.353,0.342,0.016,0.4
"p84",0.002,0.365,0.411,0.038,0,0.311,0.327,0.007,0,0.209,0.243,0.002,0.001,0.333,0.376,0.024,0.395
"p85",0.001,0.379,0.407,0.031,0,0.322,0.321,0.005,0,0.233,0.252,0.001,0,0.343,0.38,0.02,0.389
"p86",0.001,0.378,0.37,0.022,0,0.342,0.314,0.004,0,0.261,0.263,0.002,0,0.361,0.371,0.016,0.343
"p87",0.001,0.398,0.36,0.02,0,0.351,0.298,0.003,0,0.263,0.243,0.001,0.001,0.376,0.368,0.014,0.34
"p88",0.002,0.367,0.384,0.024,0,0.318,0.309,0.003,0,0.245,0.253,0.001,0.001,0.347,0.384,0.017,0.387
"p89",0.003,0.369,0.369,0.022,0,0.326,0.302,0.002,0,0.25,0.249,0.001,0.002,0.347,0.375,0.016,0.373
"p9",0.003,0.473,0.478,0.035,0,0.402,0.352,0.005,0,0.23,0.215,0.001,0.001,0.433,0.422,0.021,0.421
"p90",0.003,0.376,0.345,0.016,0,0.342,0.294,0.002,0,0.289,0.27,0.001,0.002,0.38,0.378,0.012,0.312
"p91",0.003,0.396,0.298,0.012,0,0.367,0.246,0.001,0,0.304,0.22,0,0.002,0.425,0.33,0.008,0.242
"p92",0.002,0.367,0.373,0.033,0,0.324,0.3,0.008,0,0.228,0.233,0.003,0.001,0.34,0.357,0.024,0.376
"p93",0.004,0.403,0.35,0.022,0,0.343,0.263,0.002,0,0.239,0.201,0,0.002,0.372,0.328,0.013,0.344
"p94",0,0.347,0.408,0.043,0,0.3,0.346,0.014,0,0.236,0.302,0.007,0,0.342,0.418,0.035,0.395
"p95",0,0.343,0.415,0.046,0,0.298,0.339,0.014,0,0.239,0.304,0.007,0,0.337,0.411,0.038,0.346
"p96",0.001,0.358,0.379,0.035,0,0.307,0.316,0.01,0,0.258,0.296,0.005,0,0.364,0.399,0.03,0.341
"p97",0.001,0.361,0.366,0.038,0,0.312,0.303,0.011,0,0.252,0.269,0.005,0.001,0.354,0.363,0.032,0.297
"p98",0.001,0.368,0.357,0.031,0,0.312,0.281,0.007,0,0.255,0.255,0.002,0.001,0.368,0.362,0.025,0.326
"p99",0.002,0.37,0.352,0.029,0,0.328,0.285,0.006,0,0.261,0.25,0.002,0.001,0.359,0.348,0.022,0.313
