,2010,2012,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050,2052,2054,2056,2058,2060,2062,2064,2066,2068,2070,2072,2074,2076,2078,2080,2082,2084,2086,2088,2090,2092,2094,2096,2098,2100
p112,0,15.96889695,36.231,44.149,45.436,48.234,50.048,52.09,56.202,64.223,78.667,100.35,130.448,168.91,213.834,262.639,310.417,358.025,403.942,450.959,496.866,532.799,560.473,581.7,597.966,610.393,619.827,626.929,632.218,636.113,638.953,641.015,642.516,643.615,644.425,645.028,645.478,645.815,646.07,646.262,646.408,646.518,646.602,646.666,646.714,646.751
p113,0.00074308,3.858751976,6.693,8.242,8.286,8.426,8.546,8.64,8.873,9.448,10.613,12.488,15.308,19.471,25.004,32.269,40.889,50.943,62.13,75.037,88.377,100.012,109.445,116.594,121.665,125.045,127.183,128.488,129.266,129.726,129.999,130.163,130.262,130.325,130.364,130.39,130.408,130.42,130.429,130.435,130.439,130.442,130.445,130.446,130.448,130.449
p114,0,5.660933492,10.264,12.599,12.827,13.405,13.627,13.67,13.972,14.963,16.865,19.785,24.235,30.78,40.012,52.317,67.182,84.681,103.498,123.671,143.704,160.962,175.207,186.387,194.624,200.307,204.011,206.326,207.739,208.592,209.108,209.423,209.619,209.744,209.825,209.879,209.915,209.941,209.959,209.972,209.982,209.989,209.994,209.998,210.001,210.004
p115,0.438228156,35.5977707,60.586,72.445,81.323,104.152,136.014,179.061,234.552,306.067,392.655,487.147,589.759,701.353,807.481,898.072,954.883,993.297,1030.581,1072.638,1120.218,1140.934,1149.668,1153.307,1154.816,1155.44,1155.699,1155.805,1155.85,1155.868,1155.875,1155.879,1155.88,1155.88,1155.881,1155.881,1155.881,1155.881,1155.881,1155.881,1155.881,1155.881,1155.881,1155.881,1155.881,1155.881
p116,0,0,26.062,39.215,39.261,39.883,39.975,40.012,40.25,41.108,43.26,46.274,50.432,56.049,63.216,71.903,81.475,91.863,102.96,114.868,126.248,136.094,144.265,150.832,155.991,159.997,163.097,165.507,167.398,168.899,170.103,171.079,171.874,172.526,173.061,173.502,173.865,174.164,174.41,174.611,174.776,174.912,175.022,175.113,175.186,175.246
p117,0,0,9.211,13.836,13.837,14.147,14.157,14.158,14.183,14.602,15.762,17.546,20.156,23.987,29.28,36.281,44.673,54.429,65.312,77.232,89.128,99.692,108.521,115.512,120.791,124.62,127.31,129.153,130.395,131.222,131.771,132.134,132.376,132.537,132.646,132.72,132.771,132.807,132.833,132.852,132.866,132.876,132.884,132.89,132.894,132.898
p118,0,0,2.159,6.454,7.59,11.209,14.022,15.752,22.213,32.404,46.603,61.097,75.116,89.242,103.747,118.339,129.592,139.391,148.344,157.802,164.592,167.947,169.593,170.392,170.769,170.942,171.02,171.055,171.072,171.079,171.082,171.084,171.085,171.085,171.085,171.085,171.085,171.085,171.085,171.085,171.085,171.085,171.085,171.085,171.085,171.085
p119,0.123533323,4.106571736,9.697,11.252,11.379,12.392,13.161,13.974,16.268,20.803,27.768,36.822,47.396,59.089,70.629,81.106,88.221,93.009,97.021,101.045,104.952,106.65,107.367,107.665,107.789,107.84,107.861,107.87,107.874,107.875,107.876,107.876,107.876,107.876,107.876,107.876,107.876,107.876,107.876,107.876,107.876,107.876,107.876,107.876,107.876,107.876
p12,0.408189973,14.22757422,36.573,88.533,92.375,97.611,101.383,104.07,106.867,109.916,113.633,116.77,119.371,122,124.65,127.371,129.313,131.474,133.511,135.293,137.19,138.199,138.768,139.1,139.296,139.411,139.48,139.52,139.544,139.558,139.566,139.571,139.574,139.576,139.576,139.577,139.577,139.578,139.578,139.578,139.578,139.578,139.578,139.578,139.578,139.578
p120,0.304902382,2.880211639,8.544,9.879,10.01,10.71,10.781,10.781,11.64,13.74,17.703,23.512,30.478,38.051,45.626,52.433,57.039,60.082,62.679,65.251,67.882,69.007,69.47,69.66,69.738,69.771,69.784,69.789,69.792,69.793,69.793,69.793,69.793,69.793,69.793,69.793,69.793,69.793,69.793,69.793,69.793,69.793,69.793,69.793,69.793,69.793
p121,0,8.308360209,25.487,57.211,62.854,79.164,94.154,106.222,115.171,126.601,140.795,154.756,168.184,181.259,193.947,206.628,217.764,228.634,239.523,250.621,260.737,269.029,275.968,281.844,286.844,291.1,294.716,297.778,300.359,302.527,304.339,305.849,307.102,308.139,308.995,309.7,310.28,310.757,311.147,311.467,311.729,311.943,312.118,312.262,312.378,312.474
p122,2.438565672,132.0154459,144.399,181.529,221.457,323.936,489.436,717.287,1004.233,1332.996,1687.003,1991.222,2256.474,2516.472,2778.931,3023.987,3189.706,3320.606,3464.875,3620.131,3787.445,3862.524,3894.78,3908.345,3913.995,3916.338,3917.309,3917.71,3917.876,3917.945,3917.973,3917.985,3917.99,3917.992,3917.992,3917.993,3917.993,3917.993,3917.993,3917.993,3917.993,3917.993,3917.993,3917.993,3917.993,3917.993
p123,0.002115553,75.49163979,176.175,579.004,838.606,1237.379,1588.132,1790.113,1870.85,1952.401,2052.796,2138.149,2218.794,2304.749,2390.982,2483.81,2559.039,2633.18,2711.079,2793.51,2868.737,2925.689,2971.45,3010.011,3043.499,3073.024,3099.187,3122.346,3142.755,3160.629,3176.176,3189.601,3201.115,3210.924,3219.231,3226.227,3232.09,3236.982,3241.05,3244.42,3247.206,3249.503,3251.393,3252.946,3254.221,3255.265
p124,0,0,0.106,0.233,0.24,0.288,0.288,0.288,0.289,0.294,0.343,0.372,0.408,0.49,0.599,0.749,0.911,1.184,1.612,2.152,2.67,3.135,3.576,3.981,4.309,4.536,4.673,4.748,4.787,4.805,4.814,4.818,4.819,4.82,4.821,4.821,4.821,4.821,4.821,4.821,4.821,4.821,4.821,4.821,4.821,4.821
p125,0.947636682,17.6,27.561,62.168,72.391,104.471,140.888,172.974,210.602,247.677,290.594,325.929,330.797,335.586,340.936,345.693,348.443,351.636,355.364,360.668,364.5,366.312,367.151,367.534,367.709,367.789,367.825,367.841,367.849,367.852,367.854,367.855,367.855,367.855,367.855,367.855,367.855,367.855,367.855,367.855,367.855,367.855,367.855,367.855,367.855,367.855
p126,4.57672123,816.9,1210.57,1618.728,1752.192,1954.793,2167.579,2387.565,2635.509,2901.338,3170.172,3402.467,3596.698,3761.746,3904.533,4029.321,4131.156,4216.925,4293.415,4364.109,4429.781,4479.327,4517.09,4546.042,4568.306,4585.465,4598.726,4609.01,4617.013,4623.26,4628.15,4631.985,4634.997,4637.366,4639.23,4640.698,4641.854,4642.766,4643.484,4644.05,4644.496,4644.848,4645.125,4645.343,4645.516,4645.652
p127,3.257673856,107.8581726,269.449,642.051,703.264,796.461,888.29,904.462,928.87,963.891,1009.598,1050.387,1086.926,1121.021,1154.239,1186.055,1210.308,1230.742,1252.596,1277.346,1304.562,1321.905,1332.721,1339.374,1343.43,1345.892,1347.382,1348.284,1348.831,1349.163,1349.366,1349.491,1349.567,1349.614,1349.644,1349.662,1349.674,1349.681,1349.686,1349.689,1349.691,1349.692,1349.693,1349.694,1349.694,1349.694
p128,7.216393541,16.04182742,65.251,205.886,261.418,347.409,444.846,497.83,552.587,610.326,673.061,722.078,765.652,801.517,831.925,861.039,883.059,902.679,924.267,948.405,972.786,988.547,998.616,1005.016,1009.082,1011.669,1013.321,1014.38,1015.064,1015.507,1015.796,1015.986,1016.11,1016.193,1016.248,1016.285,1016.31,1016.326,1016.338,1016.345,1016.35,1016.354,1016.356,1016.358,1016.359,1016.36
p129,0.188722468,8.9,26.012,101.072,111.951,125.94,137.983,142.014,146.487,154.547,163.478,172.243,180.048,184.974,189.095,192.668,195.005,196.421,197.788,198.772,199.6,200.245,200.746,201.133,201.432,201.661,201.837,201.971,202.075,202.154,202.214,202.261,202.296,202.323,202.344,202.36,202.372,202.381,202.388,202.394,202.398,202.401,202.403,202.405,202.407,202.408
p13,0.543822861,29.67242578,46.624,164.016,176.638,200.13,213.835,223.796,233.469,243.129,258.974,270.563,278.799,287.69,296.644,306.138,311.341,320.198,327.663,335.275,342.734,345.889,347.409,348.22,348.678,348.943,349.098,349.188,349.242,349.273,349.291,349.302,349.308,349.312,349.314,349.316,349.316,349.317,349.317,349.317,349.317,349.317,349.317,349.317,349.317,349.317
p130,0,0,5.181,52.207,76.452,114.213,127.332,141.825,159.063,188.27,220.222,249.029,272.255,284.886,294.848,303.873,308.946,311.487,315.554,318.066,320.786,322.582,323.747,324.487,324.944,325.221,325.387,325.484,325.541,325.574,325.593,325.605,325.611,325.615,325.617,325.618,325.619,325.619,325.62,325.62,325.62,325.62,325.62,325.62,325.62,325.62
p131,2.936474285,178.4,681.585,1441.144,1698.178,2028.647,2391.137,2590.34,2811.258,3075.548,3346.371,3585.692,3783.781,3933.826,4049.302,4143.429,4211.309,4259.615,4303.659,4340.236,4370.454,4391.927,4407.027,4417.518,4424.726,4429.634,4432.956,4435.196,4436.705,4437.72,4438.403,4438.863,4439.173,4439.383,4439.524,4439.62,4439.685,4439.73,4439.76,4439.78,4439.794,4439.804,4439.81,4439.815,4439.818,4439.82
p132,1.362208484,36.6,115.181,309.188,426.818,594.045,755.071,874.24,989.568,1200.126,1413.779,1592.369,1717.118,1741.609,1760.438,1787.229,1790.833,1791.141,1794.488,1795.221,1795.881,1796.266,1796.49,1796.62,1796.695,1796.739,1796.765,1796.78,1796.788,1796.793,1796.796,1796.798,1796.799,1796.799,1796.8,1796.8,1796.8,1796.8,1796.8,1796.8,1796.8,1796.8,1796.8,1796.8,1796.8,1796.8
p133,0,0,0.071,2.724,5.817,18.15,53.394,115.601,178.341,200.345,216.147,221.41,222.437,223.516,223.885,224.155,224.155,224.155,224.166,224.166,224.167,224.168,224.168,224.168,224.168,224.168,224.168,224.168,224.168,224.168,224.168,224.168,224.168,224.168,224.168,224.168,224.168,224.168,224.168,224.168,224.168,224.168,224.168,224.168,224.168,224.168
p134,1.440997601,5.640375641,9,16,21.993,32.783,42.752,54.222,68.119,74.741,82.79,92.372,102.461,111.146,119.832,128.589,136.385,142.912,149.123,154.193,158.571,162.185,165.124,167.487,169.368,170.853,172.018,172.927,173.634,174.183,174.606,174.934,175.186,175.38,175.53,175.644,175.733,175.8,175.852,175.892,175.923,175.947,175.965,175.978,175.989,175.997
p14,0,0,0.305,0.508,0.684,1.649,2.734,3.373,3.992,4.507,5.176,5.688,6.446,7.334,8.919,11.054,12.866,14.791,16.304,17.82,19.694,20.973,21.814,22.317,22.571,22.676,22.713,22.725,22.729,22.73,22.73,22.73,22.73,22.73,22.73,22.73,22.73,22.73,22.73,22.73,22.73,22.73,22.73,22.73,22.73,22.73
p15,0,0,4.926,8.837,13.569,23.229,30.685,34.408,39.808,46.829,55.696,62.122,66.694,70.106,73.934,78.085,80.249,83.591,86.566,89.983,93.473,94.662,95.099,95.329,95.519,95.658,95.727,95.752,95.761,95.764,95.765,95.765,95.765,95.765,95.765,95.765,95.765,95.765,95.765,95.765,95.765,95.765,95.765,95.765,95.765,95.765
p16,0,0,2.296,3.495,4.669,6.822,8.642,9.799,11.438,13.646,16.55,19.724,23.285,26.706,29.44,32.114,33.548,35.373,36.906,38.383,39.863,40.457,40.708,40.82,40.865,40.881,40.886,40.888,40.889,40.889,40.889,40.889,40.889,40.889,40.889,40.889,40.889,40.889,40.889,40.889,40.889,40.889,40.889,40.889,40.889,40.889
p17,0,0,3.072,4.551,5.612,8.077,11.442,15.323,22.097,31.775,43.484,55.59,66.005,74.57,81.894,88.105,92.533,96.674,100.3,103.532,106.524,108.273,109.272,109.833,110.146,110.319,110.415,110.468,110.497,110.513,110.522,110.526,110.529,110.531,110.531,110.532,110.532,110.532,110.532,110.532,110.532,110.532,110.532,110.532,110.532,110.532
p18,0,0,2.902,4.305,5.759,9.567,14.776,20.44,30.558,43.573,58.073,71.514,82.377,91.577,99.895,107.674,113.19,118.87,124.15,128.979,134.028,136.927,138.554,139.454,139.949,140.22,140.368,140.449,140.493,140.517,140.53,140.537,140.541,140.543,140.544,140.545,140.545,140.545,140.546,140.546,140.546,140.546,140.546,140.546,140.546,140.546
p19,0,0,0.083,0.121,0.151,0.231,0.323,0.436,0.619,0.892,1.221,1.533,1.77,1.963,2.137,2.297,2.408,2.523,2.624,2.722,2.815,2.869,2.898,2.915,2.924,2.929,2.932,2.933,2.934,2.935,2.935,2.935,2.935,2.935,2.935,2.935,2.935,2.935,2.935,2.935,2.935,2.935,2.935,2.935,2.935,2.935
p2,4.25E-05,3.598774958,9.663,22.107,22.201,22.613,22.843,22.911,22.988,23.759,26.327,29.657,32.525,35.322,38.39,41.628,43.151,44.742,46.75,48.918,50.758,52.343,53.52,53.999,54.137,54.171,54.18,54.182,54.182,54.183,54.183,54.183,54.183,54.183,54.183,54.183,54.183,54.183,54.183,54.183,54.183,54.183,54.183,54.183,54.183,54.183
p20,0,0,1.538,2.35,3.373,5.736,8.753,12.133,17.658,25.487,34.114,42.048,48.814,54.627,59.823,64.563,67.935,71.433,74.751,77.878,81.393,83.425,84.567,85.2,85.547,85.737,85.841,85.897,85.928,85.944,85.954,85.958,85.961,85.963,85.963,85.964,85.964,85.964,85.964,85.964,85.964,85.964,85.964,85.964,85.964,85.964
p21,0,0,2.156,3.598,3.655,3.884,4.012,4.103,4.286,4.603,5.231,5.963,6.812,7.843,9.098,10.724,12.418,14.506,16.875,19.496,22.447,25.41,28.405,31.429,34.454,37.444,40.368,43.194,45.894,48.448,50.841,53.065,55.117,56.998,58.71,60.259,61.65,62.89,63.987,64.95,65.789,66.514,67.135,67.665,68.113,68.49
p22,0,0,0.017,0.024,0.025,0.041,0.042,0.042,0.043,0.061,0.099,0.147,0.203,0.273,0.367,0.493,0.64,0.831,1.059,1.337,1.667,1.992,2.325,2.682,3.068,3.482,3.919,4.373,4.837,5.303,5.763,6.209,6.636,7.038,7.411,7.753,8.062,8.338,8.582,8.796,8.982,9.141,9.277,9.392,9.489,9.571
p23,0,0,0.33,0.478,0.496,0.536,0.542,0.546,0.552,0.588,0.647,0.707,0.772,0.854,0.959,1.105,1.278,1.541,1.859,2.212,2.639,2.962,3.231,3.484,3.738,3.999,4.265,4.531,4.793,5.046,5.287,5.511,5.718,5.905,6.072,6.22,6.35,6.463,6.561,6.645,6.716,6.777,6.828,6.871,6.907,6.937
p24,0,0,32.77,48.951,50.158,51.736,53.022,54.134,55.446,57.016,58.882,60.811,62.807,65.064,67.554,70.364,73.187,76.322,79.654,83.166,86.895,90.465,93.898,97.197,100.351,103.343,106.156,108.776,111.194,113.405,115.412,117.222,118.843,120.289,121.572,122.707,123.705,124.579,125.34,126,126.569,127.055,127.47,127.821,128.117,128.365
p25,0,0,16.8,156.789,227.694,365.398,530.101,691.639,848.496,997.92,1131.748,1236.974,1313.142,1367.645,1407.866,1436.174,1456.303,1470.639,1482.199,1493.48,1502.21,1506.425,1508.477,1509.488,1509.995,1510.255,1510.39,1510.462,1510.5,1510.521,1510.531,1510.537,1510.539,1510.541,1510.542,1510.542,1510.542,1510.542,1510.542,1510.542,1510.542,1510.542,1510.542,1510.542,1510.542,1510.542
p26,0,0,0.792,8.724,13.267,21.266,30.741,40.106,49.065,57.36,65.003,70.778,75.04,77.975,80.115,81.864,83.027,83.922,84.566,85.064,85.544,85.768,85.874,85.924,85.948,85.96,85.966,85.97,85.971,85.972,85.972,85.973,85.973,85.973,85.973,85.973,85.973,85.973,85.973,85.973,85.973,85.973,85.973,85.973,85.973,85.973
p27,0.432030983,12.67567255,19.795,34.068,38.236,44.218,49.791,53.798,57.658,61.301,65.271,68.329,71.123,73.665,76.031,78.619,80.485,82.188,83.746,85.302,86.79,87.765,88.407,88.838,89.132,89.336,89.482,89.587,89.664,89.721,89.764,89.797,89.822,89.842,89.856,89.868,89.877,89.884,89.889,89.893,89.897,89.899,89.901,89.903,89.904,89.905
p28,7.941410686,257.0910799,491.54,779.014,859.488,967.891,1061.192,1126.148,1185.341,1243.973,1308.739,1366.397,1414.619,1461.364,1512.495,1561.491,1595.167,1634.037,1668.911,1699.555,1731.171,1751.888,1765.483,1774.504,1780.589,1784.773,1787.709,1789.809,1791.336,1792.465,1793.308,1793.946,1794.431,1794.803,1795.089,1795.31,1795.482,1795.615,1795.718,1795.799,1795.862,1795.911,1795.949,1795.979,1796.002,1796.02
p29,0.033362992,3.953283745,4.769,7.818,8.297,8.934,9.509,9.923,10.31,10.691,11.111,11.437,11.735,11.988,12.257,12.524,12.721,12.95,13.188,13.404,13.627,13.775,13.874,13.941,13.988,14.021,14.044,14.061,14.074,14.083,14.091,14.096,14.1,14.104,14.106,14.108,14.11,14.111,14.112,14.112,14.113,14.113,14.114,14.114,14.114,14.114
p3,0.075701514,1.7785297,4.355,10.391,10.504,11.029,11.29,11.347,11.648,13.45,18.526,24.493,28.633,31.688,34.415,37.501,39.353,41.065,42.341,43.934,45.565,46.533,47.04,47.22,47.27,47.283,47.286,47.286,47.287,47.287,47.287,47.287,47.287,47.287,47.287,47.287,47.287,47.287,47.287,47.287,47.287,47.287,47.287,47.287,47.287,47.287
p30,2.435539638,48.87996376,89.579,147.294,164.678,188.416,211.123,228.664,245.896,262.249,276.591,287.482,298.252,307.994,317.748,328.491,336.654,343.05,349.083,354.411,359.832,363.487,365.989,367.733,368.973,369.869,370.529,371.02,371.39,371.671,371.887,372.052,372.18,372.279,372.356,372.416,372.462,372.498,372.527,372.549,372.566,372.579,372.59,372.598,372.605,372.61
p31,0.65127812,21.37159267,47.909,74.873,104.402,163.603,233.158,288.311,342.654,394.649,447.932,487.11,520.211,551.457,584.63,618.945,640.804,667.59,692.7,716.956,740.743,753.376,760.311,764.219,766.476,767.828,768.674,769.226,769.597,769.853,770.032,770.158,770.248,770.311,770.357,770.389,770.413,770.429,770.441,770.45,770.456,770.46,770.463,770.465,770.467,770.468
p32,0,0,1.119,1.6,1.625,1.67,1.72,1.794,2.06,2.537,3.343,4.67,6.713,9.35,13.775,19.36,25.455,31.156,36.568,40.737,44.162,46.558,48.096,49.022,49.558,49.859,50.027,50.119,50.169,50.197,50.212,50.22,50.225,50.227,50.229,50.229,50.23,50.23,50.23,50.23,50.23,50.23,50.23,50.23,50.23,50.23
p33,2.526042441,132.7315941,198.272,270.734,297.125,349.262,391.695,418.199,455.166,499.476,550.002,597.863,642.424,687.464,735.8,788.647,833.619,881.166,927.861,972.064,1015.704,1048.56,1072.815,1090.373,1102.835,1111.515,1117.459,1121.473,1124.156,1125.934,1127.107,1127.878,1128.384,1128.715,1128.931,1129.073,1129.166,1129.226,1129.266,1129.292,1129.309,1129.32,1129.327,1129.332,1129.335,1129.337
p34,0.857821277,34.1684059,94.048,130.293,150.91,178.342,200.714,218.951,237.822,258.916,282.577,304.361,324.637,344.327,364.039,384.006,400.068,416.302,431.816,446.247,460.693,470.719,477.562,482.176,485.264,487.32,488.685,489.589,490.188,490.584,490.846,491.02,491.135,491.212,491.263,491.296,491.319,491.334,491.344,491.35,491.355,491.358,491.36,491.361,491.362,491.363
p35,0,0,0.839,1.195,1.496,2.011,2.671,3.551,4.824,6.619,8.602,10.296,11.652,12.734,13.605,14.319,14.825,15.372,15.908,16.447,16.986,17.303,17.487,17.591,17.649,17.682,17.7,17.71,17.715,17.718,17.72,17.721,17.721,17.722,17.722,17.722,17.722,17.722,17.722,17.722,17.722,17.722,17.722,17.722,17.722,17.722
p36,0,0,3.415,4.873,4.916,5.048,5.268,5.677,6.781,8.858,12.466,18.617,28.444,42.634,64.971,94.412,127.452,159.642,189.913,213.308,232.198,245.124,253.307,258.198,261.012,262.594,263.472,263.955,264.22,264.365,264.444,264.487,264.511,264.524,264.531,264.535,264.537,264.538,264.538,264.539,264.539,264.539,264.539,264.539,264.539,264.539
p37,0,0,31.858,48.178,48.224,48.353,48.59,49.025,50.196,52.425,56.352,63.194,74.307,90.891,117.227,153.148,195.705,240.402,285.368,323.689,355.805,378.75,393.719,402.852,408.181,411.202,412.887,413.816,414.326,414.604,414.757,414.84,414.885,414.909,414.923,414.93,414.934,414.936,414.938,414.938,414.939,414.939,414.939,414.939,414.939,414.939
p38,0,0,34.154,51.451,51.571,51.815,52.105,52.561,54.202,57.103,61.981,69.968,82.318,97.747,125.155,158.559,193.547,225.291,254.2,275.774,292.836,304.157,311.186,315.349,317.741,319.088,319.837,320.252,320.479,320.604,320.673,320.71,320.731,320.742,320.748,320.752,320.753,320.754,320.755,320.755,320.755,320.756,320.756,320.756,320.756,320.756
p39,0,0,17.686,26.399,27.782,29.765,31.363,33.07,38.993,41.819,44.997,48.256,51.398,52.452,59.119,62.528,64.236,65.537,66.979,68.285,69.559,70.707,71.731,72.617,73.356,73.955,74.426,74.789,75.063,75.267,75.418,75.528,75.609,75.667,75.709,75.739,75.761,75.777,75.788,75.796,75.802,75.806,75.809,75.811,75.812,75.813
p4,0.119576402,0.38937141,1.479,2.959,3.203,4.228,5.44,5.937,6.634,7.244,8.035,8.631,9.171,9.797,10.213,10.59,10.698,10.953,11.254,11.621,11.949,12.038,12.06,12.066,12.067,12.067,12.068,12.068,12.068,12.068,12.068,12.068,12.068,12.068,12.068,12.068,12.068,12.068,12.068,12.068,12.068,12.068,12.068,12.068,12.068,12.068
p40,0,0,8.416,13.485,15.846,20.225,25.199,31.27,50.47,63.637,78.768,95.756,114.615,122.618,160.432,183.71,198.147,211.021,225.316,240.282,255.032,268.8,281.496,292.791,302.453,310.426,316.805,321.78,325.58,328.437,330.557,332.116,333.254,334.08,334.678,335.109,335.419,335.642,335.803,335.918,336,336.059,336.101,336.132,336.153,336.169
