from_ba,to_ba,WKT
p93,p92,"LINESTRING(-86.4436489275417 36.9906994822608,-86.76913977 36.1715035299999)"
p112,p113,"LINESTRING(-82.9919554632241 39.9819202432293,-84.2019332871221 39.7523218545566)"
p113,p112,"LINESTRING(-84.2019332871221 39.7523218545566,-82.9919554632241 39.9819202432293)"
p124,p99,"LINESTRING(-75.74237466 37.71080118,-75.9802645859174 36.8551601927613)"
p99,p124,"LINESTRING(-75.9802645859174 36.8551601927613,-75.74237466 37.71080118)"
p119,p120,"LINESTRING(-77.8602452002939 40.7937231639167,-77.64509082 39.93275473)"
p120,p119,"LINESTRING(-77.64509082 39.93275473,-77.8602452002939 40.7937231639167)"
p122,p125,"LINESTRING(-75.1719418320079 40.0019190225265,-75.52098513 39.16083229)"
p125,p122,"LINESTRING(-75.52098513 39.16083229,-75.1719418320079 40.0019190225265)"
p121,p123,"LINESTRING(-77.7202795834312 39.6416487824015,-77.0113644394371 38.901495235087)"
p123,p121,"LINESTRING(-77.0113644394371 38.901495235087,-77.7202795834312 39.6416487824015)"
p33,p34,"LINESTRING(-104.985961810968 39.7411339069655,-104.791986329959 38.8629624624115)"
p34,p33,"LINESTRING(-104.791986329959 38.8629624624115,-104.985961810968 39.7411339069655)"
p203,p204,"LINESTRING(-115.578396421413 32.4501042047207,-114.502433556963 32.0765762869995)"
p204,p203,"LINESTRING(-114.502433556963 32.0765762869995,-115.578396421413 32.4501042047207)"
p2,p4,"LINESTRING(-120.50683379 46.6160627800001,-119.27649915 47.13184305)"
p4,p2,"LINESTRING(-119.27649915 47.13184305,-120.50683379 46.6160627800001)"
p108,p93,"LINESTRING(-87.113323813612 37.7745792836963,-86.4436489275417 36.9906994822608)"
p93,p108,"LINESTRING(-86.4436489275417 36.9906994822608,-87.113323813612 37.7745792836963)"
p116,p117,"LINESTRING(-81.5616471778477 39.2666587514756,-81.6327281104652 38.3497379751048)"
p117,p116,"LINESTRING(-81.6327281104652 38.3497379751048,-81.5616471778477 39.2666587514756)"
p129,p148,"LINESTRING(-73.2124668799627 44.4757981557933,-73.2941446698144 45.3946750256179)"
p148,p129,"LINESTRING(-73.2941446698144 45.3946750256179,-73.2124668799627 44.4757981557933)"
p43,p68,"LINESTRING(-93.2537321966635 44.9819251260619,-93.9991567400719 44.1636208283181)"
p68,p43,"LINESTRING(-93.9991567400719 44.1636208283181,-93.2537321966635 44.9819251260619)"
p78,p79,"LINESTRING(-89.4011169858218 43.0730155630143,-87.921912942085 43.0546009073042)"
p79,p78,"LINESTRING(-87.921912942085 43.0546009073042,-89.4011169858218 43.0730155630143)"
p64,p65,"LINESTRING(-97.7447242214212 30.2688955442973,-98.5092511989633 29.489279048526)"
p65,p64,"LINESTRING(-98.5092511989633 29.489279048526,-97.7447242214212 30.2688955442973)"
p81,p82,"LINESTRING(-90.5346136899278 41.4933962189324,-89.6700411394687 40.6999821157391)"
p82,p81,"LINESTRING(-89.6700411394687 40.6999821157391,-90.5346136899278 41.4933962189324)"
p61,p62,"LINESTRING(-102.88091183 30.90188409,-102.36722477396 31.8455613393366)"
p62,p61,"LINESTRING(-102.36722477396 31.8455613393366,-102.88091183 30.90188409)"
p66,p67,"LINESTRING(-94.101682781739 30.086263040176,-95.341925149146 29.8219202431888)"
p67,p66,"LINESTRING(-95.341925149146 29.8219202431888,-94.101682781739 30.086263040176)"
p174,p175,"LINESTRING(-99.0146229506645 22.0562165828326,-98.2208072774353 22.8919218594279)"
p175,p174,"LINESTRING(-98.2208072774353 22.8919218594279,-99.0146229506645 22.0562165828326)"
p182,p186,"LINESTRING(-101.166961363025 20.4112138645946,-100.162614869147 21.018617447262)"
p186,p182,"LINESTRING(-100.162614869147 21.018617447262,-101.166961363025 20.4112138645946)"
p108,p109,"LINESTRING(-87.113323813612 37.7745792836963,-85.7506501246934 38.2269627643814)"
p109,p108,"LINESTRING(-85.7506501246934 38.2269627643814,-87.113323813612 37.7745792836963)"
p24,p39,"LINESTRING(-104.819710735883 41.1400069367046,-103.660685874225 41.8675077505093)"
p39,p24,"LINESTRING(-103.660685874225 41.8675077505093,-104.819710735883 41.1400069367046)"
p123,p125,"LINESTRING(-77.0113644394371 38.901495235087,-75.52098513 39.16083229)"
p125,p123,"LINESTRING(-75.52098513 39.16083229,-77.0113644394371 38.901495235087)"
p110,p117,"LINESTRING(-82.52436295 37.4804456,-81.6327281104652 38.3497379751048)"
p117,p110,"LINESTRING(-81.6327281104652 38.3497379751048,-82.52436295 37.4804456)"
p38,p44,"LINESTRING(-96.729997804536 43.5499890330683,-95.78703761 44.44491793)"
p44,p38,"LINESTRING(-95.78703761 44.44491793,-96.729997804536 43.5499890330683)"
p6,p8,"LINESTRING(-122.874422650018 42.3266270132067,-122.309392539339 41.3103582957546)"
p8,p6,"LINESTRING(-122.309392539339 41.3103582957546,-122.874422650018 42.3266270132067)"
p182,p184,"LINESTRING(-101.166961363025 20.4112138645946,-101.743390938646 19.3606007858006)"
p184,p182,"LINESTRING(-101.743390938646 19.3606007858006,-101.166961363025 20.4112138645946)"
p175,p177,"LINESTRING(-98.2208072774353 22.8919218594279,-99.2177562787674 23.6443324364708)"
p177,p175,"LINESTRING(-99.2177562787674 23.6443324364708,-98.2208072774353 22.8919218594279)"
p120,p123,"LINESTRING(-77.64509082 39.93275473,-77.0113644394371 38.901495235087)"
p123,p120,"LINESTRING(-77.0113644394371 38.901495235087,-77.64509082 39.93275473)"
p82,p83,"LINESTRING(-89.6700411394687 40.6999821157391,-88.2041874610773 40.1099922882629)"
p83,p82,"LINESTRING(-88.2041874610773 40.1099922882629,-89.6700411394687 40.6999821157391)"
p119,p121,"LINESTRING(-77.8602452002939 40.7937231639167,-77.7202795834312 39.6416487824015)"
p121,p119,"LINESTRING(-77.7202795834312 39.6416487824015,-77.8602452002939 40.7937231639167)"
p77,p78,"LINESTRING(-90.5038920509303 43.9850529165334,-89.4011169858218 43.0730155630143)"
p78,p77,"LINESTRING(-89.4011169858218 43.0730155630143,-90.5038920509303 43.9850529165334)"
p126,p128,"LINESTRING(-74.7433553483933 40.216962503107,-73.25742602 40.80816052)"
p128,p126,"LINESTRING(-73.25742602 40.80816052,-74.7433553483933 40.216962503107)"
p198,p199,"LINESTRING(-88.9092737817632 20.7456438964621,-87.7258788550823 20.1922789562231)"
p199,p198,"LINESTRING(-87.7258788550823 20.1922789562231,-88.9092737817632 20.7456438964621)"
p169,p172,"LINESTRING(-99.3454452788888 26.7668789730515,-100.422226893188 25.9744104538249)"
p172,p169,"LINESTRING(-100.422226893188 25.9744104538249,-99.3454452788888 26.7668789730515)"
p44,p68,"LINESTRING(-95.78703761 44.44491793,-93.9991567400719 44.1636208283181)"
p68,p44,"LINESTRING(-93.9991567400719 44.1636208283181,-95.78703761 44.44491793)"
p176,p188,"LINESTRING(-98.8880381360018 21.5196545172561,-97.7701586082275 20.8348214371417)"
p188,p176,"LINESTRING(-97.7701586082275 20.8348214371417,-98.8880381360018 21.5196545172561)"
p130,p133,"LINESTRING(-71.4552873145261 42.9959918406833,-71.4169255559512 41.8230481729244)"
p133,p130,"LINESTRING(-71.4169255559512 41.8230481729244,-71.4552873145261 42.9959918406833)"
p125,p126,"LINESTRING(-75.52098513 39.16083229,-74.7433553483933 40.216962503107)"
p126,p125,"LINESTRING(-74.7433553483933 40.216962503107,-75.52098513 39.16083229)"
p192,p196,"LINESTRING(-96.731002823498 17.4607698278138,-95.9176463692649 16.4607926057633)"
p196,p192,"LINESTRING(-95.9176463692649 16.4607926057633,-96.731002823498 17.4607698278138)"
p95,p97,"LINESTRING(-82.3941545020697 34.8529229929944,-80.8319839462883 35.206940384812)"
p97,p95,"LINESTRING(-80.8319839462883 35.206940384812,-82.3941545020697 34.8529229929944)"
p176,p186,"LINESTRING(-98.8880381360018 21.5196545172561,-100.162614869147 21.018617447262)"
p186,p176,"LINESTRING(-100.162614869147 21.018617447262,-98.8880381360018 21.5196545172561)"
p104,p105,"LINESTRING(-85.5871895769524 42.292158832868,-85.13065338 41.11969488)"
p105,p104,"LINESTRING(-85.13065338 41.11969488,-85.5871895769524 42.292158832868)"
p112,p116,"LINESTRING(-82.9919554632241 39.9819202432293,-81.5616471778477 39.2666587514756)"
p116,p112,"LINESTRING(-81.5616471778477 39.2666587514756,-82.9919554632241 39.9819202432293)"
p184,p185,"LINESTRING(-101.743390938646 19.3606007858006,-101.638665794338 18.0543354997246)"
p185,p184,"LINESTRING(-101.638665794338 18.0543354997246,-101.743390938646 19.3606007858006)"
p79,p80,"LINESTRING(-87.921912942085 43.0546009073042,-87.7520008327093 41.8319365192784)"
p80,p79,"LINESTRING(-87.7520008327093 41.8319365192784,-87.921912942085 43.0546009073042)"
p163,p164,"LINESTRING(-106.238907145723 31.1609394588711,-107.462318821811 30.3622434887791)"
p164,p163,"LINESTRING(-107.462318821811 30.3622434887791,-106.238907145723 31.1609394588711)"
p45,p70,"LINESTRING(-94.99698758 42.42384459,-93.6199809181302 41.5799800812373)"
p70,p45,"LINESTRING(-93.6199809181302 41.5799800812373,-94.99698758 42.42384459)"
p3,p4,"LINESTRING(-117.419949383395 47.6699959504023,-119.27649915 47.13184305)"
p4,p3,"LINESTRING(-119.27649915 47.13184305,-117.419949383395 47.6699959504023)"
p69,p70,"LINESTRING(-92.3427978940366 42.4931543162673,-93.6199809181302 41.5799800812373)"
p70,p69,"LINESTRING(-93.6199809181302 41.5799800812373,-92.3427978940366 42.4931543162673)"
p189,p190,"LINESTRING(-96.5548543289361 19.0725025885487,-97.9507085120238 19.0699632855265)"
p190,p189,"LINESTRING(-97.9507085120238 19.0699632855265,-96.5548543289361 19.0725025885487)"
p76,p79,"LINESTRING(-88.4005062273542 44.2686790151675,-87.921912942085 43.0546009073042)"
p79,p76,"LINESTRING(-87.921912942085 43.0546009073042,-88.4005062273542 44.2686790151675)"
p153,p156,"LINESTRING(-63.3640113802316 45.1491431676498,-63.2463204795681 46.4009827781187)"
p156,p153,"LINESTRING(-63.2463204795681 46.4009827781187,-63.3640113802316 45.1491431676498)"
p103,p111,"LINESTRING(-83.0820016464927 42.3319060017023,-81.6969440699897 41.4719326537173)"
p111,p103,"LINESTRING(-81.6969440699897 41.4719326537173,-83.0820016464927 42.3319060017023)"
p107,p93,"LINESTRING(-87.5558291033274 37.9746962677465,-86.4436489275417 36.9906994822608)"
p93,p107,"LINESTRING(-86.4436489275417 36.9906994822608,-87.5558291033274 37.9746962677465)"
p162,p166,"LINESTRING(-105.968131351165 23.196510250903,-105.052527418409 24.232600490598)"
p166,p162,"LINESTRING(-105.052527418409 24.232600490598,-105.968131351165 23.196510250903)"
p55,p56,"LINESTRING(-93.319999228676 37.1800160919621,-94.1572091082366 36.0629783315409)"
p56,p55,"LINESTRING(-94.1572091082366 36.0629783315409,-93.319999228676 37.1800160919621)"
p169,p170,"LINESTRING(-99.3454452788888 26.7668789730515,-98.2849872683049 25.8163982813975)"
p170,p169,"LINESTRING(-98.2849872683049 25.8163982813975,-99.3454452788888 26.7668789730515)"
p72,p73,"LINESTRING(-90.2419263698286 38.6369635781852,-91.77041486 37.95128631)"
p73,p72,"LINESTRING(-91.77041486 37.95128631,-90.2419263698286 38.6369635781852)"
p11,p203,"LINESTRING(-117.18193572866 32.8219696816773,-115.578396421413 32.4501042047207)"
p203,p11,"LINESTRING(-115.578396421413 32.4501042047207,-117.18193572866 32.8219696816773)"
p14,p3,"LINESTRING(-117.016588991141 46.4166099233792,-117.419949383395 47.6699959504023)"
p3,p14,"LINESTRING(-117.419949383395 47.6699959504023,-117.016588991141 46.4166099233792)"
p51,p56,"LINESTRING(-95.9300207944416 36.120003274575,-94.1572091082366 36.0629783315409)"
p56,p51,"LINESTRING(-94.1572091082366 36.0629783315409,-95.9300207944416 36.120003274575)"
p107,p109,"LINESTRING(-87.5558291033274 37.9746962677465,-85.7506501246934 38.2269627643814)"
p109,p107,"LINESTRING(-85.7506501246934 38.2269627643814,-87.5558291033274 37.9746962677465)"
p112,p114,"LINESTRING(-82.9919554632241 39.9819202432293,-84.4588685084773 39.1638306436169)"
p114,p112,"LINESTRING(-84.4588685084773 39.1638306436169,-82.9919554632241 39.9819202432293)"
p109,p114,"LINESTRING(-85.7506501246934 38.2269627643814,-84.4588685084773 39.1638306436169)"
p114,p109,"LINESTRING(-84.4588685084773 39.1638306436169,-85.7506501246934 38.2269627643814)"
p106,p114,"LINESTRING(-86.1719939153852 39.7519342813145,-84.4588685084773 39.1638306436169)"
p114,p106,"LINESTRING(-84.4588685084773 39.1638306436169,-86.1719939153852 39.7519342813145)"
p50,p51,"LINESTRING(-97.5206293727874 35.4719888060368,-95.9300207944416 36.120003274575)"
p51,p50,"LINESTRING(-95.9300207944416 36.120003274575,-97.5206293727874 35.4719888060368)"
p109,p93,"LINESTRING(-85.7506501246934 38.2269627643814,-86.4436489275417 36.9906994822608)"
p93,p109,"LINESTRING(-86.4436489275417 36.9906994822608,-85.7506501246934 38.2269627643814)"
p55,p73,"LINESTRING(-93.319999228676 37.1800160919621,-91.77041486 37.95128631)"
p73,p55,"LINESTRING(-91.77041486 37.95128631,-93.319999228676 37.1800160919621)"
p106,p113,"LINESTRING(-86.1719939153852 39.7519342813145,-84.2019332871221 39.7523218545566)"
p113,p106,"LINESTRING(-84.2019332871221 39.7523218545566,-86.1719939153852 39.7519342813145)"
p179,p183,"LINESTRING(-103.582753625878 20.501585150901,-104.062775055913 19.1357314587546)"
p183,p179,"LINESTRING(-104.062775055913 19.1357314587546,-103.582753625878 20.501585150901)"
p132,p133,"LINESTRING(-73.2019070419611 41.1819245156953,-71.4169255559512 41.8230481729244)"
p133,p132,"LINESTRING(-71.4169255559512 41.8230481729244,-73.2019070419611 41.1819245156953)"
p48,p60,"LINESTRING(-101.87996769388 33.5800032745648,-101.475186199737 32.2431856476064)"
p60,p48,"LINESTRING(-101.475186199737 32.2431856476064,-101.87996769388 33.5800032745648)"
p186,p187,"LINESTRING(-100.162614869147 21.018617447262,-99.2695042895469 19.8452863755325)"
p187,p186,"LINESTRING(-99.2695042895469 19.8452863755325,-100.162614869147 21.018617447262)"
p49,p52,"LINESTRING(-101.479501181834 36.6858085317387,-100.86408654967 37.9752130320694)"
p52,p49,"LINESTRING(-100.86408654967 37.9752130320694,-101.479501181834 36.6858085317387)"
p76,p78,"LINESTRING(-88.4005062273542 44.2686790151675,-89.4011169858218 43.0730155630143)"
p78,p76,"LINESTRING(-89.4011169858218 43.0730155630143,-88.4005062273542 44.2686790151675)"
p41,p45,"LINESTRING(-96.0099900734133 41.2400008331892,-94.99698758 42.42384459)"
p45,p41,"LINESTRING(-94.99698758 42.42384459,-96.0099900734133 41.2400008331892)"
p130,p134,"LINESTRING(-71.4552873145261 42.9959918406833,-70.2152596452502 44.1007047720027)"
p134,p130,"LINESTRING(-70.2152596452502 44.1007047720027,-71.4552873145261 42.9959918406833)"
p76,p77,"LINESTRING(-88.4005062273542 44.2686790151675,-90.5038920509303 43.9850529165334)"
p77,p76,"LINESTRING(-90.5038920509303 43.9850529165334,-88.4005062273542 44.2686790151675)"
p10,p11,"LINESTRING(-118.18192636994 33.9919241087654,-117.18193572866 32.8219696816773)"
p11,p10,"LINESTRING(-117.18193572866 32.8219696816773,-118.18192636994 33.9919241087654)"
p187,p190,"LINESTRING(-99.2695042895469 19.8452863755325,-97.9507085120238 19.0699632855265)"
p190,p187,"LINESTRING(-97.9507085120238 19.0699632855265,-99.2695042895469 19.8452863755325)"
p46,p78,"LINESTRING(-91.2394285499568 43.8013690379522,-89.4011169858218 43.0730155630143)"
p78,p46,"LINESTRING(-89.4011169858218 43.0730155630143,-91.2394285499568 43.8013690379522)"
p161,p162,"LINESTRING(-106.935479634913 24.3756966070532,-105.968131351165 23.196510250903)"
p162,p161,"LINESTRING(-105.968131351165 23.196510250903,-106.935479634913 24.3756966070532)"
p174,p186,"LINESTRING(-99.0146229506645 22.0562165828326,-100.162614869147 21.018617447262)"
p186,p174,"LINESTRING(-100.162614869147 21.018617447262,-99.0146229506645 22.0562165828326)"
p24,p33,"LINESTRING(-104.819710735883 41.1400069367046,-104.985961810968 39.7411339069655)"
p33,p24,"LINESTRING(-104.985961810968 39.7411339069655,-104.819710735883 41.1400069367046)"
p126,p132,"LINESTRING(-74.7433553483933 40.216962503107,-73.2019070419611 41.1819245156953)"
p132,p126,"LINESTRING(-73.2019070419611 41.1819245156953,-74.7433553483933 40.216962503107)"
p175,p176,"LINESTRING(-98.2208072774353 22.8919218594279,-98.8880381360018 21.5196545172561)"
p176,p175,"LINESTRING(-98.8880381360018 21.5196545172561,-98.2208072774353 22.8919218594279)"
p199,p200,"LINESTRING(-87.7258788550823 20.1922789562231,-88.5839162679957 18.9087435921394)"
p200,p199,"LINESTRING(-88.5839162679957 18.9087435921394,-87.7258788550823 20.1922789562231)"
p106,p83,"LINESTRING(-86.1719939153852 39.7519342813145,-88.2041874610773 40.1099922882629)"
p83,p106,"LINESTRING(-88.2041874610773 40.1099922882629,-86.1719939153852 39.7519342813145)"
p178,p179,"LINESTRING(-104.907286793293 21.4220858927954,-103.582753625878 20.501585150901)"
p179,p178,"LINESTRING(-103.582753625878 20.501585150901,-104.907286793293 21.4220858927954)"
p124,p125,"LINESTRING(-75.74237466 37.71080118,-75.52098513 39.16083229)"
p125,p124,"LINESTRING(-75.52098513 39.16083229,-75.74237466 37.71080118)"
p157,p158,"LINESTRING(-111.266519364596 29.9936882178759,-109.478722970365 30.4118017092501)"
p158,p157,"LINESTRING(-109.478722970365 30.4118017092501,-111.266519364596 29.9936882178759)"
p193,p194,"LINESTRING(-94.634006603569 17.8586152701758,-93.0258267375822 17.9581365745392)"
p194,p193,"LINESTRING(-93.0258267375822 17.9581365745392,-94.634006603569 17.8586152701758)"
p23,p32,"LINESTRING(-105.505250286667 44.2831742544253,-103.230557090044 44.080550963409)"
p32,p23,"LINESTRING(-103.230557090044 44.080550963409,-105.505250286667 44.2831742544253)"
p1,p2,"LINESTRING(-122.341930845868 47.5719479125307,-120.50683379 46.6160627800001)"
p2,p1,"LINESTRING(-120.50683379 46.6160627800001,-122.341930845868 47.5719479125307)"
p75,p79,"LINESTRING(-88.0000138770922 44.5299808950513,-87.921912942085 43.0546009073042)"
p79,p75,"LINESTRING(-87.921912942085 43.0546009073042,-88.0000138770922 44.5299808950513)"
p123,p124,"LINESTRING(-77.0113644394371 38.901495235087,-75.74237466 37.71080118)"
p124,p123,"LINESTRING(-75.74237466 37.71080118,-77.0113644394371 38.901495235087)"
p86,p87,"LINESTRING(-92.1191939715096 32.5096034942871,-90.1849967872571 32.2988153269685)"
p87,p86,"LINESTRING(-90.1849967872571 32.2988153269685,-92.1191939715096 32.5096034942871)"
p115,p119,"LINESTRING(-80.0019312526002 40.4319444538432,-77.8602452002939 40.7937231639167)"
p119,p115,"LINESTRING(-77.8602452002939 40.7937231639167,-80.0019312526002 40.4319444538432)"
p194,p195,"LINESTRING(-93.0258267375822 17.9581365745392,-92.4621129264314 16.4440161634584)"
p195,p194,"LINESTRING(-92.4621129264314 16.4440161634584,-93.0258267375822 17.9581365745392)"
p46,p69,"LINESTRING(-91.2394285499568 43.8013690379522,-92.3427978940366 42.4931543162673)"
p69,p46,"LINESTRING(-92.3427978940366 42.4931543162673,-91.2394285499568 43.8013690379522)"
p180,p181,"LINESTRING(-102.49151960909 22.9111787137317,-100.758610639159 22.7474689524954)"
p181,p180,"LINESTRING(-100.758610639159 22.7474689524954,-102.49151960909 22.9111787137317)"
p104,p80,"LINESTRING(-85.5871895769524 42.292158832868,-87.7520008327093 41.8319365192784)"
p80,p104,"LINESTRING(-87.7520008327093 41.8319365192784,-85.5871895769524 42.292158832868)"
p105,p113,"LINESTRING(-85.13065338 41.11969488,-84.2019332871221 39.7523218545566)"
p113,p105,"LINESTRING(-84.2019332871221 39.7523218545566,-85.13065338 41.11969488)"
p189,p192,"LINESTRING(-96.5548543289361 19.0725025885487,-96.731002823498 17.4607698278138)"
p192,p189,"LINESTRING(-96.731002823498 17.4607698278138,-96.5548543289361 19.0725025885487)"
p174,p177,"LINESTRING(-99.0146229506645 22.0562165828326,-99.2177562787674 23.6443324364708)"
p177,p174,"LINESTRING(-99.2177562787674 23.6443324364708,-99.0146229506645 22.0562165828326)"
p122,p128,"LINESTRING(-75.1719418320079 40.0019190225265,-73.25742602 40.80816052)"
p128,p122,"LINESTRING(-73.25742602 40.80816052,-75.1719418320079 40.0019190225265)"
p127,p130,"LINESTRING(-73.74907494 42.67295449,-71.4552873145261 42.9959918406833)"
p130,p127,"LINESTRING(-71.4552873145261 42.9959918406833,-73.74907494 42.67295449)"
p73,p84,"LINESTRING(-91.77041486 37.95128631,-90.4026837582867 36.7601967560229)"
p84,p73,"LINESTRING(-90.4026837582867 36.7601967560229,-91.77041486 37.95128631)"
p127,p132,"LINESTRING(-73.74907494 42.67295449,-73.2019070419611 41.1819245156953)"
p132,p127,"LINESTRING(-73.2019070419611 41.1819245156953,-73.74907494 42.67295449)"
p105,p106,"LINESTRING(-85.13065338 41.11969488,-86.1719939153852 39.7519342813145)"
p106,p105,"LINESTRING(-86.1719939153852 39.7519342813145,-85.13065338 41.11969488)"
p111,p115,"LINESTRING(-81.6969440699897 41.4719326537173,-80.0019312526002 40.4319444538432)"
p115,p111,"LINESTRING(-80.0019312526002 40.4319444538432,-81.6969440699897 41.4719326537173)"
p106,p109,"LINESTRING(-86.1719939153852 39.7519342813145,-85.7506501246934 38.2269627643814)"
p109,p106,"LINESTRING(-85.7506501246934 38.2269627643814,-86.1719939153852 39.7519342813145)"
p70,p71,"LINESTRING(-93.6199809181302 41.5799800812373,-92.5828090838162 40.1936822703596)"
p71,p70,"LINESTRING(-92.5828090838162 40.1936822703596,-93.6199809181302 41.5799800812373)"
p14,p4,"LINESTRING(-117.016588991141 46.4166099233792,-119.27649915 47.13184305)"
p4,p14,"LINESTRING(-119.27649915 47.13184305,-117.016588991141 46.4166099233792)"
p69,p81,"LINESTRING(-92.3427978940366 42.4931543162673,-90.5346136899278 41.4933962189324)"
p81,p69,"LINESTRING(-90.5346136899278 41.4933962189324,-92.3427978940366 42.4931543162673)"
p177,p181,"LINESTRING(-99.2177562787674 23.6443324364708,-100.758610639159 22.7474689524954)"
p181,p177,"LINESTRING(-100.758610639159 22.7474689524954,-99.2177562787674 23.6443324364708)"
p88,p89,"LINESTRING(-88.7033301205846 34.2579205515856,-86.8249951596396 33.5300063263225)"
p89,p88,"LINESTRING(-86.8249951596396 33.5300063263225,-88.7033301205846 34.2579205515856)"
p164,p59,"LINESTRING(-107.462318821811 30.3622434887791,-106.511941018331 31.7819298053712)"
p59,p164,"LINESTRING(-106.511941018331 31.7819298053712,-107.462318821811 30.3622434887791)"
p158,p164,"LINESTRING(-109.478722970365 30.4118017092501,-107.462318821811 30.3622434887791)"
p164,p158,"LINESTRING(-107.462318821811 30.3622434887791,-109.478722970365 30.4118017092501)"
p115,p116,"LINESTRING(-80.0019312526002 40.4319444538432,-81.5616471778477 39.2666587514756)"
p116,p115,"LINESTRING(-81.5616471778477 39.2666587514756,-80.0019312526002 40.4319444538432)"
p174,p188,"LINESTRING(-99.0146229506645 22.0562165828326,-97.7701586082275 20.8348214371417)"
