ba_str,WKT
p54,Point(-94.60604008 39.10903437)
p55,Point(-93.31999923 37.18001609)
p56,Point(-94.15720911 36.06297833)
p57,Point(-94.74027429 32.50053428)
p58,Point(-90.04191274 29.99694832)
p59,Point(-106.51194102 31.78192981)
p60,Point(-101.4751862 32.24318565)
p61,Point(-102.88091183 30.90188409)
p62,Point(-102.36722477 31.84556134)
p63,Point(-96.84196279 32.82196968)
p64,Point(-97.74472422 30.26889554)
p65,Point(-98.5092512 29.48927905)
p66,Point(-94.10168278 30.08626304)
p67,Point(-95.34192515 29.82192024)
p68,Point(-93.99915674 44.16362083)
p69,Point(-92.34279789 42.49315432)
p70,Point(-93.61998092 41.57998008)
p71,Point(-92.58280908 40.19368227)
p72,Point(-90.24192637 38.63696358)
p73,Point(-91.77041486 37.95128631)
p74,Point(-87.40658757 46.54673118)
p75,Point(-88.00001388 44.5299809)
p76,Point(-88.40050623 44.26867902)
p77,Point(-90.50389205 43.98505292)
p78,Point(-89.40111699 43.07301556)
p79,Point(-87.92191294 43.05460091)
p80,Point(-87.75200083 41.83193652)
p81,Point(-90.53461369 41.49339622)
p82,Point(-89.67004114 40.69998212)
p83,Point(-88.20418746 40.10999229)
p84,Point(-90.40268376 36.76019676)
p85,Point(-92.33109318 34.73608258)
p86,Point(-92.11919397 32.50960349)
p87,Point(-90.18499679 32.29881533)
p88,Point(-88.70333012 34.25792055)
p89,Point(-86.82499516 33.53000633)
p90,Point(-88.04998499 30.68002525)
p91,Point(-87.21712 30.421167)
p92,Point(-86.76913977 36.17150353)
p93,Point(-86.44364893 36.99069948)
p94,Point(-84.40189524 33.83195971)
p95,Point(-82.3941545 34.85292299)
p96,Point(-79.99210474 32.79237693)
p97,Point(-80.83198395 35.20694038)
p98,Point(-78.64469344 35.81878135)
p99,Point(-75.98026459 36.85516019)
p100,Point(-78.16663477 39.1787313)
p101,Point(-82.46056671 27.94893379)
p102,Point(-80.22605194 25.78955656)
p103,Point(-83.08200165 42.331906)
p104,Point(-85.58718958 42.29215883)
p105,Point(-85.13065338 41.11969488)
p106,Point(-86.17199392 39.75193428)
p107,Point(-87.5558291 37.97469627)
p108,Point(-87.11332381 37.77457928)
p109,Point(-85.75065012 38.22696276)
p110,Point(-82.52436295 37.4804456)
p111,Point(-81.69694407 41.47193265)
p112,Point(-82.99195546 39.98192024)
p113,Point(-84.20193329 39.75232185)
p114,Point(-84.45886851 39.16383064)
p115,Point(-80.00193125 40.43194445)
p116,Point(-81.56164718 39.26665875)
p117,Point(-81.63272811 38.34973798)
p118,Point(-79.94161686 37.27119916)
p119,Point(-77.8602452 40.79372316)
p120,Point(-77.64509082 39.93275473)
p121,Point(-77.72027958 39.64164878)
p122,Point(-75.17194183 40.00191902)
p123,Point(-77.01136444 38.90149524)
p124,Point(-75.74237466 37.71080118)
p125,Point(-75.52098513 39.16083229)
p126,Point(-74.74335535 40.2169625)
p127,Point(-73.74907494 42.67295449)
p128,Point(-73.25742602 40.80816052)
p129,Point(-73.21246688 44.47579816)
p130,Point(-71.45528731 42.99599184)
p131,Point(-71.07195953 42.331906)
p132,Point(-73.20190704 41.18192452)
p133,Point(-71.41692556 41.82304817)
p134,Point(-70.21525965 44.10070477)
