"usda_region","bioclass","price","cap"
"northern-plains","bioclass1",0,0
"northern-plains","bioclass2",10,0.108560925
"northern-plains","bioclass3",20,0.108560925
"northern-plains","bioclass4",30,0.108560925
"northern-plains","bioclass5",40,0.021712185
"northern-plains","bioclass6",50,0.08684874
"northern-plains","bioclass7",60,0.2111523
"northern-plains","bioclass8",70,0.0247813
"northern-plains","bioclass9",80,0
"northern-plains","bioclass10",90,0
"northern-plains","bioclass11",100,0
"northern-plains","bioclass12",110,0
"northern-plains","bioclass13",120,0
"northern-plains","bioclass14",130,0
"northern-plains","bioclass15",140,0
"northern-plains","bioclass16",150,0
"northern-plains","bioclass17",160,0
"northern-plains","bioclass18",170,0
"northern-plains","bioclass19",180,0
"northern-plains","bioclass20",190,0
"northern-plains","bioclass21",200,0
