r,i,rscbin,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
p3,hydUD,bin1,0,0,51.99,103.98,103.98,103.98,103.98,103.98,103.98,103.98,103.98,103.98,103.98,103.98,103.98,103.98,103.98,103.98,103.98,103.98,103.98,103.98,103.98,103.98,103.98,103.98,103.98,103.98,103.98,103.98,103.98,103.98,103.98,103.98,103.98,103.98
p3,hydUND,bin1,0,0,0,0,0,0,0,0,0,0,32.4,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8
p3,hydUND,bin5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305,0.61,0.72,0.83,0.83,0.83,0.91,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
p4,hydUD,bin2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.7,77.4,77.4,77.4,77.4,77.4,77.4,77.4,77.4,77.4,77.4,77.4,77.4,77.4
p4,hydUND,bin3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2
p4,hydUND,bin4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68
p4,hydUND,bin5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.915,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83
p5,hydUD,bin1,0,0,86.4,172.8,172.8,172.8,172.8,172.8,172.8,172.8,172.8,172.8,172.8,172.8,172.8,172.8,172.8,172.8,172.8,172.8,172.8,172.8,172.8,172.8,172.8,172.8,172.8,172.8,172.8,172.8,172.8,172.8,172.8,172.8,172.8,172.8
p5,hydUD,bin5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.185,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37
p5,hydUND,bin3,0,0,3.2,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4
p5,hydUND,bin5,0.055,0.11,0.91,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,2.3,2.89,4.05,5.21,5.461,5.712,6.08075,6.4495,7.0695,7.6895,8.2895,8.8895,9.2895,9.6895,9.6895,9.6895,9.6895,9.6895,9.6895,9.6895,9.6895,9.6895
p6,hydUND,bin2,0,0,0,0,0,0,0,0,0,0,0,0,1.96,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92
p6,hydUND,bin5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08375,0.1675,0.2275,0.2875,0.3325,0.3775,0.3775,0.3775,0.3775,0.3775,0.3775,0.3775,0.3775,0.3775,0.3775,0.3775,0.3775,0.3775
p7,hydUND,bin1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
p7,hydUND,bin2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
p7,hydUND,bin3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1422,0.2844,0.2844,0.2844,0.2844,0.2844,0.2844,0.2844,0.2844,0.2844,0.2844,0.2844,0.2844,0.2844,0.2844,0.2844,0.2844,0.2844
p8,hydUND,bin1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.495,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99
p8,hydUND,bin5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
p9,hydUD,bin2,0,0,13.3,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,51.705,76.81,76.81,76.81,76.81,76.81,76.81,76.81,76.81,76.81,76.81,76.81,76.81,76.81,76.81,76.81,76.81,76.81,76.81,76.81
p9,hydUD,bin3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.25,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5
p9,hydUD,bin5,0,0,0,0,0,0,3.705,7.41,7.41,7.41,9.205,11,11,11,11,11,11.295,11.59,11.59,11.59,11.59,11.59,11.95,12.31,12.31,12.31,12.31,12.31,12.31,12.31,12.31,12.31,12.31,12.31,12.31,12.31
p9,hydUND,bin1,24.29,48.58,48.58,48.58,48.58,48.58,55.555,62.53,62.53,62.53,62.53,62.53,62.53,62.53,62.53,62.53,62.53,62.53,62.53,62.53,62.53,62.53,62.53,62.53,62.53,62.53,62.53,62.53,62.53,62.53,62.53,62.53,62.53,62.53,62.53,62.53
p9,hydUND,bin2,0,0,5.775,11.55,16.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55
p9,hydUND,bin4,3.61,7.22,8.32,9.42,9.42,9.42,9.42,9.42,9.42,9.42,9.42,9.42,9.42,9.42,9.42,9.42,10.95,12.48,12.48,12.48,12.48,12.48,12.48,12.48,12.48,12.48,12.48,12.48,12.48,12.48,12.48,12.48,12.48,12.48,12.48,12.48
p9,hydUND,bin5,0.3575,0.715,0.715,0.715,0.715,0.715,1.075,1.435,1.435,1.435,1.435,1.435,1.435,1.435,2.225,3.015,4.9009,6.7868,9.7824,12.778,15.3407275,17.903455,19.371055,20.838655,21.488655,22.138655,22.138655,22.138655,22.201155,22.263655,22.265505,22.267355,22.267355,22.267355,22.267355,22.267355
p10,hydUD,bin4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
p10,hydUND,bin1,0,0,0,0,0,0,17.52,35.04,35.04,35.04,35.04,35.04,35.04,35.04,35.04,35.04,35.04,35.04,35.04,35.04,35.04,35.04,35.04,35.04,35.04,35.04,35.04,35.04,35.04,35.04,35.04,35.04,35.04,35.04,35.04,35.04
p10,hydUND,bin2,0,0,0,0,0,0,2.8,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6
p10,hydUND,bin3,0,0,0,0,0,0,1.635,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27
p10,hydUND,bin4,0,0,0,0,0,0,1.53,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,4.06,5.06,5.76,6.46,7.465,8.47,9.06,9.65,9.65,9.65,9.65,9.65,10.845,12.04,12.04,12.04,12.04,12.04,12.04,12.04
p10,hydUND,bin5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295,0.59,1.92,3.25,4.8862,6.5224,6.91865,7.3149,7.73195,8.149,8.19675,8.2445,8.25575,8.267,8.267,8.267,8.317,8.367,8.367,8.367,8.367,8.367
p11,hydUND,bin1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59
p11,hydUND,bin3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11425,0.2285,0.2285,0.2285,0.2285,0.2285,0.2285,0.2285,0.2285,0.2285,0.2285,0.2285,0.2285,0.2285
p11,hydUND,bin4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
p11,hydUND,bin5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02125,0.0425,0.0425,0.0425,0.0425,0.0425,0.065,0.0875,0.0875,0.0875,0.0875,0.0875,0.0875,0.0875,0.0875,0.0875,0.0875,0.0875
p12,hydUND,bin1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
p12,hydUND,bin5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03364,0.06728,0.06728,0.06728,0.06728,0.06728,0.06728,0.06728,0.06728,0.06728,0.06728,0.06728,0.06728,0.06728,0.06728,0.06728
p14,hydUD,bin1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.905,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81
p15,hydUD,bin2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.06,10.12,10.12,10.12,10.12,10.12,10.12,10.12,10.12,10.12,10.12,10.12,10.12,10.12,10.12,10.12,10.12,10.12,10.12,10.12,10.12,10.12
p15,hydUD,bin5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24
p15,hydUND,bin1,0,0,0,0,0,0,0,0,16,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
p15,hydUND,bin3,0,0,0,0,0,0,0,0,0,0,0.45,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.37,1.84,2.335,2.83,4,5.17,5.17,5.17,5.59,6.01,6.01,6.01,6.01,6.01,6.01,6.01
p15,hydUND,bin4,0,0,0,0,0,0,0,0,0.2975,0.595,0.595,0.595,0.595,0.595,0.595,0.595,0.595,0.595,0.595,0.595,0.595,0.595,0.835,1.075,1.075,1.075,1.075,1.075,1.455,1.835,1.835,1.835,1.835,1.835,1.835,1.835
p15,hydUND,bin5,0,0,0.0011,0.0022,0.0022,0.0022,0.0022,0.0022,0.00645,0.0107,0.01145,0.0122,0.0122,0.0122,0.0126,0.013,0.068,0.123,0.2105,0.298,1.05065,1.8033,2.0773,2.3513,2.39,2.4287,2.5637,2.6987,2.6987,2.6987,2.6987,2.6987,2.6987,2.6987,2.6987,2.6987
p16,hydUD,bin2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.975,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95
p16,hydUD,bin4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17,2.34,2.34,2.34,2.34,2.34,2.34,2.34,2.34,2.34,2.34,2.34,2.34,2.34,2.34,2.34,2.34,2.34
p16,hydUND,bin3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0.9,0.9,0.9,1.3,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7
p16,hydUND,bin4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.8,0.8,0.8,0.8,0.8,1.0462,1.2924,1.5324,1.7724,1.7724,1.7724,1.7724,1.7724,1.7724,1.7724,1.7724,1.7724,1.7724,1.7724,1.7724,1.7724
p16,hydUND,bin5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4703,0.9406,1.6065,2.2724,2.4299,2.5874,2.667775,2.74815,2.74815,2.74815,2.76065,2.77315,2.77315,2.77315,2.77315,2.77315,2.77315,2.77315
p17,hydUND,bin1,0,0,0,0,0,0,0,0,0,0,21,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
p17,hydUND,bin4,0,0,0,0,0,0,0,0,0.485,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97
p17,hydUND,bin5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0095,0.019,0.0601,0.1012,0.1012,0.1012,0.1262,0.1512,0.1512,0.1512,0.1512,0.1512,0.1512,0.1512,0.1512,0.1512,0.1512,0.1512
p18,hydUND,bin5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00375,0.0075,0.1109,0.2143,0.22805,0.2418,0.27165,0.3015,0.3015,0.3015,0.3015,0.3015,0.3015,0.3015,0.6765,1.0515,1.0515,1.0515
p21,hydUND,bin1,0,0,2.5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
p21,hydUND,bin3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,1.19,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09
p25,hydUND,bin2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66
p25,hydUND,bin3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48
p25,hydUND,bin4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0.46,0.575,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.795,0.9,0.9,0.9
p25,hydUND,bin5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.02,0.02,0.02,0.033,0.046,0.1967,0.3474,0.3924,0.4374,0.44365,0.4499,0.4499,0.4499,0.4799,0.5099,0.5099,0.5099,0.5099,0.5099
p26,hydUND,bin1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44
p26,hydUND,bin3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
p28,hydUD,bin1,0,0,0,0,0,0,0,0,1.8,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6
p28,hydUD,bin3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.975,1.95,1.95,1.95,1.95,1.95,1.95,1.95
p28,hydUND,bin5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14
p31,hydUND,bin1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
p31,hydUND,bin2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56
p31,hydUND,bin3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
p33,hydUND,bin2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275,0.55,0.55,0.55,0.94,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33
p33,hydUND,bin3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
p33,hydUND,bin4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.56,0.56,0.56,0.56,0.56,0.8348,1.1096,1.1096,1.1096,1.1096,1.1096,1.1096,1.1096,1.1096,1.1096,1.1096,1.1096,1.1096,1.1096
p33,hydUND,bin5,0,0,0,0,0,0,0,0,0.05,0.1,0.1,0.1,0.121,0.142,0.142,0.142,0.142,0.142,0.142,0.142,0.1529,0.1638,0.34505,0.5263,0.5263,0.5263,0.5263,0.5263,0.6263,0.7263,0.7263,0.7263,0.7263,0.7263,0.7263,0.7263
p34,hydUND,bin1,0,0,0,0,0,0,0,0,0,0,0,0,4.2,8.4,8.4,8.4,8.4,8.4,8.4,8.4,9.78,11.16,11.16,11.16,11.16,11.16,11.16,11.16,11.16,11.16,11.16,11.16,11.16,11.16,11.16,11.16
p34,hydUND,bin3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58
p34,hydUND,bin5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.12,0.12,0.12,0.14625,0.1725,0.1725,0.1725,0.1725,0.1725
p39,hydUND,bin1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
p43,hydUND,bin1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
p43,hydUND,bin3,0,0,0,0,0,0,0,0,0.432,0.864,0.864,0.864,0.864,0.864,0.864,0.864,0.864,0.864,0.864,0.864,0.864,0.864,0.864,0.864,0.864,0.864,0.864,0.864,0.864,0.864,0.864,0.864,0.864,0.864,0.864,0.864
p43,hydUND,bin4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0.7,0.7,0.7,0.825,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
p46,hydUD,bin5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02125,0.0425,0.0425,0.0425,0.0425,0.0425
p46,hydUND,bin2,0,0,0,0,0,0,0,0,1.765,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53
p46,hydUND,bin5,0,0,0,0,0.1025,0.205,0.235,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.435,0.605,0.605,0.605,0.605,0.605,0.62225,0.6395,0.6395,0.6395,0.6395,0.6395,0.6395,0.6395,0.6395,0.6395
p50,hydUD,bin1,0,0,0,0,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
p50,hydUND,bin1,0,0,0,0,0,0,4.4,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8
p50,hydUND,bin2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7
p51,hydUND,bin2,0,0,2.8,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6
p51,hydUND,bin3,0,0,0,0,0,0,0,0,2.4,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8
p55,hydUND,bin2,0,0,0,0,0,0,0,0,1.808,3.616,3.616,3.616,3.616,3.616,3.616,3.616,3.616,3.616,3.616,3.616,3.616,3.616,3.616,3.616,3.616,3.616,3.616,3.616,3.616,3.616,3.616,3.616,3.616,3.616,3.616,3.616
p56,hydUD,bin2,4.48,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96
p56,hydUND,bin1,0,0,0,0,0,0,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
p56,hydUND,bin2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24
p58,hydUND,bin1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.6,19.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2
p61,hydUND,bin1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6
p63,hydUND,bin1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28
p64,hydUND,bin5,0,0,0,0,0.075,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.45,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
p66,hydUD,bin1,2.08,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16
