r,East_North_Central,East_South_Central,Mid_Atlantic,Mountain,New_England,Pacific,South_Atlantic,West_North_Central,West_South_Central,MEX
p71,0.36715334,0,0,0,0,0,0,0.63284666,0,0
p72,0.185787875,0.116735946,0,0,0,0,0,0.554816242,0.142659938,0
p73,0.104493425,0.08943644,0,0,0,0,0,0.685548267,0.120521868,0
p74,0.836619618,0,0,0,0,0,0,0.163380382,0,0
p75,0.863064603,0,0,0,0,0,0,0.136935397,0,0
p76,0.856166656,0,0,0,0,0,0,0.143833344,0,0
p77,0.70886938,0,0,0,0,0,0,0.29113062,0,0
p78,0.915324506,0,0,0,0,0,0,0.084675494,0,0
p79,0.788302759,0,0,0,0,0,0,0.211697241,0,0
p80,0.822791717,0,0,0,0,0,0,0.177208283,0,0
p81,0.467202014,0.162072144,0,0,0,0,0,0.370725842,0,0
p82,0.825385083,0,0,0,0,0,0,0.174614917,0,0
p83,0.762121348,0.103700916,0,0,0,0,0,0.134177736,0,0
p84,0.117483456,0.13204408,0,0,0,0,0,0.533947004,0.21652546,0
p85,0,0.168585508,0,0,0,0,0,0.15202396,0.679390532,0
p86,0,0.500949281,0,0,0,0,0,0,0.499050719,0
p87,0,0.631514983,0,0,0,0,0.12587117,0,0.242613847,0
p88,0,0.656242998,0,0,0,0,0.099333841,0.093168778,0.151254383,0
p89,0,0.747140509,0,0,0,0,0.150203585,0,0.102655906,0
p90,0,0.608266938,0,0,0,0,0.290990559,0,0.100742504,0
p91,0,0.277437572,0,0,0,0,0.722562428,0,0,0
p92,0.088465552,0.616965545,0,0,0,0,0.129711523,0.080813278,0.084044103,0
p93,0.134814469,0.529253282,0,0,0,0,0.109160658,0.120676837,0.106094753,0
p94,0,0.195339647,0,0,0,0,0.804660353,0,0,0
p95,0,0.274922843,0,0,0,0,0.725077157,0,0,0
p96,0,0.170664388,0,0,0,0,0.829335612,0,0,0
p97,0.120582007,0.287991355,0,0,0,0,0.591426638,0,0,0
p98,0,0.098000451,0.089163512,0,0,0,0.812836036,0,0,0
p99,0.087357307,0.083423439,0.114416039,0,0,0,0.714803215,0,0,0
p100,0.107184728,0.07914654,0.14807457,0,0,0,0.665594162,0,0,0
p101,0,0.073953939,0,0,0,0,0.926046061,0,0,0
p102,0,0,0,0,0,0,1,0,0,0
p103,0.931845008,0,0.068154992,0,0,0,0,0,0,0
p104,0.843189776,0,0,0,0,0,0,0.156810224,0,0
p105,0.799381869,0.108220144,0,0,0,0,0,0.092397987,0,0
p106,0.945331453,0.054668547,0,0,0,0,0,0,0,0
p107,0.480097606,0.255810966,0,0,0,0,0.132367716,0.131723712,0,0
p108,0.214683158,0.378891844,0,0,0,0,0.118758849,0.161065181,0.126600968,0
p109,0.184848504,0.635690116,0,0,0,0,0.17946138,0,0,0
p110,0.119406265,0.534224021,0.067088408,0,0,0,0.279281305,0,0,0
p111,0.592673994,0.091143501,0.205875936,0,0,0,0.110306569,0,0,0
p112,0.638375163,0.117487215,0.118427946,0,0,0,0.125709676,0,0,0
p113,0.644524494,0.148784283,0.091372858,0,0,0,0.115318366,0,0,0
p114,0.4236185,0.289948674,0.116011994,0,0,0,0.170420832,0,0,0
p115,0.27427858,0.089668982,0.483161375,0,0,0,0.152891062,0,0,0
p116,0.213378972,0.146152326,0.188699384,0,0,0,0.451769318,0,0,0
p117,0.142596518,0.21795533,0.089120549,0,0,0,0.550327603,0,0,0
p118,0.08687666,0.138314564,0.070345063,0,0,0,0.704463713,0,0,0
p119,0.094739887,0,0.746723317,0,0.051231609,0,0.107305187,0,0,0
p120,0.152290181,0.089398296,0.33316366,0,0,0,0.425147862,0,0,0
p121,0.16415628,0.101364154,0.276869475,0,0,0,0.457610091,0,0,0
p122,0.114995733,0,0.613591701,0,0.079657169,0,0.191755396,0,0,0
p123,0.04190072,0,0.12001283,0,0.037376177,0,0.800710273,0,0,0
p124,0,0,0.025148506,0,0,0,0.974851494,0,0,0
p125,0.028921215,0,0.1703652,0,0.033313281,0,0.767400305,0,0,0
p126,0,0,0.761651367,0,0.065522532,0,0.172826101,0,0,0
p127,0.095216999,0,0.605597935,0,0.173139215,0,0.12604585,0,0,0
p128,0,0,0.788946575,0,0.128945581,0,0.082107843,0,0,0
p129,0,0,0.34670797,0,0.65329203,0,0,0,0,0
p130,0,0,0.113186263,0,0.886813737,0,0,0,0,0
p131,0,0,0.151448726,0,0.779612933,0,0.068938341,0,0,0
p132,0,0,0.429080844,0,0.439409085,0,0.131510071,0,0,0
p133,0,0,0.175295893,0,0.756440763,0,0.068263344,0,0,0
p134,0,0,0.117121071,0,0.882878929,0,0,0,0,0
p135,0,0,0,0.286475248,0,0.713524752,0,0,0,0
p136,0,0,0,0.197818753,0,0.802181247,0,0,0,0
p137,0,0,0,0.07836396,0,0.92163604,0,0,0,0
p138,0,0,0,0.273461637,0,0.726538363,0,0,0,0
p139,0,0,0,0.101362463,0,0.898637537,0,0,0,0
p140,0,0,0,1,0,0,0,0,0,0
p141,0,0,0,0.847206086,0,0.152793914,0,0,0,0
p142,0,0,0,0,0,0,0,1,0,0
p143,0,0,0,0,0,0,0,1,0,0
p144,0.836619618,0,0,0,0,0,0,0.163380382,0,0
p145,0.742187773,0,0.257812227,0,0,0,0,0,0,0
p146,0.14227838,0,0.75916585,0,0.09855577,0,0,0,0,0
p147,0.10894965,0,0.692940168,0,0.198110181,0,0,0,0,0
p148,0,0,0.34670797,0,0.65329203,0,0,0,0,0
p149,0.10894965,0,0.692940168,0,0.198110181,0,0,0,0,0
p150,0,0,0.113186263,0,0.886813737,0,0,0,0,0
p151,0.10894965,0,0.692940168,0,0.198110181,0,0,0,0,0
p152,0,0,0.117121071,0,0.882878929,0,0,0,0,0
p153,0,0,0.117121071,0,0.882878929,0,0,0,0,0
p154,0,0,0.117121071,0,0.882878929,0,0,0,0,0
p155,0,0,0.117121071,0,0.882878929,0,0,0,0,0
p156,0,0,0.117121071,0,0.882878929,0,0,0,0,0
p157,0,0,0,0,0,0,0,0,0,1.1
p158,0,0,0,0,0,0,0,0,0,1.1
p159,0,0,0,0,0,0,0,0,0,1.1
p160,0,0,0,0,0,0,0,0,0,1.1
p161,0,0,0,0,0,0,0,0,0,1.1
p162,0,0,0,0,0,0,0,0,0,1.1
p163,0,0,0,0,0,0,0,0,0,1.1
p164,0,0,0,0,0,0,0,0,0,1.1
p165,0,0,0,0,0,0,0,0,0,1.1
p166,0,0,0,0,0,0,0,0,0,1.1
p167,0,0,0,0,0,0,0,0,0,1.1
p168,0,0,0,0,0,0,0,0,0,1.1
p169,0,0,0,0,0,0,0,0,0,1.1
p170,0,0,0,0,0,0,0,0,0,1.1
p171,0,0,0,0,0,0,0,0,0,1.1
p172,0,0,0,0,0,0,0,0,0,1.1
p173,0,0,0,0,0,0,0,0,0,1.1
p174,0,0,0,0,0,0,0,0,0,1.1
p175,0,0,0,0,0,0,0,0,0,1.1
p176,0,0,0,0,0,0,0,0,0,1.1
p177,0,0,0,0,0,0,0,0,0,1.1
p178,0,0,0,0,0,0,0,0,0,1.1
p179,0,0,0,0,0,0,0,0,0,1.1
p180,0,0,0,0,0,0,0,0,0,1.1
p181,0,0,0,0,0,0,0,0,0,1.1
p182,0,0,0,0,0,0,0,0,0,1.1
p183,0,0,0,0,0,0,0,0,0,1.1
p184,0,0,0,0,0,0,0,0,0,1.1
p185,0,0,0,0,0,0,0,0,0,1.1
p186,0,0,0,0,0,0,0,0,0,1.1
p187,0,0,0,0,0,0,0,0,0,1.1
p188,0,0,0,0,0,0,0,0,0,1.1
p189,0,0,0,0,0,0,0,0,0,1.1
p190,0,0,0,0,0,0,0,0,0,1.1
p191,0,0,0,0,0,0,0,0,0,1.1
p192,0,0,0,0,0,0,0,0,0,1.1
p193,0,0,0,0,0,0,0,0,0,1.1
p194,0,0,0,0,0,0,0,0,0,1.1
p195,0,0,0,0,0,0,0,0,0,1.1
p196,0,0,0,0,0,0,0,0,0,1.1
p197,0,0,0,0,0,0,0,0,0,1.1
p198,0,0,0,0,0,0,0,0,0,1.1
p199,0,0,0,0,0,0,0,0,0,1.1
p200,0,0,0,0,0,0,0,0,0,1.1
p201,0,0,0,0,0,0,0,0,0,1.1
p202,0,0,0,0,0,0,0,0,0,1.1
p203,0,0,0,0,0,0,0,0,0,1.1
p204,0,0,0,0,0,0,0,0,0,1.1
p205,0,0,0,0,0,0,0,0,0,1.1
